id,y_2014,y_2016
370630001011,590,584
370630001012,737,663
370630001021,1120,1120
370630001022,831,822
370630002001,461,455
370630002002,641,653
370630002003,426,411
370630003011,529,538
370630003012,321,310
370630003013,329,279
370630003021,383,383
370630003022,497,492
370630003023,888,768
370630004011,461,458
370630004012,424,423
370630004013,342,343
370630004021,1558,1535
370630005001,900,896
370630005002,367,364
370630005003,700,697
370630005004,467,447
370630006001,1404,1430
370630006002,952,954
370630006003,218,218
370630007001,767,1041
370630007002,561,563
370630007003,509,509
370630009001,383,326
370630009002,463,439
370630010011,403,386
370630010012,550,532
370630010013,537,535
370630010021,1083,1073
370630010022,331,320
370630010023,370,351
370630010024,516,501
370630011001,867,733
370630011002,570,583
370630013011,674,645
370630013031,514,499
370630013032,288,295
370630013041,1092,1089
370630014001,448,446
370630014002,767,756
370630015011,137,137
370630015021,1517,1505
370630015022,694,705
370630015023,1250,1250
370630015024,632,632
370630015031,,
370630016011,572,602
370630016012,1181,1179
370630016013,819,817
370630016031,280,277
370630016032,1141,1170
370630016033,540,544
370630016034,698,697
370630016041,862,865
370630016042,1122,1120
370630016043,695,697
370630017051,704,698
370630017052,1082,1080
370630017053,695,691
370630017061,1455,1553
370630017062,1045,1044
370630017071,469,463
370630017072,719,717
370630017073,264,264
370630017074,809,809
370630017075,1090,996
370630017081,1709,1671
370630017091,384,365
370630017092,355,355
370630017093,2475,2451
370630017101,1152,1165
370630017102,722,727
370630017111,646,663
370630017112,768,766
370630017113,742,731
370630018011,776,787
370630018012,278,271
370630018013,1045,1066
370630018014,459,463
370630018015,292,295
370630018021,829,804
370630018022,670,668
370630018023,803,797
370630018024,346,328
370630018061,722,722
370630018062,1605,1631
370630018071,1146,1112
370630018072,1302,1297
370630018073,1069,1060
370630018081,838,835
370630018082,2277,2733
370630018091,1620,1599
370630018092,1189,1196
370630019001,404,851
370630019002,1037,1044
370630020071,837,836
370630020072,1154,1156
370630020073,376,377
370630020081,386,385
370630020082,839,848
370630020091,799,790
370630020092,451,449
370630020093,713,714
370630020131,665,664
370630020132,402,401
370630020133,803,803
370630020151,991,988
370630020152,1138,1141
370630020153,528,543
370630020161,1855,1855
370630020162,966,969
370630020171,981,977
370630020172,680,712
370630020173,1921,1923
370630020181,1622,1337
370630020182,2005,2001
370630020183,1088,1789
370630020191,890,890
370630020192,1050,1052
370630020193,824,821
370630020201,761,770
370630020202,1663,1791
370630020211,1775,1747
370630020212,573,559
370630020221,1133,1133
370630020222,1125,1221
370630020231,608,608
370630020232,878,878
370630020241,1665,1762
370630020242,669,669
370630020243,756,756
370630020251,915,946
370630020252,1046,1047
370630020253,599,599
370630020261,1033,1031
370630020262,1836,1832
370630020271,673,772
370630020272,2549,2586
370630020273,1054,1051
370630020281,1052,1080
370630020282,941,945
370630020283,2118,3640
370630021001,954,966
370630021002,837,843
370630021003,767,770
370630022001,801,1279
370630023001,331,356
370630023002,221,209
370639801001,,
