id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,444,359,392,495,549,659
370630001012,816,749,744,576,621,714
370630001021,1057,1226,1318,1359,1372,1524
370630001022,765,744,668,724,692,772
370630002001,332,352,440,535,732,679
370630002002,615,507,427,274,319,331
370630002003,583,568,535,447,474,589
370630003011,521,582,578,538,465,503
370630003012,362,303,381,370,343,402
370630003013,404,308,327,399,420,388
370630003021,333,337,343,388,464,514
370630003022,769,752,668,615,549,482
370630003023,745,676,819,715,846,859
370630004011,358,369,340,372,423,414
370630004012,360,480,500,497,540,581
370630004013,512,501,641,586,527,583
370630004021,973,972,990,905,1042,1037
370630005001,232,124,128,145,157,179
370630005002,272,390,360,328,408,368
370630005003,476,398,353,377,421,503
370630005004,224,180,220,328,399,424
370630006001,994,1064,1145,1235,1284,1341
370630006002,1160,1328,1317,1173,1334,1226
370630006003,169,144,136,139,172,205
370630007001,328,401,346,359,328,362
370630007002,330,336,367,399,477,532
370630007003,688,711,675,683,719,612
370630009001,358,374,461,453,518,441
370630009002,369,251,322,340,388,339
370630010011,540,487,550,457,514,610
370630010012,296,221,225,347,350,440
370630010013,279,361,497,717,730,674
370630010021,920,960,1014,810,958,1260
370630010022,138,141,259,373,373,275
370630010023,407,263,335,459,623,448
370630010024,291,280,317,543,711,819
370630011001,312,510,581,616,813,859
370630011002,338,271,332,350,447,476
370630013011,313,408,366,449,630,616
370630013031,713,685,733,779,934,972
370630013032,164,178,184,179,237,237
370630013041,798,755,942,930,951,1166
370630014001,262,287,221,228,242,221
370630014002,526,532,579,408,430,474
370630015011,592,666,589,454,400,294
370630015021,982,937,932,1126,1200,1144
370630015022,322,354,322,301,365,365
370630015023,1005,1014,1037,1114,908,993
370630015024,223,158,244,167,108,85
370630015031,383,331,290,278,203,160
370630016011,481,464,490,480,505,511
370630016012,1644,1625,1445,1336,1291,1523
370630016013,562,601,678,765,745,701
370630016031,227,170,144,206,210,257
370630016032,1224,1384,1486,1493,1470,1442
370630016033,537,552,573,578,677,630
370630016034,886,826,810,684,677,691
370630016041,799,860,827,736,867,855
370630016042,1485,1439,1491,1400,1146,1139
370630016043,796,813,842,808,879,862
370630017051,684,786,648,680,836,840
370630017052,845,869,950,1102,945,880
370630017053,605,521,564,605,612,708
370630017061,1110,1147,1296,1386,1415,1739
370630017062,1304,1189,1187,1059,1147,1009
370630017071,684,655,682,674,504,482
370630017072,961,931,1067,1103,1076,946
370630017073,368,310,312,259,163,201
370630017074,873,1048,897,858,862,826
370630017075,581,657,617,470,456,481
370630017081,1665,1642,1822,1944,2152,2121
370630017091,188,290,308,261,321,315
370630017092,430,338,263,289,324,479
370630017093,1385,1385,1425,1428,1631,1767
370630017101,1301,1335,1342,1302,1338,1372
370630017102,654,674,718,873,833,728
370630017111,467,646,642,785,619,685
370630017112,718,771,659,735,766,786
370630017113,820,754,760,683,753,793
370630018011,819,708,786,1083,1253,826
370630018012,197,186,166,180,218,550
370630018013,1190,1393,1574,1612,1457,1830
370630018014,400,516,502,463,466,298
370630018015,199,280,264,259,226,185
370630018021,693,688,864,1076,876,994
370630018022,883,902,757,676,649,694
370630018023,785,959,1016,1237,1028,1043
370630018024,276,284,253,222,413,504
370630018061,747,750,854,811,922,924
370630018062,1668,1649,1778,1873,1985,2151
370630018071,1310,1400,1487,1446,1265,1282
370630018072,1746,1669,1830,1635,1662,1774
370630018073,1496,1448,1298,1406,1425,1473
370630018081,757,895,895,1089,1010,1203
370630018082,1334,1479,1945,2144,2620,2804
370630018091,1584,1424,1413,1425,1718,1900
370630018092,1881,1878,1855,1491,1522,1201
370630019001,193,168,174,205,271,300
370630019002,1030,1109,1144,1180,1339,1426
370630020071,1058,1046,905,940,1053,1042
370630020072,1153,1306,1210,1378,1180,1418
370630020073,455,411,385,415,394,363
370630020081,375,371,343,387,327,371
370630020082,1060,1028,1091,1094,1138,1126
370630020091,704,854,705,701,734,640
370630020092,562,477,421,414,371,361
370630020093,702,737,702,623,652,752
370630020131,812,838,770,729,745,713
370630020132,534,506,413,512,536,520
370630020133,970,1039,1126,1013,1023,1017
370630020151,1225,1139,1016,1169,1464,1228
370630020152,1206,1247,1126,1221,938,1078
370630020153,195,217,331,299,353,335
370630020161,1638,1768,1989,1678,1886,1870
370630020162,1029,1083,1171,1372,1220,1206
370630020171,980,1024,1094,1079,1155,1197
370630020172,724,807,711,728,776,705
370630020173,1015,1064,1203,1454,1561,1660
370630020181,946,888,924,1025,936,936
370630020182,1611,1492,1606,1777,1775,2032
370630020183,1281,1367,1467,1492,1632,1716
370630020191,1020,1021,1020,1081,944,949
370630020192,706,700,962,899,978,907
370630020193,713,719,819,603,602,719
370630020201,1148,1166,1143,1203,1220,1030
370630020202,1789,1887,2045,2232,2334,2480
370630020211,1628,1645,1860,1839,1897,1809
370630020212,600,747,566,701,643,753
370630020221,1648,1518,1601,1558,1271,1345
370630020222,1136,1067,1025,1084,1222,1262
370630020231,664,696,803,803,797,1000
370630020232,1029,985,913,865,975,903
370630020241,2163,2198,2157,2261,2110,2294
370630020242,609,512,510,489,684,575
370630020243,889,907,951,979,894,869
370630020251,1067,1292,1414,1473,1633,1505
370630020252,1389,1391,1097,947,963,1103
370630020253,633,824,882,951,751,933
370630020261,802,775,671,816,850,1059
370630020262,1855,2060,2125,1939,2157,2170
370630020271,758,680,889,970,1084,768
370630020272,2658,2534,2364,2285,2424,2833
370630020273,1015,922,944,1092,1249,1475
370630020281,911,1095,1213,1393,1519,1441
370630020282,882,758,818,839,1004,1100
370630020283,1664,1753,1803,1972,2006,2290
370630021001,805,852,992,997,948,1042
370630021002,1046,1158,1093,1160,1240,1178
370630021003,981,1011,874,791,837,730
370630022001,858,930,1039,1108,1131,1059
370630023001,209,152,227,225,191,205
370630023002,63,120,166,118,129,143
370639801001,24,54,41,24,0,0
