id,y_2011,y_2013,y_2014
370630001011,443,548,556
370630001012,708,615,555
370630001021,917,1085,1129
370630001022,815,730,729
370630002001,417,464,567
370630002002,417,404,329
370630002003,472,500,407
370630003011,462,606,524
370630003012,322,335,321
370630003013,335,285,333
370630003021,311,332,347
370630003022,572,584,543
370630003023,721,728,701
370630004011,401,376,406
370630004012,379,439,452
370630004013,444,477,455
370630004021,1111,1054,1044
370630005001,289,132,147
370630005002,266,327,287
370630005003,505,444,468
370630005004,363,368,413
370630006001,948,900,931
370630006002,747,961,946
370630006003,168,150,209
370630007001,472,585,584
370630007002,364,389,449
370630007003,474,477,567
370630009001,304,317,334
370630009002,339,365,359
370630010011,440,416,367
370630010012,363,285,389
370630010013,455,565,547
370630010021,890,1055,1021
370630010022,211,344,421
370630010023,285,306,310
370630010024,377,295,392
370630011001,500,643,671
370630011002,501,519,542
370630013011,476,451,477
370630013031,414,420,475
370630013032,188,198,190
370630013041,1031,1048,1049
370630014001,465,380,343
370630014002,703,743,710
370630015011,36,37,43
370630015021,938,943,1123
370630015022,323,506,512
370630015023,836,852,891
370630015024,335,311,318
370630015031,26,0,0
370630016011,432,423,449
370630016012,1160,1144,1123
370630016013,583,646,673
370630016031,223,206,269
370630016032,890,1087,1135
370630016033,505,544,514
370630016034,685,606,551
370630016041,797,774,754
370630016042,1130,1135,1088
370630016043,576,608,637
370630017051,682,685,633
370630017052,772,928,1024
370630017053,600,522,581
370630017061,899,1165,1341
370630017062,1075,996,962
370630017071,428,432,462
370630017072,736,810,854
370630017073,319,246,220
370630017074,709,736,732
370630017075,736,803,771
370630017081,1520,1726,1769
370630017091,256,356,309
370630017092,385,270,226
370630017093,1683,1828,1897
370630017101,1182,1208,1163
370630017102,613,586,711
370630017111,447,436,467
370630017112,685,678,746
370630017113,795,770,711
370630018011,701,674,772
370630018012,163,187,149
370630018013,944,1021,1016
370630018014,279,334,378
370630018015,237,247,218
370630018021,591,597,724
370630018022,724,599,546
370630018023,842,781,852
370630018024,304,267,225
370630018061,778,785,820
370630018062,1350,1385,1331
370630018071,1201,1354,1271
370630018072,1145,1144,1159
370630018073,1136,911,983
370630018081,736,673,767
370630018082,956,1328,1435
370630018091,1324,1230,1250
370630018092,1277,1274,1142
370630019001,205,200,227
370630019002,780,904,914
370630020071,862,883,836
370630020072,951,968,966
370630020073,386,404,402
370630020081,376,367,388
370630020082,826,888,893
370630020091,713,709,662
370630020092,437,381,426
370630020093,642,707,681
370630020131,600,612,639
370630020132,366,374,418
370630020133,821,869,851
370630020151,837,848,962
370630020152,1073,1043,1076
370630020153,432,463,382
370630020161,1341,1411,1257
370630020162,1129,1199,1419
370630020171,788,911,885
370630020172,683,639,662
370630020173,1344,1495,1633
370630020181,1332,1442,1509
370630020182,1471,1523,1563
370630020183,946,1023,1013
370630020191,755,814,888
370630020192,755,814,850
370630020193,774,800,716
370630020201,785,729,797
370630020202,1250,1437,1503
370630020211,1773,1886,1711
370630020212,357,432,505
370630020221,1330,1314,1153
370630020222,1011,1061,1168
370630020231,513,650,611
370630020232,757,665,660
370630020241,1555,1596,1600
370630020242,525,443,447
370630020243,714,755,795
370630020251,794,995,1023
370630020252,1048,950,944
370630020253,546,597,678
370630020261,793,766,964
370630020262,1637,1709,1632
370630020271,532,691,740
370630020272,1991,1931,1909
370630020273,950,862,983
370630020281,697,960,1047
370630020282,649,557,634
370630020283,1429,1541,1651
370630021001,718,827,860
370630021002,916,901,801
370630021003,703,644,691
370630022001,746,855,885
370630023001,280,268,240
370630023002,31,92,96
370639801001,25,32,25
