id,y_2013,y_2014,y_2015
370630001011,588,590,585
370630001012,731,737,731
370630001021,1118,1120,1118
370630001022,840,831,835
370630002001,464,461,467
370630002002,445,641,645
370630002003,429,426,440
370630003011,526,529,546
370630003012,321,321,332
370630003013,316,329,354
370630003021,381,383,383
370630003022,494,497,510
370630003023,895,888,915
370630004011,462,461,461
370630004012,422,424,433
370630004013,343,342,348
370630004021,1048,1558,1610
370630005001,450,900,915
370630005002,365,367,372
370630005003,677,700,716
370630005004,461,467,470
370630006001,1121,1404,1409
370630006002,941,952,961
370630006003,218,218,218
370630007001,498,767,1072
370630007002,473,561,558
370630007003,507,509,510
370630009001,365,383,395
370630009002,458,463,470
370630010011,398,403,397
370630010012,543,550,560
370630010013,559,555,570
370630010021,1080,1083,1079
370630010022,325,331,335
370630010023,370,370,373
370630010024,516,516,515
370630011001,864,867,895
370630011002,577,570,598
370630013011,675,674,698
370630013031,518,514,516
370630013032,289,288,299
370630013041,1092,1092,1101
370630014001,446,448,452
370630014002,762,767,758
370630015011,137,137,137
370630015021,1391,1517,1529
370630015022,705,694,705
370630015023,1125,1250,1250
370630015024,633,632,632
370630015031,,,
370630016011,456,572,580
370630016012,1181,1181,1182
370630016013,668,819,819
370630016031,278,280,281
370630016032,1113,1141,1175
370630016033,509,540,538
370630016034,714,698,714
370630016041,868,862,875
370630016042,1125,1125,1143
370630016043,662,695,702
370630017051,697,704,699
370630017052,1087,1082,1082
370630017053,694,695,691
370630017061,1364,1455,1553
370630017062,1046,1045,1045
370630017071,464,469,484
370630017072,722,719,744
370630017073,265,264,264
370630017074,780,809,810
370630017075,398,1090,986
370630017081,1656,1709,1882
370630017091,364,384,377
370630017092,355,355,356
370630017093,1982,2475,2339
370630017101,1149,1152,1149
370630017102,723,722,722
370630017111,603,646,664
370630017112,768,768,768
370630017113,733,742,742
370630018011,774,776,794
370630018012,268,278,268
370630018013,1006,1045,1066
370630018014,461,459,517
370630018015,288,292,303
370630018021,809,829,825
370630018022,670,670,669
370630018023,798,803,795
370630018024,356,346,346
370630018061,688,722,732
370630018062,1561,1605,1622
370630018071,1039,1146,1225
370630018072,1288,1302,1297
370630018073,1062,1069,1069
370630018081,797,838,838
370630018082,1937,2277,2531
370630018091,1604,1620,1620
370630018092,1170,1189,1201
370630019001,296,404,655
370630019002,999,1037,1077
370630020071,838,837,836
370630020072,1086,1154,1086
370630020073,375,376,378
370630020081,386,386,386
370630020082,840,839,842
370630020091,799,799,798
370630020092,453,451,460
370630020093,713,713,713
370630020131,667,665,665
370630020132,402,402,402
370630020133,803,803,803
370630020151,994,991,990
370630020152,1139,1138,1141
370630020153,197,528,547
370630020161,1759,1855,1759
370630020162,970,966,969
370630020171,981,981,998
370630020172,677,680,714
370630020173,1837,1921,1917
370630020181,1310,1622,1644
370630020182,1641,2005,2001
370630020183,1037,1088,1391
370630020191,876,890,890
370630020192,949,1050,1060
370630020193,713,824,714
370630020201,760,761,768
370630020202,1588,1663,1680
370630020211,1781,1775,1774
370630020212,509,573,519
370630020221,1133,1133,1133
370630020222,1105,1125,1106
370630020231,608,608,608
370630020232,738,878,878
370630020241,1628,1665,1724
370630020242,669,669,669
370630020243,756,756,756
370630020251,895,915,931
370630020252,1046,1046,1049
370630020253,596,599,602
370630020261,1014,1033,1015
370630020262,1827,1836,1834
370630020271,633,673,767
370630020272,2127,2549,2469
370630020273,1053,1054,1054
370630020281,1019,1052,1052
370630020282,937,941,975
370630020283,2070,2118,2478
370630021001,937,954,965
370630021002,788,837,853
370630021003,769,767,789
370630022001,498,801,1191
370630023001,356,331,351
370630023002,79,221,238
370639801001,,,
