id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,166,199,215,201,211,248
370630001012,381,298,217,250,248,299
370630001021,346,350,370,292,301,256
370630001022,312,272,245,262,272,261
370630002001,99,121,128,176,112,89
370630002002,138,127,141,111,139,102
370630002003,230,186,213,217,176,182
370630003011,100,130,114,104,57,70
370630003012,168,118,99,104,78,50
370630003013,87,78,62,73,84,68
370630003021,211,277,284,276,286,281
370630003022,205,200,178,155,189,238
370630003023,129,111,175,157,148,150
370630004011,169,197,194,232,281,279
370630004012,232,282,294,308,254,226
370630004013,203,195,179,198,203,205
370630004021,166,168,184,233,197,205
370630005001,10,0,0,0,0,0
370630005002,38,44,35,53,68,50
370630005003,126,102,70,55,69,98
370630005004,90,71,71,81,61,66
370630006001,458,489,305,338,277,232
370630006002,236,240,198,177,224,191
370630006003,105,86,103,156,192,204
370630007001,43,79,56,71,76,85
370630007002,187,217,220,215,208,272
370630007003,308,237,224,216,231,231
370630009001,15,0,0,0,0,0
370630009002,67,61,56,62,78,37
370630010011,154,98,77,63,47,30
370630010012,127,118,93,60,91,66
370630010013,24,19,27,89,88,61
370630010021,149,134,185,181,134,113
370630010022,25,65,99,117,102,112
370630010023,38,61,76,49,47,26
370630010024,100,107,122,74,69,81
370630011001,33,90,101,92,110,117
370630011002,44,46,79,77,61,93
370630013011,71,76,59,73,99,84
370630013031,76,54,79,80,77,82
370630013032,81,92,101,68,49,45
370630013041,119,119,126,149,131,117
370630014001,34,29,29,30,41,42
370630014002,95,89,106,16,23,42
370630015011,0,0,0,0,0,0
370630015021,57,42,48,61,38,13
370630015022,0,0,0,0,0,0
370630015023,0,0,0,0,0,0
370630015024,0,0,0,0,0,0
370630015031,0,0,0,0,0,0
370630016011,288,260,269,290,310,268
370630016012,1028,889,902,818,831,877
370630016013,263,280,251,309,326,368
370630016031,117,143,121,143,142,170
370630016032,712,790,828,844,836,792
370630016033,303,349,315,268,287,286
370630016034,572,550,508,424,430,462
370630016041,557,557,549,516,529,445
370630016042,824,765,775,824,849,827
370630016043,449,486,496,532,576,544
370630017051,381,355,373,323,343,330
370630017052,169,197,191,256,260,346
370630017053,228,251,254,257,207,188
370630017061,240,211,256,243,268,376
370630017062,536,493,443,382,376,309
370630017071,257,257,288,345,374,344
370630017072,391,451,544,493,439,378
370630017073,234,183,181,140,115,95
370630017074,550,572,532,544,538,543
370630017075,182,187,205,208,258,274
370630017081,767,837,887,954,1018,1032
370630017091,51,56,92,72,99,128
370630017092,102,79,75,108,155,174
370630017093,262,274,224,310,277,251
370630017101,631,748,721,640,574,600
370630017102,207,100,97,125,132,154
370630017111,74,99,76,85,82,101
370630017112,14,13,15,17,14,19
370630017113,109,120,105,89,119,138
370630018011,493,478,503,545,626,475
370630018012,62,40,47,62,83,124
370630018013,626,660,684,705,644,808
370630018014,193,230,186,163,199,163
370630018015,102,63,50,62,127,84
370630018021,333,392,431,492,416,417
370630018022,361,358,401,346,303,235
370630018023,439,375,326,329,314,233
370630018024,129,145,106,75,116,102
370630018061,466,547,526,473,450,418
370630018062,1119,1079,1021,1032,1012,1079
370630018071,493,523,586,533,520,455
370630018072,915,794,848,804,820,878
370630018073,867,909,776,818,785,755
370630018081,650,669,553,597,602,643
370630018082,688,789,1017,1070,1255,1414
370630018091,260,259,265,246,271,308
370630018092,724,756,749,638,579,563
370630019001,67,68,88,134,147,140
370630019002,515,570,683,720,838,936
370630020071,598,586,596,482,605,570
370630020072,474,471,443,505,389,471
370630020073,279,276,332,299,284,237
370630020081,242,212,181,175,220,237
370630020082,596,667,680,705,669,699
370630020091,428,440,389,302,247,249
370630020092,116,153,174,234,217,181
370630020093,282,327,309,341,340,250
370630020131,376,410,390,419,405,432
370630020132,177,171,157,174,138,160
370630020133,601,624,641,605,609,582
370630020151,185,171,149,211,236,238
370630020152,170,150,139,150,50,114
370630020153,15,15,18,0,11,14
370630020161,0,0,0,0,0,0
370630020162,161,144,111,97,146,143
370630020171,457,473,473,423,508,544
370630020172,454,433,412,400,454,393
370630020173,501,462,492,506,499,496
370630020181,336,344,401,398,371,325
370630020182,383,368,424,492,535,565
370630020183,665,736,727,642,625,696
370630020191,84,51,140,136,116,171
370630020192,224,199,236,253,221,264
370630020193,546,580,588,496,517,568
370630020201,610,588,541,674,697,596
370630020202,1115,1212,1214,1311,1278,1415
370630020211,545,509,506,368,392,294
370630020212,252,243,231,260,237,282
370630020221,169,162,153,162,129,182
370630020222,663,688,599,649,585,580
370630020231,169,215,263,236,216,251
370630020232,326,270,255,267,293,294
370630020241,1192,1174,1117,1072,925,1008
370630020242,288,282,234,231,254,315
370630020243,482,478,475,534,405,431
370630020251,707,820,944,944,847,717
370630020252,765,744,686,668,669,622
370630020253,328,395,356,431,370,412
370630020261,367,417,428,461,428,424
370630020262,542,515,553,467,478,481
370630020271,179,188,293,371,378,342
370630020272,790,845,778,627,699,495
370630020273,0,0,0,0,0,0
370630020281,594,658,693,757,770,737
370630020282,0,16,0,0,10,14
370630020283,155,228,261,362,373,465
370630021001,473,431,470,494,478,517
370630021002,546,569,604,628,643,652
370630021003,452,476,456,464,475,443
370630022001,132,146,148,168,151,175
370630023001,11,12,23,7,7,13
370630023002,0,7,4,1,4,4
370639801001,25,39,32,25,0,0
