id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,456,380,437,519,573,702
370630001012,816,749,744,576,621,714
370630001021,1100,1267,1357,1392,1401,1524
370630001022,795,775,700,766,736,805
370630002001,367,373,456,560,765,686
370630002002,622,514,451,296,339,350
370630002003,609,589,557,473,479,612
370630003011,521,582,578,540,466,512
370630003012,369,316,392,377,343,402
370630003013,434,349,358,438,466,452
370630003021,399,430,426,462,493,547
370630003022,776,758,689,648,591,539
370630003023,756,697,894,785,907,914
370630004011,391,399,386,436,489,487
370630004012,381,499,537,536,575,619
370630004013,616,541,673,621,561,613
370630004021,1106,1095,1121,1054,1150,1139
370630005001,232,124,128,145,157,220
370630005002,291,409,387,365,452,398
370630005003,476,401,364,390,432,516
370630005004,224,209,243,342,429,463
370630006001,1151,1213,1201,1368,1407,1436
370630006002,1222,1394,1352,1228,1404,1259
370630006003,169,144,157,166,242,277
370630007001,342,444,385,401,358,405
370630007002,380,336,367,439,513,592
370630007003,745,736,683,689,755,647
370630009001,358,374,461,453,518,441
370630009002,369,251,322,340,388,339
370630010011,540,487,550,457,514,619
370630010012,296,221,225,347,350,440
370630010013,279,383,550,764,783,721
370630010021,980,1007,1014,810,958,1260
370630010022,174,172,259,373,373,275
370630010023,426,279,335,459,623,448
370630010024,304,280,317,543,711,819
370630011001,332,531,602,626,834,897
370630011002,338,271,341,359,462,496
370630013011,313,408,366,450,632,622
370630013031,772,745,848,930,1122,1163
370630013032,164,178,184,179,237,237
370630013041,817,775,980,964,979,1187
370630014001,262,287,221,228,242,221
370630014002,526,552,608,434,453,516
370630015011,618,706,662,520,468,355
370630015021,982,937,932,1126,1200,1144
370630015022,322,354,322,301,365,365
370630015023,1005,1014,1037,1114,908,993
370630015024,223,158,244,167,108,85
370630015031,415,385,323,333,277,236
370630016011,557,506,528,515,547,547
370630016012,1693,1667,1544,1444,1418,1671
370630016013,574,617,693,780,745,701
370630016031,227,170,144,206,210,257
370630016032,1259,1436,1539,1518,1505,1469
370630016033,565,563,586,601,678,636
370630016034,940,866,879,756,764,787
370630016041,885,942,916,805,942,938
370630016042,1561,1508,1564,1482,1249,1222
370630016043,835,846,877,847,919,900
370630017051,762,856,698,680,836,840
370630017052,905,914,979,1122,955,900
370630017053,619,536,573,616,627,735
370630017061,1110,1191,1321,1422,1462,1805
370630017062,1370,1241,1242,1116,1194,1041
370630017071,701,675,735,739,574,566
370630017072,1021,1000,1133,1103,1076,946
370630017073,383,325,331,287,177,221
370630017074,952,1140,976,973,994,979
370630017075,607,704,673,524,506,516
370630017081,1730,1732,1921,2046,2267,2179
370630017091,188,291,309,262,322,316
370630017092,430,338,263,289,324,479
370630017093,1417,1448,1482,1495,1710,1824
370630017101,1396,1457,1371,1332,1362,1439
370630017102,654,674,718,887,845,738
370630017111,467,654,649,793,627,695
370630017112,718,771,659,735,766,786
370630017113,820,760,794,715,790,831
370630018011,879,763,835,1139,1294,864
370630018012,197,186,183,193,230,565
370630018013,1209,1407,1591,1649,1493,1874
370630018014,400,516,502,488,486,307
370630018015,199,280,264,259,226,185
370630018021,754,748,921,1137,899,1017
370630018022,883,915,827,731,702,742
370630018023,804,959,1016,1237,1028,1043
370630018024,297,299,268,235,413,504
370630018061,762,778,883,836,948,924
370630018062,1695,1698,1830,1882,2017,2195
370630018071,1406,1471,1558,1518,1327,1312
370630018072,1805,1714,1886,1697,1738,1815
370630018073,1565,1488,1315,1426,1444,1533
370630018081,858,1005,954,1142,1078,1226
370630018082,1390,1529,2073,2265,2776,3091
370630018091,1626,1486,1480,1477,1753,1911
370630018092,1901,1890,1871,1557,1592,1301
370630019001,202,176,190,222,292,300
370630019002,1090,1160,1183,1213,1402,1497
370630020071,1082,1071,948,995,1132,1116
370630020072,1221,1413,1330,1451,1286,1532
370630020073,529,494,521,464,442,388
370630020081,407,424,388,432,370,410
370630020082,1125,1110,1172,1189,1199,1215
370630020091,738,881,705,701,745,657
370630020092,562,481,429,422,387,374
370630020093,730,764,730,649,677,752
370630020131,863,874,808,770,795,761
370630020132,543,517,439,558,583,557
370630020133,1003,1098,1196,1090,1108,1084
370630020151,1228,1167,1057,1195,1537,1306
370630020152,1206,1247,1126,1221,949,1093
370630020153,195,217,331,301,373,366
370630020161,1638,1768,1989,1678,1886,1870
370630020162,1060,1135,1204,1405,1251,1239
370630020171,1060,1129,1206,1188,1259,1300
370630020172,770,863,759,757,882,849
370630020173,1114,1178,1317,1564,1684,1819
370630020181,982,943,987,1123,1013,1015
370630020182,1698,1619,1795,1954,1964,2207
370630020183,1357,1438,1522,1541,1675,1773
370630020191,1020,1021,1041,1121,977,983
370630020192,719,719,978,942,1037,972
370630020193,812,783,887,659,667,825
370630020201,1226,1242,1202,1295,1307,1117
370630020202,1995,2116,2301,2434,2593,2719
370630020211,1840,1820,2008,1907,1963,1820
370630020212,600,747,566,721,660,771
370630020221,1663,1532,1601,1558,1271,1369
370630020222,1174,1105,1060,1141,1314,1362
370630020231,716,760,843,843,816,1033
370630020232,1046,1014,938,903,1062,1023
370630020241,2382,2381,2376,2508,2389,2559
370630020242,633,536,527,500,700,603
370630020243,1020,988,1007,1037,925,869
370630020251,1080,1292,1431,1495,1745,1635
370630020252,1511,1472,1196,1067,1116,1223
370630020253,633,824,882,951,751,933
370630020261,821,802,701,857,880,1073
370630020262,1863,2068,2149,1954,2225,2260
370630020271,758,680,889,970,1084,768
370630020272,2670,2581,2418,2333,2605,2987
370630020273,1015,922,983,1122,1273,1527
370630020281,973,1173,1292,1447,1577,1532
370630020282,897,758,818,839,1004,1100
370630020283,1664,1778,1833,2014,2099,2381
370630021001,855,918,1049,1052,985,1092
370630021002,1056,1170,1120,1195,1292,1231
370630021003,1006,1041,926,845,876,769
370630022001,878,952,1098,1171,1202,1139
370630023001,209,152,227,225,191,205
370630023002,63,120,166,118,129,143
370639801001,24,54,41,24,0,0
