id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,19114,19422,19350,7812,7040,12224
370630001012,8851,9568,15350,7687,11398,10246
370630001021,10820,8304,11792,10021,9526,12092
370630001022,4642,5576,6475,9508,11281,7010
370630002001,18818,17060,18202,14021,16880,14190
370630002002,17439,10238,4646,12367,7645,10139
370630002003,31338,30285,29217,27210,32941,20368
370630003011,5441,2468,5738,8592,9565,10191
370630003012,26234,17698,19128,21578,13451,16809
370630003013,19464,10759,9724,12460,16516,24922
370630003021,23381,33800,32321,14671,12741,19832
370630003022,27760,26083,16030,12610,10609,9705
370630003023,3244,6167,7385,4377,8171,13233
370630004011,11614,29131,36992,27049,21131,14905
370630004012,29260,24665,30730,42524,27841,10309
370630004013,37044,33003,52588,31062,23386,17634
370630004021,7835,13991,15531,13280,5739,9107
370630005001,1946,7369,13762,11711,,8434
370630005002,13213,7236,5889,6533,6809,11165
370630005003,4955,8478,3939,5734,4687,5691
370630005004,6696,2650,4778,13005,13734,9656
370630006001,12079,14222,14155,14658,17209,2388
370630006002,15013,22276,11480,8095,11056,5247
370630006003,35219,22689,36902,30759,51059,55013
370630007001,9241,3560,4203,4517,5614,7963
370630007002,47343,34014,44079,7274,13394,15646
370630007003,32704,48344,34414,37597,47144,46768
370630009001,6339,8794,10064,6820,10146,11922
370630009002,7048,3686,6575,5177,4118,4298
370630010011,13443,11847,23572,35095,25204,21482
370630010012,5689,1943,2114,7244,6187,3673
370630010013,7922,10919,12207,22159,20670,16310
370630010021,11441,7162,1963,3962,6267,7514
370630010022,6272,5015,7863,7941,18430,21653
370630010023,17678,24487,19058,17567,15630,18554
370630010024,7821,14179,13688,7374,16062,21306
370630011001,2943,1575,2032,1780,2580,4234
370630011002,2663,5340,2471,2895,3816,2688
370630013011,6569,5896,6259,4097,4534,4622
370630013031,7662,14862,10397,5198,9822,7068
370630013032,23308,18882,11533,17650,11537,15649
370630013041,5281,3761,4913,4369,2232,2008
370630014001,7572,5901,6129,6772,10268,13739
370630014002,7989,10826,7367,2389,3918,6765
370630015011,8752,6160,4092,3542,5987,5445
370630015021,7689,5284,5436,4421,3797,4943
370630015022,30309,11332,11589,12016,6244,11253
370630015023,5167,2437,3332,3110,6278,7831
370630015024,4825,7127,17477,14428,,
370630015031,,,,,,
370630016011,31664,32461,36266,55091,64659,34495
370630016012,14139,14262,7866,9688,10138,2875
370630016013,11931,21099,18286,12101,5461,6617
370630016031,18989,19503,19959,46764,27984,16660
370630016032,33060,15469,18392,12366,7650,12314
370630016033,22625,30577,18123,14441,12515,18897
370630016034,14820,15648,11632,8858,11109,28779
370630016041,17458,15737,24023,15146,16545,15938
370630016042,5250,7073,6374,12667,16708,19011
370630016043,12691,10799,15531,14598,17488,29535
370630017051,14939,10562,21356,29092,13743,29062
370630017052,8531,8855,15975,7566,9991,17881
370630017053,4137,19462,10297,12977,11007,21206
370630017061,15043,6349,8963,3881,4058,2561
370630017062,8008,6635,4934,5513,10296,6547
370630017071,17555,33389,25328,42369,31438,43469
370630017072,14747,10152,7917,8768,6157,9768
370630017073,15838,17514,38281,43072,14070,20473
370630017074,49462,33531,25393,24084,15042,14155
370630017075,26619,6533,7271,11293,10253,42175
370630017081,9179,8278,6920,11868,12254,8913
370630017091,15330,11747,25987,17819,,32681
370630017092,12832,19067,12543,7085,8210,9192
370630017093,3642,4374,3745,3772,3832,7613
370630017101,14561,12835,9255,13907,11463,11765
370630017102,9548,15308,13514,9871,9995,11700
370630017111,6413,10377,16986,11744,8161,9798
370630017112,7926,3762,3541,2095,2684,5067
370630017113,14752,16179,8014,7334,6660,4885
370630018011,30397,20089,27258,8492,18070,11343
370630018012,2068,17499,25683,42427,25779,44201
370630018013,15159,24476,13247,16563,19544,21017
370630018014,8685,11658,18935,29080,24603,14888
370630018015,20482,22637,19090,25194,27703,20655
370630018021,16130,10345,26676,17324,15719,22064
370630018022,19033,8573,5078,7760,11403,7353
370630018023,4889,8505,19073,12669,4435,15811
370630018024,23795,30335,31300,12917,19515,28784
370630018061,23291,26109,34089,18175,13725,5005
370630018062,7475,6905,6462,7509,7689,4774
370630018071,16959,13158,11298,14423,19107,14207
370630018072,11386,6805,8409,22417,12783,14070
370630018073,18870,22792,21871,26586,31142,19666
370630018081,27170,31902,18498,21695,19764,10342
370630018082,18990,12336,17057,15379,9253,4946
370630018091,12151,7742,10137,15124,20027,12905
370630018092,13395,9512,12560,16654,10476,13859
370630019001,13365,8120,6140,8963,7763,5106
370630019002,12572,13802,12673,18002,14230,12785
370630020071,6674,30998,25711,24130,21127,17360
370630020072,6365,6430,8555,6735,14453,17277
370630020073,19354,19827,18545,13556,11925,19671
370630020081,61194,42294,45346,53775,32604,64024
370630020082,42246,30198,25748,29285,44332,34970
370630020091,20988,23840,19500,11136,13445,11672
370630020092,26405,18559,18848,11387,21186,17288
370630020093,8431,4820,8400,5637,5967,6477
370630020131,11243,22189,18935,10846,15804,18043
370630020132,13865,20907,22548,9065,21459,19807
370630020133,15247,18860,19434,11906,15338,14526
370630020151,8364,8147,11980,15667,6748,9455
370630020152,5734,5168,10881,10463,7827,9894
370630020153,25753,26782,46075,47485,22586,18416
370630020161,5624,8028,5064,3740,7407,9111
370630020162,10419,10631,6515,8531,7113,5631
370630020171,37153,53474,40112,32955,29189,22574
370630020172,28862,25550,27112,32582,52658,20692
370630020173,13562,31627,13554,11353,12287,9295
370630020181,12444,18948,20594,17746,43776,41989
370630020182,7665,6830,4463,5066,8228,14363
370630020183,28274,22281,15289,17075,15713,12717
370630020191,9129,13826,10141,7153,15029,10611
370630020192,28789,15803,33916,22520,28522,21215
370630020193,23149,26875,28582,19516,12923,26311
370630020201,21451,12512,8473,11347,51512,13519
370630020202,23627,15701,21293,11427,14366,11088
370630020211,6837,14568,14101,11497,15711,15937
370630020212,26635,44068,45563,23913,44550,18652
370630020221,9471,6574,7641,9555,3847,6152
370630020222,15180,15267,34849,25284,21091,22201
370630020231,5787,11156,13469,14786,14855,7110
370630020232,20864,30055,29749,29337,33023,36328
370630020241,12040,8089,10047,12911,22801,22253
370630020242,9592,8824,19017,34845,21933,20799
370630020243,25157,11788,18053,13163,17011,20600
370630020251,8630,26727,11198,13643,15058,15345
370630020252,10278,14106,28102,4531,27040,27639
370630020253,8958,22650,15984,41346,15830,29821
370630020261,5121,2425,4745,10116,6994,8823
370630020262,12614,10985,9548,20470,7655,10451
370630020271,1674,5166,1650,1959,3636,17480
370630020272,9214,13723,12305,11718,13600,8959
370630020273,10245,15535,11838,14891,11461,9001
370630020281,30325,25565,12226,30204,25298,23172
370630020282,19953,18308,9622,8669,9848,8903
370630020283,12890,18211,5962,6198,6209,14905
370630021001,21470,26900,23706,30367,15761,12685
370630021002,12749,19751,21776,25035,19100,18252
370630021003,29943,23594,18313,30647,56320,42177
370630022001,6707,5387,13045,9364,9083,7659
370630023001,3616,4475,4303,6484,9265,7513
370630023002,27698,30293,17608,9658,7177,6335
370639801001,,102503,,,,
