id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,10051,5649,5237,5194,5711,5493
370630001012,3729,3468,3070,2910,2612,3354
370630001021,3069,3190,3061,3331,3352,3685
370630001022,4453,3975,5802,5124,5102,5633
370630002001,8588,7612,6192,4529,3242,4089
370630002002,4245,5042,4324,4996,4998,4175
370630002003,8245,7394,7872,8221,9407,9973
370630003011,4757,4052,3605,3661,3631,3504
370630003012,4781,4346,6070,5511,5432,5203
370630003013,8047,9630,8323,7680,5977,8635
370630003021,10813,12844,13229,12183,6789,7295
370630003022,7814,7702,5869,7670,8497,10517
370630003023,8096,8073,8601,7688,6688,8799
370630004011,8997,9264,9750,9150,7576,7251
370630004012,6504,6023,6195,6448,6908,5588
370630004013,7808,9572,9102,6599,6591,7172
370630004021,5215,5161,4844,5440,3326,3801
370630005001,2606,3763,4490,3997,4708,3750
370630005002,6193,8954,7206,8176,5767,9309
370630005003,3618,4139,3369,3219,3614,3670
370630005004,3162,2897,3375,3055,2972,3082
370630006001,5828,10038,8286,6807,6118,6019
370630006002,5480,6027,5117,6367,6028,7448
370630006003,37812,19409,21767,14467,21732,19181
370630007001,4294,4482,4602,5751,4236,5480
370630007002,23413,19942,14851,14291,11962,13301
370630007003,7374,9151,9168,7669,8187,16027
370630009001,3637,2632,3066,2661,3450,3710
370630009002,2615,2993,2859,3348,3362,3005
370630010011,5595,5019,4722,4663,3554,2962
370630010012,3676,9631,7275,6252,4368,3041
370630010013,1865,1839,2447,2788,3667,3860
370630010021,2082,2336,1871,2256,2041,2297
370630010022,6594,5924,13411,9789,10449,9008
370630010023,5359,5739,5875,4868,6270,6197
370630010024,3234,3076,2460,2178,2042,2287
370630011001,1854,2167,2105,2597,1880,2108
370630011002,1802,1812,1585,2169,2054,2165
370630013011,2491,3405,2870,4023,3901,2499
370630013031,1992,1615,1676,1903,2744,1567
370630013032,10568,8439,5859,5072,4173,3780
370630013041,1955,1684,1824,2209,1941,2080
370630014001,4755,4703,5447,6116,6638,5733
370630014002,2412,2439,13437,16966,15190,12375
370630015011,2100,1456,1098,1169,1387,478
370630015021,2441,2105,2067,2222,2193,2702
370630015022,4946,3443,5131,4681,10944,11502
370630015023,2212,1875,2013,1983,3515,4792
370630015024,2528,3069,2201,3852,4258,9947
370630015031,2490,469,471,639,512,540
370630016011,13793,12888,10886,9005,8502,4746
370630016012,5994,4869,4062,4871,4504,4357
370630016013,7999,7219,8704,8203,11033,8281
370630016031,14001,8598,12198,39937,34995,35721
370630016032,5674,5123,6021,5645,4517,4271
370630016033,7495,7175,7112,6002,6204,5326
370630016034,6345,5424,6519,6277,7700,9724
370630016041,8398,9960,10937,7250,6507,5538
370630016042,6829,7022,7662,8554,8414,8397
370630016043,5466,5795,6698,4524,3781,4091
370630017051,5613,5929,5324,6282,7898,8792
370630017052,13903,11110,18645,17753,24828,22949
370630017053,24285,39814,10450,8538,8062,8061
370630017061,5483,5547,7974,7001,13529,10603
370630017062,6884,7414,8760,7937,8101,6081
370630017071,17637,16912,17506,15907,12727,12409
370630017072,7606,8338,4949,6090,6910,6190
370630017073,13520,10308,8803,8697,11157,10140
370630017074,8117,9475,8552,8552,8330,8066
370630017075,12396,12200,16257,17873,13976,18791
370630017081,2252,6023,7427,6282,5374,6674
370630017091,4006,5241,5822,5742,7036,10258
370630017092,2700,4789,4116,6384,5369,6846
370630017093,2291,2031,1699,1965,2036,2155
370630017101,3887,3087,3237,3281,3036,2549
370630017102,2711,2926,3932,2798,4055,4938
370630017111,4534,3484,4846,4506,5330,5118
370630017112,3740,3449,3620,2710,2797,2960
370630017113,3388,3772,3907,2761,2542,3349
370630018011,6711,7527,7464,7170,7027,7554
370630018012,5841,4532,16685,16902,14143,9242
370630018013,3599,3962,4805,4171,4371,4660
