id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017
370630001011,1,3,2,3,3,4
370630001012,,2,,,1,1
370630001021,,,,1,2,2
370630001022,6,8,6,6,10,17
370630002001,1,,3,,3,
370630002002,2,6,6,7,1,2
370630002003,,,,,2,
370630003011,8,3,4,6,6,5
370630003012,,,,,,
370630003013,,,,,,
370630003021,,,,,,
370630003022,,,,,,
370630003023,,,,1,,1
370630004011,2,,,1,,
370630004012,,,,,,
370630004013,1,1,,6,1,3
370630004021,21,17,13,22,21,22
370630005001,3,1,,4,2,4
370630005002,5,3,6,10,8,6
370630005003,2,,3,3,7,2
370630005004,1,,,1,2,1
370630006001,4,,,1,2,7
370630006002,2,1,,1,5,5
370630006003,,,,,,2
370630007001,15,18,9,13,12,14
370630007002,,,,,1,1
370630007003,,,,1,1,1
370630009001,2,2,,1,1,
370630009002,,,,,1,
370630010011,,,,,3,3
370630010012,,,,,,
370630010013,5,,,,,1
370630010021,1,,1,,3,
370630010022,2,,1,,,
370630010023,,,,,,
370630010024,,,,,,
370630011001,3,2,2,1,1,
370630011002,4,4,1,3,1,
370630013011,,,,,1,1
370630013031,,,,,2,
370630013032,,,,,,
370630013041,3,,,5,2,2
370630014001,,,,,,1
370630014002,,1,,2,4,2
370630015011,31,53,40,81,81,79
370630015021,2,1,1,4,6,8
370630015022,1,,,3,,1
370630015023,3,4,,3,3,2
370630015024,,1,2,1,2,
370630015031,1,5,4,2,2,4
370630016011,2,,,,1,
370630016012,2,,1,,1,
370630016013,1,,,2,,
370630016031,,,,,,
370630016032,1,1,1,2,1,5
370630016033,,,,,2,1
370630016034,,,,,1,
370630016041,,,,,,1
370630016042,,,,,,
370630016043,,,,,1,
370630017051,,1,,,,1
370630017052,11,15,3,5,4,8
370630017053,2,5,2,5,3,2
370630017061,,,1,,7,1
370630017062,1,,,,1,
370630017071,,,,,,
370630017072,5,4,1,2,4,7
370630017073,,,,,1,
370630017074,,,,,,
370630017075,,,,1,2,4
370630017081,1,,,3,4,1
370630017091,,,,,,
370630017092,,,,1,,
370630017093,5,5,9,6,14,10
370630017101,,2,3,8,5,5
370630017102,,,,,,
370630017111,,,,1,3,2
370630017112,,,,,,
370630017113,,,,,2,
370630018011,1,,,1,1,
370630018012,,,,,,1
370630018013,,1,,,3,1
370630018014,2,1,4,4,6,5
370630018015,,,3,4,2,
370630018021,1,1,,1,,2
370630018022,,,,,,
370630018023,1,1,,1,1,2
370630018024,,,,,1,1
370630018061,,1,,1,1,2
370630018062,,,,,4,1
370630018071,1,,3,,2,
370630018072,,,,,,
370630018073,,,,,,
370630018081,,,,1,3,2
370630018082,2,,1,5,10,3
370630018091,9,14,7,8,39,17
370630018092,,,1,2,6,4
370630019001,,1,1,1,8,4
370630019002,,,,,3,3
370630020071,,,,,,
370630020072,4,1,3,4,3,3
370630020073,,,,,,
370630020081,,,,,1,1
370630020082,,,1,,1,3
370630020091,1,2,,5,2,11
370630020092,,,1,,1,
370630020093,1,,,2,6,5
370630020131,,1,1,,2,
370630020132,,1,,,3,
370630020133,,,,,,
370630020151,1,1,8,5,1,4
370630020152,4,5,7,11,6,3
370630020153,14,9,9,10,9,6
370630020161,2,3,,2,1,1
370630020162,15,11,13,9,23,14
370630020171,,1,,,2,2
370630020172,,,,,3,5
370630020173,5,7,4,5,7,5
370630020181,,1,,1,1,
370630020182,5,5,5,8,7,5
370630020183,10,9,7,6,16,3
370630020191,10,13,16,23,19,5
370630020192,,,1,1,1,
370630020193,2,,,,5,1
370630020201,3,1,2,1,2,3
370630020202,,,1,,4,2
370630020211,65,29,15,40,21,31
370630020212,1,2,,1,,1
370630020221,1,,2,1,4,15
370630020222,,,1,,,
370630020231,1,,,,1,1
370630020232,7,3,5,3,7,5
370630020241,1,,,,1,1
370630020242,,,,,,
370630020243,,,,,,2
370630020251,1,,,,,1
370630020252,,,,,5,1
370630020253,,,,,,
370630020261,,,1,,,1
370630020262,1,,1,1,6,4
370630020271,7,8,6,5,21,17
370630020272,25,35,24,35,36,34
370630020273,,,,,1,3
370630020281,7,10,16,22,26,48
370630020282,,1,,1,,1
370630020283,29,44,51,77,93,73
370630021001,14,11,6,12,5,4
370630021002,,,,,1,2
370630021003,,,,,3,1
370630022001,33,41,53,46,54,67
370630023001,6,7,15,10,11,9
370630023002,1,1,1,3,1,
370639801001,59,75,83,49,58,37
