id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017
370630001011,5,6,12,15,17,14
370630001012,3,9,5,12,7,5
370630001021,3,7,6,13,11,16
370630001022,4,9,6,7,7,13
370630002001,4,5,3,5,5,8
370630002002,13,8,8,13,12,18
370630002003,11,14,18,15,21,17
370630003011,4,2,4,7,7,15
370630003012,3,6,7,9,5,6
370630003013,7,8,3,10,12,15
370630003021,17,11,12,20,14,11
370630003022,7,7,8,20,11,15
370630003023,13,23,16,19,21,20
370630004011,5,9,18,14,23,17
370630004012,18,26,22,27,22,14
370630004013,14,5,10,21,11,4
370630004021,11,18,42,43,37,22
370630005001,20,21,12,7,9,1
370630005002,7,5,13,8,11,3
370630005003,16,7,13,12,11,10
370630005004,4,10,10,14,10,11
370630006001,36,17,19,19,28,22
370630006002,11,9,17,20,19,13
370630006003,7,8,12,16,18,12
370630007001,5,7,9,11,12,4
370630007002,20,18,28,26,43,15
370630007003,10,9,12,7,16,9
370630009001,1,3,4,5,4,6
370630009002,,8,12,12,20,30
370630010011,10,3,3,6,7,6
370630010012,5,6,4,13,20,15
370630010013,3,4,16,10,13,26
370630010021,1,1,3,4,4,4
370630010022,,1,1,1,1,2
370630010023,1,1,,3,4,4
370630010024,1,10,3,4,7,5
370630011001,25,26,31,19,24,28
370630011002,16,5,2,5,13,14
370630013011,5,5,7,9,14,16
370630013031,2,1,3,2,5,8
370630013032,2,1,1,2,1,3
370630013041,2,3,4,4,9,4
370630014001,2,5,,1,,1
370630014002,2,1,1,4,6,1
370630015011,12,34,,10,4,1
370630015021,4,2,1,9,2,5
370630015022,,,,,7,3
370630015023,,4,4,,2,
370630015024,28,,1,1,1,
370630015031,3,7,2,4,1,3
370630016011,13,10,10,12,19,13
370630016012,9,15,11,14,15,10
370630016013,6,1,4,11,14,5
370630016031,3,3,3,5,4,4
370630016032,29,26,46,22,10,10
370630016033,4,3,6,6,8,9
370630016034,4,5,5,9,11,10
370630016041,13,10,8,12,8,18
370630016042,14,14,18,27,25,21
370630016043,14,8,5,8,15,16
370630017051,2,3,10,8,10,14
370630017052,23,13,15,20,15,19
370630017053,3,2,4,6,3,6
370630017061,82,82,121,44,3,10
370630017062,6,5,2,10,5,10
370630017071,6,5,7,6,9,12
370630017072,10,8,18,13,26,20
370630017073,3,4,5,8,5,3
370630017074,13,23,17,16,28,19
370630017075,9,14,34,34,27,31
370630017081,23,89,5,8,9,6
370630017091,,1,1,2,1,
370630017092,,1,,,5,4
370630017093,2,,3,4,33,39
370630017101,3,5,4,3,27,10
370630017102,2,2,3,8,4,2
370630017111,15,39,36,1,3,1
370630017112,2,2,3,15,2,1
370630017113,5,1,,1,,3
370630018011,2,7,14,7,8,5
370630018012,3,1,1,5,5,7
370630018013,31,14,27,16,9,5
370630018014,3,,11,4,37,21
370630018015,2,3,1,4,6,4
370630018021,3,2,10,5,4,2
370630018022,1,6,4,1,1,
370630018023,1,5,3,6,6,2
370630018024,,2,1,2,4,2
370630018061,6,8,4,9,9,6
370630018062,38,33,21,29,41,54
370630018071,2,5,3,3,5,27
370630018072,4,6,4,6,3,9
370630018073,5,3,2,5,4,3
370630018081,11,17,6,3,6,4
370630018082,202,299,280,286,349,362
370630018091,2,10,6,7,11,16
370630018092,20,25,22,14,15,20
370630019001,4,89,218,324,293,297
370630019002,9,8,8,5,11,8
370630020071,8,14,16,15,21,16
370630020072,10,14,8,12,21,15
370630020073,9,9,7,6,9,14
370630020081,15,14,19,19,26,22
370630020082,34,46,38,38,45,32
370630020091,2,2,2,4,6,2
370630020092,1,,5,2,7,3
370630020093,2,3,4,4,5,5
370630020131,11,2,5,7,35,51
370630020132,3,4,4,7,3,3
370630020133,10,5,9,8,10,11
370630020151,11,9,10,9,11,3
370630020152,3,8,5,2,6,2
370630020153,2,14,9,25,9,1
370630020161,,7,,10,8,
370630020162,10,3,13,12,19,17
370630020171,52,23,36,34,49,29
370630020172,11,10,17,23,21,21
370630020173,17,19,19,24,21,14
370630020181,11,10,5,5,2,6
370630020182,48,56,15,27,11,12
370630020183,49,63,35,24,35,73
370630020191,2,3,1,2,1,7
370630020192,45,33,16,17,30,32
370630020193,8,11,5,22,29,8
370630020201,9,18,14,21,23,20
370630020202,54,112,84,178,136,152
370630020211,8,6,5,9,8,8
370630020212,1,32,3,3,5,1
370630020221,2,,,2,1,4
370630020222,32,5,7,10,8,7
370630020231,6,8,6,6,9,6
370630020232,8,5,9,6,4,8
370630020241,41,51,60,67,107,49
370630020242,8,11,2,4,5,2
370630020243,4,3,5,13,8,13
370630020251,13,5,45,6,6,6
370630020252,5,4,6,10,8,6
370630020253,5,6,5,3,5,5
370630020261,35,26,1,7,1,2
370630020262,43,47,2,9,6,19
370630020271,29,28,56,79,94,117
370630020272,5,2,6,51,80,40
370630020273,1,1,,1,7,74
370630020281,48,30,21,28,98,141
370630020282,,,,,,
370630020283,93,81,74,166,179,61
370630021001,28,24,14,29,35,14
370630021002,14,15,13,17,20,10
370630021003,13,14,11,16,14,11
370630022001,20,29,19,16,34,27
370630023001,3,,31,51,55,22
370630023002,,,20,2,20,12
370639801001,,1,1,,,
