id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017
370630001011,290822,817787,10064,595464,252675,
370630001012,30000,,,,,1157418
370630001021,,,,28280,27200,
370630001022,490807,6489743,786066,261442,701734,2737473
370630002001,,,9000,874800,250415,27659
370630002002,355050,142868,194823,300,94400,599821
370630002003,,,,19480,,
370630003011,553339,196090,561764,102651,1100016,117436
370630003012,,,,,,
370630003013,,,,,,
370630003021,,,,,,
370630003022,,,,,,
370630003023,,,61141,125000,,
370630004011,469000,,247774,,14526,
370630004012,8900,,,,2500,
370630004013,444830,,1380855,261382,,1218309
370630004021,1858193,7013498,2543178,1766116,2780934,2089332
370630005001,270660,33000,131400,1227823,41395180,6000
370630005002,482070,734388,16777,529083,363994,116161
370630005003,42955,5646806,597359,1796697,300000,29026
370630005004,161595,,,69368,27600,
370630006001,150500,,16000,25486,2340408,168829
370630006002,2451,105245,1000,429363,273966,277581
370630006003,,,,,,1612936
370630007001,2488316,1953354,1331710,1387423,1234319,3699958
370630007002,,,,57753,50000,53500
370630007003,,,,11500,153910,
370630009001,859199,,208691,41011,,
370630009002,,,,498000,,
370630010011,,,,,,
370630010012,,,,,,
370630010013,1808,,122452,298658,118932,642267
370630010021,,,,4700,118608,316755
370630010022,287525,,89808,,,100000
370630010023,,,,,,
370630010024,,,,,,
370630011001,875661,99424,4427,1063765,,15900761
370630011002,2101069,184725,3000,803169,1553359,1900000
370630013011,,,,,,1774200
370630013031,,,,,,
370630013032,,,,,,
370630013041,755659,,26200,1241906,,
370630014001,,,,,,631110
370630014002,139670,,,417102,104988,85653
370630015011,99749121,63909187,40235396,84242906,24262338,121349367
370630015021,,303722,252722,67620,385064,838318
370630015022,241599,,250000,320408,,249864
370630015023,817360,248966,,658202,62655,151773
370630015024,18184,,398583,44453,157525,
370630015031,186595,351610,5024122,86500,516784,
370630016011,405365,,,158370,1823197,782017
370630016012,431862,,,,,
370630016013,,,,,,
370630016031,,,,,,
370630016032,33827,2000,,936218,,79384
370630016033,,,,,14151,
370630016034,,,,,34942,
370630016041,,,,,48823,
370630016042,,,,,399200,
370630016043,,,,,,
370630017051,1,,,110000,108600,2200000
370630017052,10114760,1263493,225858,724083,1200564,227899
370630017053,279500,1971385,1112830,607901,,180000
370630017061,,,668000,,,
370630017062,70682,,,,,
370630017071,,,,,,
370630017072,204184,88111,187000,587695,43000,463728
370630017073,,,,,,
370630017074,,,,,,
370630017075,,,705802,,272155,842691
370630017081,5500,,796810,,78863,
370630017091,,,,,,
370630017092,,,,,,
370630017093,679942,943558,1496284,1191541,777385,626970
370630017101,,52724,214337,1734787,17300,164360
370630017102,,,,,,
370630017111,,,,714538,281533,13202
370630017112,,,,,,
370630017113,,,,,377714,
370630018011,,,,,,316755
370630018012,,,,18599,,
370630018013,,181016,,494785,,15350
370630018014,4700,79000,657980,313150,208837,2782050
370630018015,30884,,1958235,1755735,1125150,11903162
370630018021,178283,,,20500,,2256059
370630018022,,,,,,1018841
370630018023,158659,26800,,498550,,
370630018024,,15000,,,280000,33367
370630018061,,,,87070,,
370630018062,,,10000,,,
370630018071,,166000,,,,
370630018072,,,,,,
370630018073,,,,,,
370630018081,2594049,2359000,,2359000,,
370630018082,5450,21257,4300,660629,,10500
370630018091,8332246,19438438,14315458,24394156,1360349,2921739
370630018092,,496680,2468603,,2350114,31000
370630019001,975500,37166,2000,12000,14500,612327
370630019002,,,140371,,,
370630020071,,,,,,
370630020072,23912,2233239,36279,624599,446172,
370630020073,,,,,,
370630020081,,,,,,
370630020082,,,81960,,21900,143162
370630020091,,380366,1045400,130125,1693630,709301
370630020092,,,716063,,,
370630020093,9000,,,1575547,83630,23300
370630020131,,116000,,,42000,
370630020132,4228,,,,,
370630020133,,,,,,
370630020151,,105090,370981,881000,63800,38800
370630020152,697925,911070,225914,2353587,1320533,692684
370630020153,5091620,2952365,504195,163077,561058,608248
370630020161,55901,1655002,21871039,102804,,250180
370630020162,1645111,6796749,4548489,10646681,4873012,4472240
370630020171,571810,14578,,,150655,450418
370630020172,,,,,1415542,140500
370630020173,87239,757543,1002803,1434075,682474,
370630020181,14500,8600,,,,
370630020182,801641,4017559,3235345,1023902,2272914,10922950
370630020183,3037524,3128427,258810,591160,236807,455192
370630020191,599016,3746745,3890099,1576453,2459128,6051931
370630020192,,418554,,49835,,
370630020193,4001,,,,5000,250000
370630020201,1131025,,40000,145000,983647,355407
370630020202,,,7500,25000,,25000
370630020211,11866150,5206929,23702928,9905064,1486574,34872353
370630020212,297063,15994,,,,24254
370630020221,,120543,723851,3587734,17420631,12087631
370630020222,,,,,,
370630020231,203518,,,,,
370630020232,942020,455771,180692,445432,234989,799530
370630020241,,,,,,
370630020242,,,,,,
370630020243,,,,,,
370630020251,,,,,,79786
370630020252,4000,,,,372900,
370630020253,,,,,,
370630020261,,979000,,,,
370630020262,,547287,145867,1150,517679,
370630020271,1223882,32721654,2068315,3269214,15381954,2207781
370630020272,6068828,5356106,3892959,9504275,15829974,39623789
370630020273,,,56287,112500,91613,120000
370630020281,2441419,574880,4502488,44495760,58257131,31729146
370630020282,,119051,,523423,45000,
370630020283,6245984,10380518,16979941,30745989,54007438,20795474
370630021001,1982769,1555849,63562894,524353,2921397,2338301
370630021002,,,,,,152056
370630021003,,1361558,,,6000,
370630022001,4458516,52177837,30148963,22940745,137207100,72642980
370630023001,11581446,19846870,3738610,3658779,2400094,20736362
370630023002,14900,15824,179808,58875,66000,
370639801001,84013384,157254931,69303454,29853890,62660305,100226097
