id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,406,307,323,340,344,431
370630001012,605,527,441,378,378,468
370630001021,838,967,949,929,1004,1021
370630001022,606,542,545,551,486,496
370630002001,272,268,324,416,588,445
370630002002,308,261,270,188,221,270
370630002003,431,349,373,337,334,370
370630003011,427,423,438,437,355,311
370630003012,145,143,174,161,175,231
370630003013,219,169,209,231,217,196
370630003021,271,283,244,230,281,317
370630003022,592,588,490,460,426,352
370630003023,486,374,506,445,492,489
370630004011,276,257,249,269,366,341
370630004012,296,403,413,407,445,479
370630004013,375,367,496,433,390,442
370630004021,692,709,683,566,693,729
370630005001,72,34,29,40,27,62
370630005002,97,173,135,168,224,232
370630005003,246,205,155,143,165,228
370630005004,119,115,125,215,277,282
370630006001,836,821,791,821,888,936
370630006002,649,878,843,804,855,843
370630006003,152,120,136,115,144,178
370630007001,205,254,203,184,182,246
370630007002,252,287,302,371,434,447
370630007003,601,576,533,560,605,534
370630009001,259,250,262,223,253,197
370630009002,261,179,180,202,241,166
370630010011,236,275,283,314,327,448
370630010012,242,195,155,140,125,195
370630010013,187,287,382,438,448,435
370630010021,391,424,453,387,443,731
370630010022,102,100,181,304,314,239
370630010023,191,176,258,277,385,256
370630010024,170,172,206,325,438,540
370630011001,124,249,298,242,290,374
370630011002,209,194,202,167,205,190
370630013011,197,195,152,194,306,333
370630013031,285,326,359,373,503,539
370630013032,97,130,107,98,134,160
370630013041,499,495,617,655,629,786
370630014001,143,135,116,134,170,178
370630014002,194,193,209,277,311,359
370630015011,73,89,75,29,42,27
370630015021,634,516,427,528,589,515
370630015022,150,156,176,139,172,112
370630015023,294,383,398,438,408,484
370630015024,142,128,84,33,30,0
370630015031,66,47,32,18,31,28
370630016011,398,398,452,430,402,424
370630016012,1365,1470,1369,1253,1230,1426
370630016013,503,469,482,536,532,541
370630016031,215,158,116,106,101,152
370630016032,1014,1192,1297,1343,1232,1337
370630016033,477,464,502,516,619,575
370630016034,827,771,778,637,656,658
370630016041,680,710,705,594,740,799
370630016042,1450,1383,1397,1271,1048,1029
370630016043,702,725,741,760,721,707
370630017051,608,711,553,560,708,667
370630017052,626,669,747,810,711,839
370630017053,516,419,484,542,541,642
370630017061,941,947,1021,979,997,1346
370630017062,1116,1005,999,937,865,811
370630017071,454,434,457,483,463,449
370630017072,884,864,992,1005,913,783
370630017073,340,283,284,233,132,154
370630017074,796,876,753,735,725,680
370630017075,470,491,482,380,401,431
370630017081,1535,1417,1571,1766,1892,1865
370630017091,109,115,124,109,170,221
370630017092,311,267,249,278,294,382
370630017093,982,1017,1038,1141,1305,1385
370630017101,872,904,1000,1052,1102,1094
370630017102,494,431,446,565,540,514
370630017111,392,457,474,550,436,452
370630017112,650,658,560,639,595,609
370630017113,652,637,643,590,638,730
370630018011,653,575,604,833,1000,692
370630018012,197,171,143,154,191,524
370630018013,1020,1257,1443,1455,1376,1759
370630018014,250,356,379,391,349,230
370630018015,155,140,136,164,106,74
370630018021,541,504,622,797,604,757
370630018022,593,621,559,557,530,504
370630018023,612,695,807,859,666,619
370630018024,158,142,117,139,281,343
370630018061,602,652,759,713,794,868
370630018062,1542,1535,1680,1787,1809,1926
370630018071,1106,1176,1262,1195,1081,1045
370630018072,1528,1409,1632,1457,1527,1574
370630018073,1244,1192,1107,1087,1167,1265
370630018081,669,796,768,970,911,1093
370630018082,1112,1386,1816,2068,2482,2639
370630018091,1412,1204,1260,1274,1507,1785
370630018092,1569,1624,1651,1410,1449,1156
370630019001,166,157,157,174,231,247
370630019002,950,1044,1082,1046,1189,1250
370630020071,898,886,786,816,914,854
370630020072,1005,1111,1020,1159,1094,1330
370630020073,396,371,377,415,360,324
370630020081,316,311,291,322,310,315
370630020082,997,980,1075,1027,1067,1060
370630020091,496,570,502,426,436,440
370630020092,415,363,332,348,301,293
370630020093,472,552,548,543,570,589
370630020131,699,728,656,624,585,549
370630020132,405,390,324,318,352,342
370630020133,837,887,867,762,832,833
370630020151,857,848,859,1057,1350,1091
370630020152,656,637,667,652,618,764
370630020153,171,117,162,114,172,201
370630020161,1090,1105,1030,947,914,1009
370630020162,720,867,1009,1135,1025,1054
370630020171,942,960,964,941,956,992
370630020172,494,624,551,617,643,641
370630020173,870,915,1047,1238,1360,1445
370630020181,800,714,727,843,756,756
