id,y_2014
370630001011,32.3
370630001012,33.2
370630001021,22.5
370630001022,31.1
370630002001,53.9
370630002002,28.1
370630002003,14.6
370630003011,34.1
370630003012,18.3
370630003013,14.8
370630003021,12.8
370630003022,17.4
370630003023,17.6
370630004011,28.9
370630004012,11.6
370630004013,28.2
370630004021,52.6
370630005001,65.2
370630005002,32.7
370630005003,36.8
370630005004,36.3
370630006001,29.3
370630006002,26.4
370630006003,14.8
370630007001,61.8
370630007002,20.8
370630007003,9.5
370630009001,34
370630009002,28.1
370630010011,30.1
370630010012,22.6
370630010013,49.6
370630010021,48.2
370630010022,41.7
370630010023,27
370630010024,23.3
370630011001,34.7
370630011002,63.2
370630013011,26.6
370630013031,36.9
370630013032,17.6
370630013041,30.4
370630014001,17.6
370630014002,44.3
370630015011,68.3
370630015021,56.6
370630015022,40.8
370630015023,30.9
370630015024,60
370630015031,
370630016011,28.6
370630016012,14
370630016013,10.1
370630016031,17.3
370630016032,24.5
370630016033,12
370630016034,17.4
370630016041,15.1
370630016042,8.7
370630016043,20.5
370630017051,17.7
370630017052,45.4
370630017053,17.5
370630017061,2.2
370630017062,12.6
370630017071,9.8
370630017072,35
370630017073,5.6
370630017074,10.2
370630017075,3.7
370630017081,10
370630017091,27.5
370630017092,33.9
370630017093,35.4
370630017101,14.8
370630017102,3.5
370630017111,29.5
370630017112,14
370630017113,8.4
370630018011,17.8
370630018012,18.1
370630018013,21.5
370630018014,36.8
370630018015,51.1
370630018021,25.5
370630018022,15.6
370630018023,21.5
370630018024,40.9
370630018061,32.9
370630018062,10.5
370630018071,17.5
370630018072,4.7
370630018073,4.7
370630018081,8.9
370630018082,13.2
370630018091,42.5
370630018092,27.9
370630019001,30.1
370630019002,31.9
370630020071,8.6
370630020072,12.8
370630020073,3.3
370630020081,14.8
370630020082,11.9
370630020091,33.8
370630020092,21.2
370630020093,17.1
370630020131,1.6
370630020132,21.5
370630020133,2.1
370630020151,28.9
370630020152,47.6
370630020153,34.4
370630020161,61.5
370630020162,40.9
370630020171,11.6
370630020172,17.9
370630020173,19.5
370630020181,7.1
370630020182,15.6
370630020183,22.6
370630020191,42.2
370630020192,17.4
370630020193,10
370630020201,15.3
370630020202,7.4
370630020211,29.9
370630020212,9.9
370630020221,15.5
370630020222,1.2
370630020231,3
370630020232,35.8
370630020241,2.1
370630020242,0.6
370630020243,0.3
370630020251,6.5
370630020252,9.4
370630020253,12.3
370630020261,8
370630020262,23.9
370630020271,35.9
370630020272,40.4
370630020273,75.8
370630020281,18.9
370630020282,17.8
370630020283,40.9
370630021001,28.9
370630021002,45.7
370630021003,42
370630022001,62.4
370630023001,22.7
370630023002,50.7
370639801001,58.2
