id,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,4000,12450,12850,24460,9500
370630001012,3500,10400,11500,15900,8500
370630001021,5400,19000,9982,17601,18500
370630001022,8722,12250,18100,27057,11200
370630002001,13264,20000,12710,37600,32000
370630002002,10000,25250,54800,25753,38100
370630002003,23642,15000,31750,36750,20000
370630003011,27150,3150,31500,38820,22000
370630003012,3034,8000,28000,9000,7500
370630003013,43876,25000,20500,64755,213089
370630003021,11744,6586,11583,18280,20500
370630003022,15529,13400,27500,12000,77000
370630003023,28250,19000,37000,23000,18440
370630004011,7500,23750,12550,16000,10770
370630004012,11261,19900,21145,22770,29020
370630004013,13800,25500,38742,20500,19525
370630004021,20182,36500,12000,37090,24000
370630005001,27541,9527,62240,82895,31264
370630005002,12689,31500,51000,33350,60000
370630005003,17261,54606,5000,80000,33393
370630005004,19400,30705,17250,67500,25800
370630006001,14350,9785,29848,90000,24697
370630006002,19300,15279,31000,55390,22368
370630006003,47100,39000,21900,52900,29403
370630007001,14883,49000,6500,27934,42900
370630007002,27100,29000,29350,24000,47546
370630007003,24400,16081,48900,21850,14684
370630009001,5800,74514,71871,26900,35000
370630009002,11800,25000,20000,18750,28500
370630010011,41000,29000,5553,16748,31810
370630010012,49500,8750,36000,75000,59000
370630010013,36500,19000,75000,91641,70000
370630010021,11000,5300,500,20000,69910
370630010022,,4470,6000,,5000
370630010023,8740,7000,14750,22000,100820
370630010024,21000,26000,11000,16369,48750
370630011001,10000,6200,11600,20000,44857
370630011002,76164,106562,137300,1.00E+5,62000
370630013011,8000,20000,11000,15000,17100
370630013031,2800,11350,6875,21200,46764
370630013032,18000,,,22000,12336
370630013041,17009,5000,13000,27000,8535
370630014001,8500,21000,,21367.79,17000
370630014002,26000,28353,5998,8500,29250
370630015011,30000,9527,,449181,3955101
370630015021,2400,2933.5,2580,4259,732511
370630015022,75000,,,,2985208
370630015023,4784310,,,3095267,561701
370630015024,33178,3902,,242445,13800
370630015031,166440,39517,3559,84884,5.00E+6
370630016011,96228,227510,100650,61395,144696
370630016012,12900,9500,8800,6701,17300
370630016013,13000,10097,23405,15600,13125
370630016031,17494,15000,7500,6140,8925
370630016032,114972,158268,158433,18237,16458
370630016033,4000,6428,29500,35941,48700
370630016034,12409,17244,4350,19050,29100
370630016041,23000,12000,8000,10000,26535
370630016042,24500,26500,14372,17000,34172
370630016043,5725,10525,15557,33800,14060
370630017051,2400,5206,21000,12900,10273
370630017052,17647,20000,22500,13600,51536
370630017053,3250,6300,1000,14285,2575
370630017061,87615,94710,87912,22770,11625
370630017062,13210,2500,20000,12004,10000
370630017071,21375,109397,9762,23500,76750
370630017072,7500,14500,9450,12603,22500
370630017073,6500,22250,15148,7750,27776
370630017074,86500,187374,35496,15000,18939
370630017075,21546,321618,329934,387710,126500
370630017081,167442,102498,18700,17539.485,19088
370630017091,,13300,24600,6044,8250
370630017092,15856,,,29900,13300
370630017093,7500,7500,27845,32090,136257
370630017101,5225,7014,14670,50000,14424
370630017102,3000,5000,2500,25000,6137
370630017111,128766,128700,131406,44872,63000
370630017112,13705,6001,5265,10560,40887
370630017113,152734,,,1800,36300
370630018011,115566,115566,116688,7700,8092
370630018012,15850,2400,19100,7400,100787
370630018013,149754,129822,124905,69100,16800
370630018014,53000,5250,112431,112332,122100
370630018015,15000,8500,26100,35000,18061
370630018021,8650,10000,13500,8050,21000
370630018022,10559,9448,24000,6561,325
370630018023,29879,30450,17897,9075,17000
370630018024,30500,800,14300,14500,11579
370630018061,34626,22000,4000,9449,8950
370630018062,90000,170544,112250,157707,167046
370630018071,1750,6095,3150,2900,153912
370630018072,5399,33688,5007,12250,21500
370630018073,7200,16000,18500,6780,6750
370630018081,29532,86500,10398,14250,5602
370630018082,193512,184404,187377,143716,185790
370630018091,1164483,22829,24668,792917,27979
370630018092,119627,209649,6000,8900,6800
370630019001,43300,178860,155000,155000,167838
370630019002,45100,36000,51900,62000,31000
370630020071,9000,10000,16800,17500,31542
370630020072,15800,19038,40400,31200,34697
370630020073,8500,21566,14000,22000,16000
370630020081,91750,57000,38556,50000,73000
370630020082,61584,24600,25000,38950,24328
370630020091,16500,40168,9857,6536,13900
370630020092,1001,6000,2127,9900,4650
370630020093,27900,15000,21850,14900,11900
370630020131,12500,12200,5000,109800,153318
370630020132,26029,9279,5000,7150,2800
370630020133,11000,2580,5600,6000,7500
370630020151,11650,6840,13900,11150,8900
370630020152,6452,67000,,8000,41250
370630020153,121400,200,268117,200,6300
370630020161,44000,40000,,11776,7440
370630020162,10928,17053,215891,143600,141088
370630020171,83400,25600,16000,23150,22500
370630020172,20550,160250,29000,14000,12000
370630020173,11000,18200,12458,12992,21316
370630020181,216810,214995,50300,50856,302478
370630020182,252780,252780,9600,19400,15750
370630020183,114000,114000,16454,15438,150810
370630020191,21750,25600,56867,27069,23000
370630020192,189354,198066,8304,199320,216279
370630020193,13700,12092,9400,20000,11275
370630020201,22000,21464,58864,70958,154878
370630020202,41950,36500,197318,145651,198198
370630020211,14435,18187,1000,15625,20151
370630020212,25496,8163,4450,15118,2900
370630020221,3500,49000,2725,10855,15500
370630020222,15000,6700,3375,6580,15000
370630020231,9518,9000,6975,7816,6900
370630020232,6100,28260,16835,10000,26000
370630020241,200937,202554,203808,149000,138666
370630020242,9124,9850,6251,105396,12350
370630020243,9643,239481,6000,4800,5175
370630020251,145759,157641,17302,66594,16500
