id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,40.9,46.7,42.6,41,39.9,39.3
370630001012,32.7,34.4,36.4,31,31.8,31.9
370630001021,33,32.5,32.4,32.1,31.6,31.1
370630001022,43.7,38.8,39,44,42.9,40.6
370630002001,38.7,38.6,35.6,36.2,31.9,33.5
370630002002,37.3,37.4,29.9,31.2,33.8,34.1
370630002003,33.4,29.3,30.2,33.3,33.3,32.2
370630003011,33.8,31.1,31.7,29.8,30.9,32.6
370630003012,40.2,47.4,47.5,40.8,37.9,37.7
370630003013,35.2,30.7,31.7,30.2,30.7,30.2
370630003021,38.9,43.6,40.2,40.4,40.6,37.2
370630003022,29.8,35.2,35.7,35.3,33.9,38.3
370630003023,32.2,33.7,36.1,32.4,33.4,33.1
370630004011,43.5,42.2,37.6,35.2,38.1,43.3
370630004012,48.5,48.1,46.1,40.9,38.6,36
370630004013,36.9,30.2,30.7,32,32.8,32.4
370630004021,30.2,29.6,28.7,28.6,28.7,28.4
370630005001,21.7,22.7,22.6,21.8,21.5,21.3
370630005002,31.5,31.5,31.8,30.8,30.6,31.4
370630005003,28.3,28.9,26.1,27.2,27.8,28.3
370630005004,32.1,30.3,32.1,31.4,29.7,31.4
370630006001,35.7,34.5,31.3,32.7,34.1,34.6
370630006002,37.5,31.2,31.5,33.1,31.1,33.2
370630006003,60.6,59.9,54.7,59.4,55.1,54.5
370630007001,48.3,48.2,47.1,45.8,47.7,42.6
370630007002,49.9,51.6,42.4,42.5,39.1,35.5
370630007003,39.6,36.7,38.3,37.5,35.8,37.4
370630009001,28.8,31.3,33.9,34.7,33.6,37.4
370630009002,27.5,40.1,35,35.3,31.9,31.3
370630010011,35.1,30.5,31.3,32.4,30.4,31
370630010012,33.9,48.4,42.1,42.7,42.3,42.5
370630010013,33.3,25.2,23,30.9,30.6,30.3
370630010021,30,28.8,29.4,28.8,26.5,29
370630010022,30.2,47.4,36.3,26.7,25.3,31.7
370630010023,29.9,35.5,39.8,37.5,37.5,35.9
370630010024,31.2,23.7,19.9,30.4,22.9,32
370630011001,35.4,35.6,30.6,26.6,26.7,26.7
370630011002,31.7,33.4,33.3,33.3,33.4,36.3
370630013011,28.2,28.5,31.5,33.3,34.2,30.9
370630013031,19.6,19.6,19.7,20,20.3,20.6
370630013032,54.4,57.6,55.6,54,48.3,46.6
370630013041,32.4,30.2,31.4,34.1,31,31
370630014001,25.1,21.3,23,27.6,37.9,32.6
370630014002,25.1,25.1,25.3,22.1,23.5,21.8
370630015011,19.6,19.7,19.8,19.8,20.1,20.3
370630015021,26.4,24.8,24.8,25.3,26.8,27.5
370630015022,26.2,23.9,24.6,27,26.3,25.3
370630015023,25.5,25.2,25.1,25.4,25.6,26.8
370630015024,24.6,25,25,25.6,25.7,41.5
370630015031,18.9,18.9,19,19.1,19.1,19.3
370630016011,46.8,54.8,50,49.3,54.8,46.9
370630016012,39,38.8,39.4,39.1,41.6,41.6
370630016013,46,42.9,44.2,39.6,44.9,45
370630016031,57.3,45.7,47.2,44.3,43.3,37.1
370630016032,37.9,40.7,41.1,41.9,44,42.7
370630016033,50.1,48.6,53,45.8,42.8,44.3
370630016034,45.3,44.6,44.7,47.2,49.8,51.6
370630016041,46.1,47.5,48.2,50.1,49.9,52.2
370630016042,45.3,46.3,45.5,47.1,50.6,50.3
370630016043,44.1,42.8,44.2,41.8,35.9,35.7
370630017051,47.8,44,44.4,44.6,44.1,42.1
370630017052,49.7,49,44.6,41,47.1,46.2
370630017053,31.7,37.1,37.1,31.8,42.3,37.5
370630017061,35,33.2,35.1,35.1,31.5,30.4
370630017062,31.6,31.8,33.9,32,38,36.8
370630017071,43.1,43.1,43.3,41.6,51.5,49.7
370630017072,37.9,45.9,46.4,47.1,50.2,50.7
370630017073,56.1,56.5,56.7,58.5,62.2,54.5
370630017074,46.3,43.5,39.3,38.2,38.3,44.4
370630017075,55.8,59.9,61.6,66.8,66.2,67.2
370630017081,32.9,33.6,33.1,33.2,32.7,34.8
370630017091,30,30.2,37.4,21.3,33.1,35
370630017092,28.1,28.3,29.2,41.2,33.4,30
370630017093,26,28.8,24,28.9,31.9,31.3
370630017101,31.1,29.7,35.3,36.9,35.9,31.7
370630017102,31.4,29.5,31.1,30.3,32.6,34.8
370630017111,27.6,29.4,30.4,30.9,39.2,41.8
370630017112,32.2,33,31.8,29.6,29.1,26.8
370630017113,28.2,34.1,34.5,36.9,34.7,35.3
370630018011,35.1,30.6,30.8,31.5,31.8,35.8
370630018012,43.3,45.3,46.2,43.8,47.4,50.4
370630018013,35.3,30.7,35.1,37.2,31.5,30.3
370630018014,26.6,26.3,25.2,30.1,36.1,41.9
370630018015,55.9,42.8,54.4,56.8,60.6,48.7
370630018021,29.2,30,29.4,29.2,37.6,36.6
370630018022,30.7,32.2,32.8,38.9,30.5,29.3
370630018023,31,30.8,31,32.9,32.4,33
370630018024,30.9,30.7,36.1,38,37.3,34
370630018061,47.2,45.8,44,46.3,44.1,44.1
370630018062,32.8,32.3,32.3,32.3,35.3,34.5
370630018071,31.3,31.7,33.9,34.7,37.4,37.9
370630018072,37.2,32.6,32.3,32.6,32.6,32.9
370630018073,33.1,33.7,32.6,31.5,33.1,33.7
370630018081,37.5,38.3,37.3,41.8,41.3,41.2
370630018082,34.7,34.5,35.4,33.7,32.6,33.4
370630018091,26,27.3,27.9,29.1,29.8,33.6
370630018092,30.8,33.1,31.6,30.3,29.9,35.5
370630019001,59.4,60.7,56.2,52.1,51.9,51.9
370630019002,36.7,37.1,36.8,36.2,37.9,37.9
370630020071,41.4,42.6,45,45.1,42.9,48
370630020072,49.7,42.6,40,34.5,37.3,31.9
370630020073,35.5,38.6,45.2,57.8,57.4,57.1
370630020081,57.4,56.8,52.6,54.5,52.5,52.8
370630020082,40.3,40,40,41.5,41.9,42.2
370630020091,39.4,37.5,33.4,31.6,31.4,32
370630020092,44.4,48.2,48.1,53,52.6,52.1
370630020093,37.6,39.2,40.5,47.4,50.3,45
370630020131,35.5,37.2,41.3,37.1,37.5,40.7
370630020132,36.6,36.4,36.8,43.8,47,42.7
370630020133,33.9,36.7,38.6,39.7,41.6,40.5
370630020151,29.4,29.5,30.1,30.7,30.9,32.9
370630020152,25,27.3,29,28.8,29,28.9
370630020153,63.6,74.4,58,63.4,45.9,45.3
370630020161,27,26.2,27.5,29,31.7,31.2
370630020162,29.2,29.8,29.7,29.2,29.6,29.8
370630020171,46.1,48.6,49.2,49.1,45.4,47.1
370630020172,52.3,52.8,54.3,53,51.1,50.2
370630020173,34.4,32.5,35.1,35.2,35.1,36.4
370630020181,58,60,62,61.4,61.2,58.5
370630020182,28.2,29.2,30.6,29.8,31.1,30
370630020183,41.9,44.1,46.8,50.7,50.1,47.5
370630020191,27.6,27,26.4,26.8,27,28.9
370630020192,27.2,26.9,27.6,28.1,27.9,30.1
370630020193,51.2,48.6,49.3,49.3,53.5,42.9
370630020201,33.8,36.4,35.8,35.7,36.6,36.9
370630020202,36.9,36.6,36.1,37.3,36.9,39.3
370630020211,31.9,32,35.4,32.5,31.6,31.7
370630020212,36.9,29.3,29.3,27.9,27.6,28.6
370630020221,30.2,31.9,32.3,29.9,30.2,30.7
370630020222,33,36.2,41.2,41.1,33.2,35.7
370630020231,27.6,31.2,31.5,31.6,31.7,35.4
370630020232,39.7,35.8,41.1,39,35.3,33.7
370630020241,32.4,32.8,37.2,35.9,36.3,35.9
370630020242,33.3,35,34.6,35.9,34.1,36
370630020243,40.8,46.5,46.5,43.3,42.7,39.1
370630020251,33.3,33.2,33.6,34,38.6,37.7
370630020252,30.3,34.2,35.2,38.1,37.4,35.9
370630020253,33.3,32.2,28.7,34,29.9,35.2
370630020261,37.1,32.9,33.1,32.9,34.4,35.3
370630020262,29.2,26.8,25.5,25.8,26,27.6
370630020271,28.4,28.8,30,30.3,30.2,36.5
370630020272,28.8,29.9,29.9,28.3,29.6,28
370630020273,29.5,29.2,26.9,27.2,27.8,26.7
370630020281,35.1,31.2,31.4,32.6,32.6,33.3
370630020282,29.9,29,28.7,30.1,29.8,30
370630020283,29.9,30.2,30.5,31.5,32.6,32.9
370630021001,46.1,49.6,49.5,50.8,54.1,53.6
370630021002,39.9,40.5,40.5,40.2,41.1,42.1
370630021003,51.8,51.7,53,53,51.9,53.4
370630022001,31.8,31.2,30.8,32.2,32.2,30.6
370630023001,29.8,34.6,32,35.1,31.2,32.4
370630023002,27.4,24.8,27.2,18.5,20.9,22.5
370639801001,54.5,54.4,54.6,54.5,,
