id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,43125,41375,42083,36111,34412,36809
370630001012,37763,38906,37569,38047,36364,48458
370630001021,31495,32773,35402,30820,32554,35387
370630001022,38558,40888,41121,46726,46100,51956
370630002001,31563,27500,24485,24453,28750,28375
370630002002,32829,29423,34314,36343,39712,38824
370630002003,52857,40375,41944,81875,49464,56359
370630003011,34389,31418,31094,30887,28281,26250
370630003012,51667,34097,46607,36094,32885,34250
370630003013,43375,41094,44271,39875,35000,52031
370630003021,85469,83578,66250,62674,66642,74554
370630003022,50682,52727,37226,42313,56528,59583
370630003023,21828,24886,30805,32839,34068,34805
370630004011,50917,67647,61094,64891,65125,64453
370630004012,69327,78438,79792,83750,80694,70441
370630004013,80068,65250,43125,60368,71250,85598
370630004021,41466,40000,32101,39792,45610,44100
370630005001,5380,9821,4773,4648,,13125
370630005002,24573,27723,24943,24180,26875,28125
370630005003,25393,27622,22429,21333,20882,24667
370630005004,17019,18750,21141,23295,35809,34554
370630006001,53333,58810,54836,56302,44601,41591
370630006002,55452,39926,31065,30562,33274,32184
370630006003,160517,139091,128214,108750,109226,110326
370630007001,20221,19010,18342,19524,18218,22105
370630007002,69038,69375,70795,62098,61979,59097
370630007003,58611,86667,74205,65521,49735,76071
370630009001,27266,26875,30099,24250,22292,23281
370630009002,16033,16146,16926,24922,25434,26444
370630010011,31423,31400,27500,45139,31786,41316
370630010012,16391,15701,16058,25819,26875,26203
370630010013,18563,19871,23242,34271,35227,37865
370630010021,22576,22026,21463,22595,22739,29665
370630010022,18050,20156,23621,23652,24421,24063
370630010023,29904,26591,31731,33629,28821,19920
370630010024,28272,29700,28894,32642,33849,30385
370630011001,16339,18337,17710,18548,18679,20441
370630011002,21693,20489,20654,20417,21960,20591
370630013011,13986,17685,18125,20982,23661,23587
370630013031,26333,19836,26579,21473,27132,20977
370630013032,36964,28750,45625,44038,44250,35521
370630013041,22679,20343,22063,21896,21157,21229
370630014001,16219,17396,16048,20875,28651,35781
370630014002,14877,17143,16551,13350,13956,16974
370630015011,7955,8482,9313,8807,9107,10536
370630015021,26801,26236,24219,26327,26278,26691
370630015022,11960,13684,23750,24464,30285,29545
370630015023,27382,27121,26946,26560,24700,24444
370630015024,12835,9983,13389,13145,,
370630015031,,,,,,
370630016011,78611,80000,81394,71895,89402,91597
370630016012,70645,69719,72143,76948,71940,78638
370630016013,51620,50577,54878,66250,75867,75104
370630016031,65341,60132,59625,60852,61250,67917
370630016032,88214,75903,77232,68967,68033,67533
370630016033,63917,66696,52177,54281,60580,54912
370630016034,95516,99483,98125,102147,106905,109083
370630016041,79861,81875,84667,70463,72021,74132
370630016042,93377,93836,92790,96891,101339,105673
370630016043,77500,81300,82120,82540,88958,91979
370630017051,48333,47690,43646,48313,62756,64030
370630017052,45117,44489,42548,47689,46938,50522
370630017053,41378,46250,62256,61424,62180,57936
370630017061,41576,40816,41011,37091,37364,39196
370630017062,47450,50250,50754,49189,52152,54125
370630017071,82237,86250,93750,93716,93715,77411
370630017072,60966,58309,60200,57113,57813,59129
370630017073,69864,80294,68250,72000,54583,70625
370630017074,72340,73777,61528,73846,64423,63190
370630017075,70291,70933,73750,73588,69063,71923
370630017081,43981,48116,48550,55029,56149,55563
370630017091,35603,42917,40156,26708,,42171
370630017092,35579,33047,24886,22065,24946,27961
370630017093,24458,24601,22220,22086,21612,23307
370630017101,47727,49250,55412,47813,46417,49643
370630017102,26917,33993,35417,33472,33235,40313
370630017111,31387,39239,40750,47083,46207,50000
370630017112,33342,31450,29388,28651,29103,29706
370630017113,32168,32154,31716,32183,32003,38267
370630018011,58523,52727,71538,86324,83719,87229
