id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,124490,125857,118831,126185,124992,136289,132128,139880,134869,134239,103458,120521,112665,134451,118362,138500
370630001012,122415,133977,122132,101720,121564,103568,114084,94757,145265,58659,86864,46565,101935,86844,100428,108000
370630001021,131406,137698,126753,134554,142759,141093,145515,129445,137117,139162,130575,109564,143514,140729,130659,153500
370630001022,126910,138037,145238,139704,147747,141693,145515,140162,140488,139316,132524,122164,126077,139683,134246,182500
370630002001,145584,148863,142597,164813,152110,120079,182767,157929,137117,136496,168161,121069,150220,128173,193427,233250
370630002002,93367,108264,128074,112665,196995,124882,106517,128599,89912,129727,148115,64095,64916,145961,197270,261000
370630002003,204025,221941,165043,218892,211957,198730,186260,182746,243888,282016,271451,284868,278980,273611,404788,270750
370630003011,116190,116384,118831,109446,139954,117377,139695,169209,117448,67684,63478,108469,63307,82659,142444,125000
370630003012,67086,59207,110909,133910,124681,95463,116412,90245,150603,123805,128069,98608,168997,157993,153717,251000
370630003013,257971,189800,109589,155799,163020,213140,215363,206436,445629,199667,248343,257203,252155,188859,268748,320000
370630003021,192613,223295,186169,207947,210710,216142,247958,244790,275357,214332,256139,256655,252155,289305,277203,284500
370630003022,163220,189462,174286,204728,166137,204134,185095,155109,177296,222228,246673,213651,192872,307616,281814,185000
370630003023,322982,298403,219838,301298,293935,258169,323044,381285,393367,423024,344117,379641,423835,245883,286938,417500
370630004011,150771,135330,154481,171894,163332,168110,201975,160185,199493,210384,166490,182973,200114,192521,185741,260000
370630004012,223390,245962,217857,251082,265570,249163,254361,304577,278729,290476,258366,261585,301781,355223,339202,281000
370630004013,293243,269307,266710,217604,292999,303199,279389,237175,255408,273273,268946,263776,233377,370133,281814,333750
370630004021,131406,147510,120152,141636,185774,160605,174618,183874,163528,224485,228298,181603,236060,229142,318963,253500
370630005001,,93378,105628,56654,,134488,,,,43148,61529,,162023,,,
370630005002,119649,115031,126753,97214,124681,122480,97204,180490,127106,163569,86864,273911,193140,291921,128097,309500
370630005003,94751,20638,54728,34121,112836,115276,82653,39482,54509,134239,61251,115043,43456,120849,211617,236500
370630005004,105125,67665,99026,74681,86030,103783,83235,39482,39337,86861,74837,82721,68940,115094,126048,93000
370630006001,178435,169163,158442,170285,167072,156703,177529,164133,189659,186130,189320,162155,201187,162702,215204,235000
370630006002,241026,243594,196732,252369,194502,260571,261927,219408,270580,130291,256139,268433,230158,277534,302310,265500
370630006003,370703,392457,421190,397546,383393,369843,498826,486759,420903,452353,361935,410319,431882,481304,501117,462000
370630007001,95442,100144,178247,139061,135902,153100,249122,169209,200055,84605,272843,250355,311170,222341,286938,280000
370630007002,301196,295019,255487,276834,269310,360236,231951,310217,337453,335599,350799,179138,226403,402830,361235,355000
370630007003,234802,216528,231061,209235,216944,222146,218587,252686,223657,252686,228298,240768,227476,338744,285913,305000
370630009001,59478,35650,69912,59322,97251,70846,76599,33981,44956,27074,31182,26295,25752,28774,48165,85000
370630009002,67086,93378,72619,66955,84783,60039,59296,43148,19106,32432,30347,27391,78329,47084,71735,86500
370630010011,107200,63605,72883,70818,97251,75049,65191,39482,50576,26904,26728,47113,52577,69580,51239,71500
