id,y_2014,y_2016
370630001011,203,67
370630001012,102,101
370630001021,531,253
370630001022,565,182
370630002001,86,30
370630002002,566,533
370630002003,410,168
370630003011,517,522
370630003012,304,293
370630003013,0,0
370630003021,272,209
370630003022,407,309
370630003023,859,397
370630004011,438,38
370630004012,368,120
370630004013,149,148
370630004021,392,382
370630005001,0,0
370630005002,341,338
370630005003,700,697
370630005004,460,440
370630006001,602,617
370630006002,573,570
370630006003,73,73
370630007001,743,484
370630007002,561,336
370630007003,496,496
370630009001,383,326
370630009002,447,439
370630010011,403,386
370630010012,259,489
370630010013,186,186
370630010021,702,694
370630010022,268,257
370630010023,93,214
370630010024,355,349
370630011001,852,719
370630011002,473,506
370630013011,674,513
370630013031,489,232
370630013032,269,203
370630013041,1089,482
370630014001,350,349
370630014002,767,756
370630015011,1,1
370630015021,1049,1037
370630015022,0,0
370630015023,680,680
370630015024,632,632
370630015031,,
370630016011,35,34
370630016012,607,579
370630016013,48,48
370630016031,163,74
370630016032,60,60
370630016033,0,0
370630016034,0,0
370630016041,33,27
370630016042,17,17
370630016043,0,0
370630017051,431,196
370630017052,248,247
370630017053,425,425
370630017061,665,753
370630017062,35,35
370630017071,14,8
370630017072,0,0
370630017073,0,0
370630017074,414,333
370630017075,7,26
370630017081,529,252
370630017091,317,305
370630017092,260,261
370630017093,100,90
370630017101,532,524
370630017102,239,199
370630017111,304,298
370630017112,681,116
370630017113,33,24
370630018011,0,0
370630018012,0,0
370630018013,95,95
370630018014,0,0
370630018015,0,0
370630018021,307,289
370630018022,152,150
370630018023,304,301
370630018024,189,174
370630018061,0,0
370630018062,0,0
370630018071,37,33
370630018072,0,0
370630018073,90,88
370630018081,0,0
370630018082,103,152
370630018091,574,571
370630018092,0,0
370630019001,0,3
370630019002,8,20
370630020071,175,175
370630020072,397,397
370630020073,0,0
370630020081,0,0
370630020082,31,31
370630020091,759,639
370630020092,377,126
370630020093,529,528
370630020131,0,0
370630020132,0,0
370630020133,0,0
370630020151,0,0
370630020152,0,0
370630020153,478,493
370630020161,606,362
370630020162,264,84
370630020171,1,1
370630020172,237,236
370630020173,834,360
370630020181,0,0
370630020182,1262,611
370630020183,244,128
370630020191,0,0
370630020192,0,0
370630020193,0,0
370630020201,0,0
370630020202,83,114
370630020211,44,44
370630020212,0,0
370630020221,1131,501
370630020222,758,507
370630020231,0,0
370630020232,638,638
370630020241,77,76
370630020242,0,0
370630020243,224,224
370630020251,531,387
370630020252,22,2
370630020253,0,0
370630020261,283,282
370630020262,332,327
370630020271,19,18
370630020272,765,771
370630020273,0,0
370630020281,0,0
370630020282,0,0
370630020283,0,0
370630021001,97,95
370630021002,31,38
370630021003,0,0
370630022001,746,232
370630023001,299,46
370630023002,74,72
370639801001,,
