id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,25145,28336,28273,26320,27216,28527
370630001012,16148,15924,15578,13422,12792,16409
370630001021,20109,19329,19242,18984,19334,19396
370630001022,20709,20998,23653,27388,27036,30718
370630002001,20785,19897,18462,17299,15946,17051
370630002002,20183,17711,16003,16076,18755,17922
370630002003,30752,26349,28197,32674,33769,33605
370630003011,20427,14249,15354,16132,16390,17454
370630003012,20726,25153,24726,23402,22593,22416
370630003013,29498,28036,26266,24977,24096,31988
370630003021,52786,55871,43799,42774,39852,41368
370630003022,31090,30956,30082,31958,35602,38491
370630003023,26554,25131,31279,29226,29311,30528
370630004011,40977,41368,42945,48066,48808,46977
370630004012,37638,40732,39131,39647,37813,36777
370630004013,34033,27487,27293,32847,36754,37977
370630004021,29861,29848,25944,27030,31181,30987
370630005001,7693,10651,10716,10508,9907,7694
370630005002,26020,29890,25204,28698,29465,27257
370630005003,17745,20023,14004,13976,13592,15234
370630005004,10155,10694,14246,12815,13773,14463
370630006001,25209,30012,27043,24751,23578,26069
370630006002,23931,21430,19003,20942,21848,24786
370630006003,102164,69050,59542,56261,67851,64190
370630007001,22229,23904,23133,25449,25891,28709
370630007002,72619,65370,64406,52396,50531,42302
370630007003,37818,46694,43341,39368,37673,48190
370630009001,11519,12651,14353,12418,12187,14441
370630009002,11882,12557,12476,13417,13407,12608
370630010011,14283,12516,13034,15687,13630,14949
370630010012,11838,17689,13825,14176,12901,13630
370630010013,7690,5917,7439,13061,13426,12861
370630010021,10189,10809,9561,10027,9847,11103
370630010022,11560,12345,17074,16706,17314,17800
370630010023,13168,16336,18562,18990,15621,12469
370630010024,9585,9494,8028,8932,9001,9739
370630011001,10366,11659,10807,10867,10976,11565
370630011002,9576,9997,10170,10809,11731,11804
370630013011,11325,13540,12419,15003,16755,14470
370630013031,7089,6803,7897,8110,9319,8355
370630013032,29312,24071,23698,20253,18839,17774
370630013041,13122,11850,12866,14473,13070,13051
370630014001,9787,10096,10344,12947,17476,22027
370630014002,9419,9384,17490,19515,15769,15004
370630015011,5465,4347,3415,2998,2779,1307
370630015021,12565,12556,11912,12751,13430,13823
370630015022,16322,14724,17362,18813,28221,27256
370630015023,13915,13894,13446,13157,14088,16657
370630015024,9225,9142,8467,10124,10244,18203
370630015031,4050,2405,2021,2048,1588,1220
370630016011,34005,34979,31164,28636,31681,26937
370630016012,32042,30820,31193,31422,30637,31938
370630016013,24839,23377,22681,24699,31290,30811
370630016031,38031,26240,28285,52151,47250,47898
370630016032,32694,31853,32375,31072,31309,30423
370630016033,33392,32787,33025,30261,28477,30740
370630016034,36385,36375,35674,40863,45323,48885
370630016041,40606,42027,44111,37747,40058,38853
370630016042,39242,38502,38723,46387,47900,52881
370630016043,29669,29620,31325,28284,27528,28436
370630017051,26226,26092,25491,27081,28730,27747
370630017052,46437,41637,46333,48584,53225,57178
370630017053,30903,49877,29249,27667,34742,27531
370630017061,32093,29710,35435,32327,37152,36541
370630017062,31275,33301,31562,29279,37033,36353
370630017071,38512,37484,35826,37445,44928,44274
370630017072,31660,32377,30105,32753,34723,34722
370630017073,43547,41932,36189,36141,39364,40571
370630017074,44110,43564,38329,40551,37993,38714
370630017075,54026,59382,75043,72232,75166,78232
370630017081,19228,26160,27583,25558,24383,27901
