id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,38,38,41,170,182,218
370630001012,155,140,235,133,137,142
370630001021,405,393,358,313,325,504
370630001022,315,318,199,194,191,154
370630002001,133,143,224,312,417,340
370630002002,135,103,104,65,30,49
370630002003,184,209,183,159,161,199
370630003011,117,123,116,99,121,123
370630003012,76,50,97,137,143,170
370630003013,146,121,134,156,114,83
370630003021,107,102,128,122,129,154
370630003022,161,191,149,166,99,69
370630003023,104,86,200,167,181,148
370630004011,97,134,104,93,109,137
370630004012,77,130,103,137,135,139
370630004013,89,57,186,202,192,231
370630004021,179,120,163,138,140,137
370630005001,9,0,0,0,0,13
370630005002,50,70,64,83,94,85
370630005003,162,84,96,99,92,159
370630005004,43,34,39,74,148,156
370630006001,304,317,411,465,464,362
370630006002,358,247,296,337,443,474
370630006003,26,14,0,0,13,13
370630007001,68,96,63,81,39,48
370630007002,56,32,26,28,34,76
370630007003,84,107,124,109,50,44
370630009001,54,60,97,108,164,172
370630009002,69,52,74,80,119,107
370630010011,170,175,256,203,271,284
370630010012,129,101,101,199,208,196
370630010013,70,114,146,154,148,141
370630010021,216,229,269,323,408,558
370630010022,43,31,82,154,160,150
370630010023,269,88,167,276,270,207
370630010024,93,82,50,214,230,262
370630011001,67,145,206,238,298,337
370630011002,82,34,83,139,189,227
370630013011,100,119,114,127,154,137
370630013031,99,86,71,58,122,107
370630013032,52,30,36,34,21,18
370630013041,302,209,225,231,245,223
370630014001,0,29,27,39,39,46
370630014002,219,228,241,94,134,186
370630015011,8,12,15,3,24,28
370630015021,330,338,364,358,319,394
370630015022,31,39,43,39,44,9
370630015023,226,299,294,293,154,197
370630015024,81,25,116,99,55,63
370630015031,21,19,16,12,14,5
370630016011,254,247,227,158,181,166
370630016012,429,388,373,395,382,481
370630016013,321,287,281,282,285,254
370630016031,82,57,41,83,83,121
370630016032,336,432,469,527,516,464
370630016033,291,234,247,265,296,260
370630016034,477,407,364,360,337,264
370630016041,251,257,230,205,289,344
370630016042,471,456,553,523,544,529
370630016043,321,375,368,390,469,444
370630017051,139,234,237,283,347,391
370630017052,107,178,148,215,180,167
370630017053,128,150,96,66,112,203
370630017061,189,96,174,274,295,399
370630017062,211,203,138,161,203,263
370630017071,82,54,50,172,192,198
370630017072,213,210,232,249,190,63
370630017073,29,31,35,28,28,51
370630017074,91,179,220,222,233,310
370630017075,113,139,141,91,64,37
370630017081,672,719,739,651,766,827
370630017091,27,40,32,76,95,114
370630017092,88,97,47,34,36,180
370630017093,456,484,491,395,457,541
370630017101,315,412,326,311,312,339
370630017102,262,238,213,265,394,324
370630017111,109,86,66,68,82,74
370630017112,127,147,154,225,285,264
370630017113,182,124,78,87,105,118
370630018011,92,68,111,148,196,170
370630018012,84,87,95,96,129,307
370630018013,353,504,627,613,624,836
370630018014,225,272,320,322,322,227
370630018015,74,76,60,99,97,83
370630018021,225,256,302,344,373,445
370630018022,442,320,132,160,158,224
370630018023,195,332,289,482,429,432
370630018024,114,74,84,12,150,167
370630018061,318,289,309,282,292,295
370630018062,574,584,688,656,755,817
370630018071,240,324,216,311,244,303
370630018072,648,669,787,764,610,635
370630018073,346,408,330,368,432,436
370630018081,249,329,270,306,336,381
370630018082,390,287,424,534,633,815
370630018091,216,185,145,149,187,583
370630018092,279,341,256,208,209,239
370630019001,46,42,42,62,91,88
370630019002,361,374,324,353,443,449
370630020071,233,236,210,172,239,214
370630020072,271,255,206,223,212,196
370630020073,112,82,50,78,100,51
370630020081,43,75,86,100,72,126
370630020082,154,143,163,138,143,133
370630020091,109,102,92,114,102,75
370630020092,205,153,100,73,78,127
370630020093,230,240,169,114,114,246
370630020131,128,123,144,115,144,110
370630020132,113,98,83,175,197,195
370630020133,115,164,206,225,267,270
370630020151,455,379,320,282,466,243
370630020152,139,158,220,206,140,169
370630020153,0,0,0,0,46,45
370630020161,648,656,754,649,765,654
370630020162,146,63,119,143,203,194
370630020171,99,143,149,171,221,251
370630020172,106,141,112,100,145,152
370630020173,163,155,182,226,185,174
370630020181,162,202,202,195,146,211
370630020182,301,197,176,197,134,134
370630020183,263,309,334,309,270,398
370630020191,118,166,125,146,197,245
370630020192,184,212,231,228,338,239
370630020193,114,133,192,144,105,125
370630020201,264,262,237,230,219,230
370630020202,253,340,375,585,655,542
370630020211,232,244,283,252,233,265
370630020212,137,194,122,203,147,139
370630020221,338,315,364,257,76,163
370630020222,176,145,178,192,203,128
370630020231,50,35,85,76,125,221
370630020232,276,244,262,293,300,187
370630020241,531,621,660,642,536,576
370630020242,82,77,119,118,195,205
370630020243,194,188,227,251,264,268
370630020251,298,314,434,591,586,460
370630020252,142,176,195,221,185,173
370630020253,82,95,88,121,120,155
370630020261,308,224,184,171,117,178
370630020262,355,387,424,389,500,550
370630020271,70,94,153,161,221,199
370630020272,445,560,478,387,419,930
370630020273,238,246,268,296,278,203
370630020281,297,296,309,334,355,295
370630020282,249,224,200,141,168,61
370630020283,99,102,92,154,205,245
370630021001,384,401,456,433,452,532
370630021002,531,571,533,541,595,587
370630021003,479,501,407,355,363,373
370630022001,228,190,202,234,236,214
370630023001,46,39,46,22,39,47
370630023002,0,0,12,30,38,46
370639801001,0,8,8,0,0,0
