id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,196,185,239,275,295,289
370630001012,244,314,316,226,249,221
370630001021,463,557,646,750,762,844
370630001022,375,372,367,369,362,325
370630002001,273,261,304,367,355,365
370630002002,247,254,227,183,175,185
370630002003,199,253,248,143,181,214
370630003011,348,391,449,376,367,366
370630003012,129,156,196,193,186,255
370630003013,238,223,211,246,251,242
370630003021,18,17,20,37,62,94
370630003022,358,370,400,372,287,231
370630003023,550,541,521,526,573,579
370630004011,139,126,126,97,78,72
370630004012,59,76,71,64,98,121
370630004013,192,199,266,212,162,144
370630004021,888,863,829,755,760,756
370630005001,270,151,132,147,105,131
370630005002,186,261,271,213,250,256
370630005003,379,336,367,390,425,428
370630005004,232,257,251,295,325,389
370630006001,382,408,508,505,631,814
370630006002,424,541,657,646,656,631
370630006003,0,9,13,31,32,38
370630007001,403,507,498,473,504,466
370630007002,62,37,71,157,186,243
370630007003,113,126,162,259,250,219
370630009001,272,299,288,295,276,279
370630009002,226,206,255,231,273,299
370630010011,286,316,318,289,305,282
370630010012,201,183,155,293,254,343
370630010013,360,460,474,358,343,337
370630010021,728,772,829,791,858,780
370630010022,175,163,224,286,240,163
370630010023,218,220,171,217,280,256
370630010024,250,192,155,318,310,378
370630011001,459,525,516,568,616,670
370630011002,394,370,395,432,419,428
370630013011,318,324,332,350,355,390
370630013031,246,268,280,317,330,361
370630013032,81,83,59,67,127,132
370630013041,708,737,725,738,847,925
370630014001,388,366,304,261,177,138
370630014002,505,513,521,599,604,569
370630015011,36,39,33,39,26,30
370630015021,881,933,895,1062,1101,1155
370630015022,323,486,506,512,584,588
370630015023,826,811,839,884,914,1056
370630015024,335,319,311,318,271,270
370630015031,26,0,0,0,0,0
370630016011,56,34,43,34,38,32
370630016012,27,41,38,42,39,75
370630016013,119,192,211,211,122,132
370630016031,0,0,21,60,60,53
370630016032,13,0,0,16,15,44
370630016033,62,35,115,125,127,121
370630016034,15,6,8,6,5,0
370630016041,40,46,53,95,143,116
370630016042,58,57,86,23,46,36
370630016043,19,15,28,41,36,57
370630017051,132,155,106,168,221,218
370630017052,484,555,607,652,587,485
370630017053,333,245,255,304,327,429
370630017061,616,725,826,1014,903,917
370630017062,451,400,460,492,559,576
370630017071,37,55,60,52,24,43
370630017072,135,73,85,163,184,211
370630017073,0,0,0,0,0,0
370630017074,30,90,102,119,143,153
370630017075,446,523,491,467,484,470
370630017081,632,616,658,631,575,553
370630017091,159,163,125,166,147,59
370630017092,283,253,195,118,152,183
370630017093,1356,1470,1550,1502,1574,1743
370630017101,458,372,325,347,349,384
370630017102,376,384,445,536,452,347
370630017111,309,326,274,297,281,310
370630017112,645,659,647,704,785,739
370630017113,637,592,630,588,611,626
370630018011,102,97,73,31,17,0
370630018012,84,90,96,46,75,101
370630018013,161,250,230,174,184,176
370630018014,0,27,69,116,167,174
370630018015,29,64,59,41,36,40
370630018021,181,86,100,197,199,234
370630018022,348,259,198,189,261,406
370630018023,284,327,329,307,303,227
370630018024,143,126,118,74,71,107
370630018061,90,52,56,100,142,152
370630018062,129,153,228,187,184,177
370630018071,359,332,425,423,383,383
370630018072,128,165,166,203,234,247
370630018073,207,134,112,121,100,120
370630018081,0,37,45,52,56,49
370630018082,130,125,160,162,257,361
370630018091,994,901,916,947,977,1075
370630018092,426,420,362,391,459,327
370630019001,32,35,37,29,37,48
370630019002,113,114,105,58,49,40
370630020071,83,77,70,111,136,173
370630020072,308,350,329,254,236,316
370630020073,53,38,0,14,17,17
370630020081,33,57,59,68,59,49
370630020082,60,66,41,45,48,37
370630020091,226,278,233,236,223,216
370630020092,176,162,122,94,111,184
370630020093,251,247,241,205,205,219
370630020131,126,128,131,141,106,115
370630020132,146,144,133,149,172,157
370630020133,136,142,118,109,138,152
370630020151,599,623,621,680,804,753
370630020152,890,1003,878,861,847,900
370630020153,376,360,380,337,385,379
370630020161,1341,1335,1399,1245,1247,1327
370630020162,855,894,941,1159,1120,1059
370630020171,50,56,132,129,143,153
370630020172,61,113,62,95,106,134
370630020173,774,908,898,1005,1142,1281
370630020181,455,383,415,465,436,387
370630020182,981,919,952,976,1016,1010
370630020183,35,36,61,97,98,124
370630020191,656,716,624,682,678,568
370630020192,454,513,423,405,453,479
370630020193,31,53,50,36,64,95
370630020201,39,42,90,67,128,131
370630020202,11,14,12,14,16,16
370630020211,1193,1176,1325,1264,1146,1081
370630020212,61,239,184,245,271,333
370630020221,1060,1059,1062,919,905,961
370630020222,326,313,385,449,571,504
370630020231,310,317,370,375,363,425
370630020232,335,365,341,329,391,339
370630020241,226,213,222,261,352,361
370630020242,179,131,145,164,248,178
370630020243,198,184,222,210,291,236
370630020251,53,16,30,45,122,132
370630020252,252,311,248,249,246,325
370630020253,206,209,207,196,170,174
370630020261,317,270,280,409,467,453
370630020262,975,1042,1021,1028,1080,1118
370630020271,199,147,175,185,207,183
370630020272,1171,1161,1115,1233,1375,1757
370630020273,942,844,852,972,907,962
370630020281,75,149,175,199,192,196
370630020282,636,555,557,634,676,739
370630020283,1274,1278,1262,1227,1210,1264
370630021001,53,91,69,51,81,87
370630021002,124,135,91,59,62,128
370630021003,93,48,40,91,101,68
370630022001,578,568,658,650,623,624
370630023001,246,261,235,219,187,161
370630023002,31,65,88,95,99,102
370639801001,0,0,0,0,0,0
