id,y_2011,y_2013,y_2014
370630001011,32,49,26
370630001012,64,66,58
370630001021,87,77,74
370630001022,14,13,23
370630002001,74,39,45
370630002002,0,0,0
370630002003,0,0,0
370630003011,26,35,23
370630003012,25,23,24
370630003013,3,15,11
370630003021,0,3,8
370630003022,56,53,18
370630003023,0,0,17
370630004011,0,0,0
370630004012,8,9,0
370630004013,0,11,12
370630004021,26,21,27
370630005001,10,7,6
370630005002,0,9,10
370630005003,44,58,54
370630005004,30,26,33
370630006001,40,28,0
370630006002,3,80,87
370630006003,0,8,9
370630007001,34,79,62
370630007002,0,0,24
370630007003,0,21,18
370630009001,31,26,48
370630009002,42,33,42
370630010011,72,31,51
370630010012,45,47,88
370630010013,100,62,42
370630010021,153,227,241
370630010022,30,0,0
370630010023,0,0,0
370630010024,46,63,68
370630011001,6,42,44
370630011002,41,65,63
370630013011,19,43,43
370630013031,95,40,64
370630013032,13,11,12
370630013041,84,129,132
370630014001,20,36,28
370630014002,70,56,109
370630015011,0,0,0
370630015021,34,49,83
370630015022,6,7,9
370630015023,0,45,69
370630015024,58,63,90
370630015031,0,0,0
370630016011,0,0,0
370630016012,0,15,13
370630016013,26,33,20
370630016031,0,0,0
370630016032,10,65,50
370630016033,52,55,55
370630016034,0,0,12
370630016041,10,37,36
370630016042,19,34,36
370630016043,0,0,0
370630017051,37,101,73
370630017052,16,0,0
370630017053,0,0,50
370630017061,15,19,33
370630017062,0,0,0
370630017071,20,0,0
370630017072,27,25,48
370630017073,13,12,10
370630017074,0,0,0
370630017075,13,0,0
370630017081,77,165,115
370630017091,16,0,0
370630017092,43,0,0
370630017093,198,255,271
370630017101,0,11,9
370630017102,28,36,45
370630017111,33,46,50
370630017112,0,37,43
370630017113,51,54,60
370630018011,0,0,0
370630018012,0,0,0
370630018013,47,47,59
370630018014,13,25,63
370630018015,0,0,0
370630018021,26,13,0
370630018022,11,12,31
370630018023,60,66,91
370630018024,45,47,15
370630018061,53,39,12
370630018062,38,35,25
370630018071,15,13,14
370630018072,11,15,16
370630018073,32,8,75
370630018081,27,0,3
370630018082,36,38,0
370630018091,0,0,0
370630018092,91,109,67
370630019001,21,27,28
370630019002,16,8,4
370630020071,7,8,0
370630020072,0,0,0
370630020073,0,0,0
370630020081,0,0,0
370630020082,0,0,0
370630020091,9,28,37
370630020092,21,22,23
370630020093,58,25,23
370630020131,24,6,15
370630020132,11,14,24
370630020133,25,29,26
370630020151,49,81,87
370630020152,29,30,36
370630020153,0,15,17
370630020161,0,23,25
370630020162,0,0,0
370630020171,0,0,0
370630020172,14,0,0
370630020173,35,31,27
370630020181,0,0,0
370630020182,0,0,14
370630020183,0,0,0
370630020191,17,12,0
370630020192,0,0,0
370630020193,0,0,0
370630020201,0,0,0
370630020202,0,0,0
370630020211,10,57,43
370630020212,0,0,0
370630020221,82,78,73
370630020222,0,0,0
370630020231,0,0,0
370630020232,0,4,13
370630020241,12,20,27
370630020242,12,18,0
370630020243,0,0,0
370630020251,0,0,0
370630020252,12,0,0
370630020253,22,11,17
370630020261,105,46,102
370630020262,13,25,17
370630020271,12,0,0
370630020272,13,27,31
370630020273,11,26,26
370630020281,0,0,47
370630020282,0,0,0
370630020283,0,16,16
370630021001,12,24,20
370630021002,0,0,0
370630021003,31,48,79
370630022001,6,3,5
370630023001,48,60,53
370630023002,0,2,5
370639801001,0,0,0
