id,y_2013,y_2014,y_2015,y_2016
370630001011,588,590,585,584
370630001012,663,671,674,606
370630001021,837,841,844,847
370630001022,584,574,572,560
370630002001,403,400,409,404
370630002002,445,641,645,653
370630002003,402,399,413,384
370630003011,494,498,520,514
370630003012,321,321,332,310
370630003013,325,329,354,279
370630003021,290,293,292,292
370630003022,338,336,348,346
370630003023,862,855,883,736
370630004011,304,310,309,307
370630004012,125,128,148,140
370630004013,209,205,213,205
370630004021,925,1433,1490,1415
370630005001,436,887,885,884
370630005002,365,367,372,364
370630005003,677,700,716,697
370630005004,414,420,422,402
370630006001,985,1275,1280,1299
370630006002,668,675,686,677
370630006003,25,25,25,25
370630007001,423,767,1031,1041
370630007002,383,396,385,390
370630007003,228,232,242,241
370630009001,335,356,372,305
370630009002,458,463,470,439
370630010011,387,392,397,386
370630010012,519,522,559,531
370630010013,457,455,470,454
370630010021,1061,1064,1072,1066
370630010022,195,198,221,206
370630010023,370,370,373,351
370630010024,503,503,506,492
370630011001,864,867,894,733
370630011002,577,570,598,583
370630013011,675,674,698,645
370630013031,518,514,516,499
370630013032,289,288,299,295
370630013041,1092,1092,1101,1089
370630014001,446,448,451,445
370630014002,756,759,747,747
370630015011,138,137,137,137
370630015021,1391,1517,1529,1505
370630015022,705,694,705,705
370630015023,1125,1250,1250,1250
370630015024,632,632,632,632
370630015031,0,0,0,0
370630016011,0,0,0,0
370630016012,95,93,90,92
370630016013,49,200,202,203
370630016031,0,0,0,0
370630016032,147,195,147,145
370630016033,30,31,30,29
370630016034,0,0,0,0
370630016041,0,0,0,0
370630016042,0,0,0,0
370630016043,0,0,0,0
370630017051,272,277,277,274
370630017052,929,925,921,920
370630017053,564,567,564,564
370630017061,949,1056,1103,1103
370630017062,679,853,887,886
370630017071,0,0,0,0
370630017072,209,222,235,234
370630017073,1,1,3,3
370630017074,30,29,33,30
370630017075,100,239,650,649
370630017081,416,423,606,396
370630017091,357,368,357,347
370630017092,354,354,356,355
370630017093,1557,2032,1901,2019
370630017101,678,683,686,702
370630017102,697,701,706,711
370630017111,453,464,458,458
370630017112,768,768,768,766
370630017113,740,742,742,731
370630018011,142,141,140,141
370630018012,114,125,107,113
370630018013,299,305,314,310
370630018014,198,196,199,196
370630018015,0,0,0,0
370630018021,535,550,547,522
370630018022,656,658,657,656
370630018023,425,431,432,433
370630018024,325,315,316,299
370630018061,0,0,0,0
370630018062,53,52,55,54
370630018071,577,588,541,544
370630018072,265,268,277,281
370630018073,686,688,677,670
370630018081,4,4,7,7
370630018082,359,356,357,351
370630018091,891,867,891,871
370630018092,426,627,615,612
370630019001,0,3,3,2
370630019002,0,0,0,0
370630020071,22,20,27,27
370630020072,264,334,264,334
370630020073,0,0,0,0
370630020081,5,4,6,6
370630020082,122,120,123,124
370630020091,778,777,772,764
370630020092,374,373,383,374
370630020093,333,331,336,337
370630020131,30,43,31,30
370630020132,88,220,95,95
370630020133,0,0,0,0
370630020151,832,829,832,830
370630020152,1005,1005,1001,1001
370630020153,195,194,213,209
370630020161,1711,1807,1711,1807
370630020162,818,815,819,819
370630020171,15,21,21,19
370630020172,210,190,230,229
370630020173,690,766,766,766
370630020181,5,5,4,4
370630020182,1048,1360,1361,1356
370630020183,155,167,355,355
370630020191,569,569,569,569
370630020192,0,0,0,0
370630020193,103,213,104,214
370630020201,2,2,5,5
370630020202,0,0,0,0
370630020211,1573,1570,1592,1565
370630020212,398,478,391,431
370630020221,995,1005,994,994
370630020222,503,524,505,620
370630020231,546,544,534,534
370630020232,628,767,763,763
370630020241,71,73,105,104
370630020242,586,586,585,585
370630020243,395,393,425,425
370630020251,606,621,651,655
370630020252,152,151,157,157
370630020253,218,221,224,222
370630020261,792,842,813,829
370630020262,1347,1347,1350,1347
370630020271,83,82,87,84
370630020272,698,1117,1034,1114
370630020273,1053,1054,1054,1051
370630020281,252,271,264,265
370630020282,833,833,837,836
370630020283,880,880,1101,1099
370630021001,0,0,0,0
370630021002,0,0,0,0
370630021003,0,0,0,0
370630022001,501,801,1191,1279
370630023001,355,331,351,356
370630023002,79,221,238,209
370639801001,0,0,0,0
