id,y_2010
370630001011,24
370630001012,49
370630001021,63
370630001022,41
370630002001,27
370630002002,28
370630002003,22
370630003011,35
370630003012,14
370630003013,33
370630003021,23
370630003022,26
370630003023,47
370630004011,30
370630004012,21
370630004013,18
370630004021,50
370630005001,21
370630005002,22
370630005003,22
370630005004,34
370630006001,83
370630006002,29
370630006003,6
370630007001,17
370630007002,29
370630007003,29
370630009001,14
370630009002,18
370630010011,16
370630010012,19
370630010013,23
370630010021,53
370630010022,11
370630010023,13
370630010024,16
370630011001,34
370630011002,26
370630013011,23
370630013031,67
370630013032,22
370630013041,56
370630014001,12
370630014002,38
370630015011,40
370630015021,28
370630015022,30
370630015023,51
370630015024,10
370630015031,39
370630016011,27
370630016012,66
370630016013,37
370630016031,8
370630016032,76
370630016033,28
370630016034,43
370630016041,48
370630016042,38
370630016043,32
370630017051,37
370630017052,30
370630017053,45
370630017061,66
370630017062,50
370630017071,18
370630017072,43
370630017073,5
370630017074,26
370630017075,11
370630017081,116
370630017091,16
370630017092,11
370630017093,96
370630017101,81
370630017102,68
370630017111,32
370630017112,37
370630017113,33
370630018011,53
370630018012,13
370630018013,40
370630018014,21
370630018015,18
370630018021,49
370630018022,37
370630018023,49
370630018024,16
370630018061,12
370630018062,82
370630018071,71
370630018072,89
370630018073,63
370630018081,56
370630018082,70
370630018091,76
370630018092,64
370630019001,8
370630019002,40
370630020071,20
370630020072,70
370630020073,30
370630020081,14
370630020082,29
370630020091,37
370630020092,22
370630020093,24
370630020131,40
370630020132,39
370630020133,68
370630020151,50
370630020152,76
370630020153,9
370630020161,70
370630020162,57
370630020171,62
370630020172,30
370630020173,64
370630020181,32
370630020182,96
370630020183,85
370630020191,49
370630020192,46
370630020193,23
370630020201,69
370630020202,116
370630020211,84
370630020212,41
370630020221,49
370630020222,76
370630020231,39
370630020232,54
370630020241,122
370630020242,34
370630020243,19
370630020251,48
370630020252,67
370630020253,39
370630020261,44
370630020262,69
370630020271,40
370630020272,149
370630020273,49
370630020281,63
370630020282,33
370630020283,95
370630021001,46
370630021002,39
370630021003,31
370630022001,55
370630023001,7
370630023002,1
370639801001,0
