id,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,158,149,160,187,192
370630001012,162,164,157,135,122
370630001021,149,165,156,117,145
370630001022,201,194,176,143,156
370630002001,143,133,105,104,96
370630002002,108,70,88,58,57
370630002003,54,42,52,41,50
370630003011,321,339,310,256,279
370630003012,33,34,31,41,36
370630003013,27,39,24,28,35
370630003021,37,31,33,31,29
370630003022,60,33,28,33,42
370630003023,115,87,63,60,72
370630004011,89,82,85,107,120
370630004012,34,39,40,22,19
370630004013,77,65,65,59,65
370630004021,291,283,244,251,282
370630005001,21,17,24,21,16
370630005002,36,47,40,29,25
370630005003,63,82,75,63,79
370630005004,60,52,70,60,59
370630006001,173,136,142,133,128
370630006002,116,167,158,148,130
370630006003,27,22,27,15,15
370630007001,110,173,120,149,134
370630007002,89,94,87,76,92
370630007003,47,59,72,67,56
370630009001,83,100,96,87,90
370630009002,95,95,115,80,96
370630010011,146,117,147,104,103
370630010012,120,125,140,113,111
370630010013,163,134,133,127,137
370630010021,244,300,254,298,257
370630010022,124,110,160,136,117
370630010023,107,82,86,68,65
370630010024,109,96,94,119,121
370630011001,164,158,180,159,162
370630011002,137,110,154,139,125
370630013011,155,178,191,190,154
370630013031,91,91,82,55,74
370630013032,29,45,45,51,53
370630013041,172,216,246,200,186
370630014001,130,84,73,67,65
370630014002,225,213,219,213,201
370630015011,1,8,16,5,6
370630015021,150,116,85,101,87
370630015022,11,23,24,17,21
370630015023,118,78,71,95,93
370630015024,108,99,56,49,41
370630015031,3,2,0,0,0
370630016011,28,13,30,39,23
370630016012,65,47,63,56,52
370630016013,35,44,64,43,38
370630016031,9,16,25,18,3
370630016032,69,120,99,107,74
370630016033,52,83,61,66,69
370630016034,21,45,30,20,10
370630016041,26,32,40,36,22
370630016042,34,32,45,56,16
370630016043,36,60,35,44,35
370630017051,57,74,67,83,45
370630017052,93,135,83,114,107
370630017053,145,214,209,226,235
370630017061,73,70,100,82,84
370630017062,62,84,67,64,83
370630017071,27,31,24,25,17
370630017072,154,171,149,134,151
370630017073,13,18,19,15,10
370630017074,56,123,109,66,65
370630017075,17,37,41,24,15
370630017081,217,202,211,208,172
370630017091,46,66,46,41,40
370630017092,40,47,72,65,48
370630017093,498,427,419,395,334
370630017101,162,161,146,157,151
370630017102,81,96,57,98,87
370630017111,72,95,79,71,94
370630017112,103,93,72,93,81
370630017113,90,89,97,63,74
370630018011,67,97,74,95,78
370630018012,34,21,38,22,25
370630018013,129,121,97,129,105
370630018014,274,369,433,383,323
370630018015,33,36,43,46,32
370630018021,160,135,128,132,111
370630018022,70,60,79,60,79
370630018023,174,165,164,184,139
370630018024,69,49,49,28,42
370630018061,65,62,75,65,62
370630018062,138,229,186,182,134
370630018071,100,114,107,116,97
370630018072,81,84,91,90,87
370630018073,63,92,102,93,53
370630018081,37,53,69,58,37
370630018082,146,154,223,124,123
370630018091,146,142,174,172,165
370630018092,76,98,101,82,55
370630019001,26,20,53,33,30
370630019002,22,28,11,24,25
370630020071,57,64,68,72,45
370630020072,54,104,87,82,110
370630020073,22,39,52,37,17
370630020081,16,11,39,32,27
370630020082,50,53,52,61,59
370630020091,141,126,104,87,70
370630020092,62,154,91,101,79
370630020093,213,230,292,314,185
370630020131,29,29,52,44,35
370630020132,34,43,58,40,30
370630020133,25,17,59,29,32
370630020151,98,109,108,99,103
370630020152,78,102,95,79,62
370630020153,204,174,173,226,264
370630020161,152,166,175,133,183
370630020162,198,203,186,194,194
370630020171,23,39,59,57,34
370630020172,44,39,50,46,19
370630020173,274,269,253,275,293
370630020181,35,28,15,13,18
370630020182,204,274,323,288,282
370630020183,69,105,86,117,79
370630020191,50,43,37,54,39
370630020192,24,32,22,25,20
370630020193,39,21,24,31,26
370630020201,16,30,33,44,55
370630020202,38,74,69,91,95
370630020211,623,624,655,684,649
370630020212,45,55,50,65,55
370630020221,71,64,84,90,109
370630020222,50,57,90,60,63
370630020231,46,47,41,35,27
370630020232,69,77,113,73,97
370630020241,58,66,75,100,72
370630020242,31,32,35,15,18
370630020243,37,49,38,28,18
370630020251,72,60,60,62,85
370630020252,77,56,62,82,66
370630020253,34,39,50,66,44
370630020261,81,108,104,96,110
370630020262,244,205,248,271,201
370630020271,69,98,130,87,94
370630020272,292,303,395,359,369
370630020273,113,58,94,57,77
370630020281,79,74,90,78,127
370630020282,32,43,60,28,73
370630020283,172,211,163,200,171
370630021001,39,29,46,30,28
370630021002,61,37,29,31,16
370630021003,43,25,39,29,15
370630022001,418,458,385,491,471
370630023001,107,137,99,135,123
370630023002,95,129,98,101,81
370639801001,36,28,17,6,20
