id,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,1948,1948,1948,1948,1948
370630001012,1967,1967,1967,1967,1967
370630001021,1958,1958,1958,1958,1958
370630001022,1954,1954,1954,1954,1954
370630002001,1951,1952,1951,1951,1951
370630002002,1943,1943,1944,1944,1945
370630002003,1939,1939,1939,1939,1939
370630003011,1950,1950,1951,1951,1951
370630003012,1952,1952,1953,1953,1951
370630003013,1950,1949,1948,1948,1949
370630003021,1952,1952,1952,1952,1952
370630003022,1945,1945,1946,1946,1945
370630003023,1942,1942,1942,1942,1942
370630004011,1951,1951,1951,1951,1951
370630004012,1943,1943,1944,1944,1944
370630004013,1946,1946,1946,1946,1947
370630004021,1936,1936,1937,1937,1936
370630005001,1961,1962,1964,1964,1963
370630005002,1930,1931,1930,1930,1931
370630005003,1956,1957,1957,1957,1959
370630005004,1950,1951,1951,1951,1952
370630006001,1956,1957,1957,1957,1957
370630006002,1956,1956,1956,1956,1957
370630006003,1961,1961,1962,1962,1961
370630007001,1928,1928,1929,1929,1928
370630007002,1950,1950,1951,1951,1951
370630007003,1968,1969,1969,1969,1969
370630009001,1949,1949,1950,1950,1952
370630009002,1942,1942,1942,1942,1942
370630010011,1947,1948,1947,1947,1948
370630010012,1936,1936,1936,1936,1937
370630010013,1941,1942,1944,1944,1944
370630010021,1964,1964,1964,1964,1964
370630010022,1963,1963,1964,1964,1963
370630010023,1945,1945,1944,1944,1945
370630010024,1948,1948,1948,1948,1948
370630011001,1940,1939,1939,1939,1939
370630011002,1955,1957,1957,1957,1962
370630013011,1939,1940,1940,1940,1940
370630013031,1955,1955,1955,1955,1955
370630013032,1954,1954,1954,1954,1954
370630013041,1961,1961,1961,1961,1962
370630014001,1960,1960,1960,1960,1960
370630014002,1950,1950,1951,1951,1951
370630015011,1935,1952,1952,1952,1952
370630015021,1984,1984,1984,1984,1984
370630015022,2006,2006,2006,2006,2006
370630015023,1994,1994,1994,1994,1994
370630015024,1970,1976,1975,1975,1975
370630015031,,,,,
370630016011,1983,1984,1984,1984,1985
370630016012,1986,1986,1986,1986,1986
370630016013,1972,1972,1973,1973,1973
370630016031,1969,1969,1969,1969,1969
370630016032,1990,1990,1991,1991,1991
370630016033,1973,1973,1973,1973,1974
370630016034,1984,1985,1985,1985,1985
370630016041,1987,1987,1987,1987,1987
370630016042,1981,1981,1981,1981,1981
370630016043,1985,1985,1985,1985,1986
370630017051,1966,1966,1966,1966,1966
370630017052,1970,1970,1970,1970,1971
370630017053,1984,1984,1984,1984,1984
370630017061,1993,1996,1998,1998,1998
370630017062,1982,1982,1982,1982,1982
370630017071,1983,1983,1983,1983,1983
370630017072,1976,1976,1976,1976,1976
370630017073,1980,1980,1980,1980,1980
370630017074,1980,1980,1981,1981,1981
370630017075,1995,1996,1997,1997,1998
370630017081,1990,1990,1990,1990,1991
370630017091,1971,1971,1971,1971,1972
370630017092,1978,1978,1978,1978,1978
370630017093,1983,1983,1983,1983,1983
370630017101,1987,1987,1987,1987,1988
370630017102,1981,1981,1981,1981,1981
370630017111,1977,1983,1985,1985,1985
370630017112,1984,1984,1984,1984,1984
370630017113,1981,1981,1981,1981,1981
370630018011,1983,1984,1984,1984,1985
370630018012,1965,1965,1965,1965,1966
370630018013,1984,1985,1985,1985,1986
370630018014,1977,1977,1978,1978,1980
370630018015,1964,1965,1966,1966,1967
370630018021,1977,1977,1977,1977,1977
370630018022,1979,1979,1979,1979,1979
370630018023,1980,1980,1980,1980,1981
370630018024,1960,1960,1960,1960,1960
370630018061,1968,1969,1969,1969,1970
370630018062,1995,1995,1996,1996,1996
370630018071,1990,1990,1990,1990,1991
370630018072,1993,1993,1993,1993,1993
370630018073,1993,1993,1993,1993,1994
370630018081,1990,1990,1990,1990,1990
370630018082,1997,2000,2002,2002,2003
370630018091,1973,1974,1974,1974,1974
370630018092,1984,1985,1985,1985,1985
370630019001,1965,1979,1993,1993,2000
370630019002,1994,1995,1996,1996,1996
370630020071,1977,1978,1978,1978,1978
370630020072,1982,1982,1982,1982,1982
370630020073,1979,1979,1979,1979,1979
370630020081,1968,1968,1969,1969,1969
370630020082,1982,1982,1982,1982,1983
370630020091,1972,1972,1972,1972,1973
370630020092,1971,1971,1972,1972,1972
370630020093,1973,1973,1973,1973,1973
370630020131,1980,1980,1980,1980,1980
370630020132,1965,1965,1965,1965,1965
370630020133,1984,1984,1984,1984,1984
370630020151,1968,1969,1969,1969,1969
370630020152,1981,1982,1982,1982,1982
370630020153,1953,1964,1964,1964,1967
370630020161,1980,1983,1980,1980,1983
370630020162,1987,1988,1988,1988,1988
370630020171,1987,1987,1988,1988,1988
370630020172,1982,1982,1983,1983,1983
370630020173,1988,1988,1988,1988,1988
370630020181,1994,1994,1994,1994,1994
370630020182,1987,1989,1989,1989,1989
370630020183,1987,1988,1988,1988,1988
370630020191,2003,2003,2003,2003,2003
370630020192,1987,1988,1989,1989,1989
370630020193,1987,1988,1988,1988,1988
370630020201,2002,2002,2002,2002,2002
370630020202,1999,1999,2000,2000,2001
370630020211,1993,1993,1994,1994,1994
370630020212,1996,1996,1996,1996,1996
370630020221,1988,1988,1988,1988,1988
370630020222,1994,1994,1994,1994,1994
370630020231,1985,1985,1985,1985,1985
370630020232,1986,1987,1987,1987,1987
370630020241,1997,1997,1998,1998,1998
370630020242,1986,1986,1986,1986,1986
370630020243,1987,1987,1987,1987,1987
370630020251,1997,1997,1998,1998,1998
370630020252,1992,1992,1992,1992,1992
370630020253,1986,1986,1986,1986,1986
370630020261,1994,1994,1994,1994,1994
370630020262,1990,1990,1990,1990,1991
370630020271,1974,1977,1979,1979,1982
370630020272,1997,1998,1998,1998,1998
370630020273,1981,1981,1981,1981,1987
370630020281,2001,2002,2002,2002,2002
370630020282,2003,2005,2006,2006,2006
370630020283,2007,2008,2008,2008,2010
370630021001,1990,1992,1991,1991,1992
370630021002,1979,1982,1982,1982,1984
370630021003,1978,1980,1980,1980,1981
370630022001,1963,1968,1970,1970,1968
370630023001,1959,1958,1963,1963,1969
370630023002,1975,1981,1981,1981,1981
370639801001,,,,,
