id,y_2010
370630001011,0.67
370630001012,0.52
370630001021,0.68
370630001022,0.66
370630002001,0.62
370630002002,0.66
370630002003,0.56
370630003011,0.66
370630003012,0.66
370630003013,0.6
370630003021,0.38
370630003022,0.64
370630003023,0.59
370630004011,0.48
370630004012,0.28
370630004013,0.35
370630004021,0.49
370630005001,0.67
370630005002,0.63
370630005003,0.6
370630005004,0.45
370630006001,0.67
370630006002,0.66
370630006003,0.27
370630007001,0.58
370630007002,0.44
370630007003,0.58
370630009001,0.55
370630009002,0.35
370630010011,0.49
370630010012,0.54
370630010013,0.47
370630010021,0.56
370630010022,0.54
370630010023,0.59
370630010024,0.56
370630011001,0.53
370630011002,0.44
370630013011,0.21
370630013031,0.14
370630013032,0.12
370630013041,0.27
370630014001,0.1
370630014002,0.26
370630015011,0.64
370630015021,0.61
370630015022,0.53
370630015023,0.75
370630015024,0.46
370630015031,0.64
370630016011,0.44
370630016012,0.57
370630016013,0.49
370630016031,0.45
370630016032,0.58
370630016033,0.38
370630016034,0.23
370630016041,0.36
370630016042,0.29
370630016043,0.57
370630017051,0.61
370630017052,0.47
370630017053,0.67
370630017061,0.56
370630017062,0.62
370630017071,0.34
370630017072,0.35
370630017073,0.27
370630017074,0.32
370630017075,0.22
370630017081,0.39
370630017091,0.32
370630017092,0.13
370630017093,0.5
370630017101,0.66
370630017102,0.65
370630017111,0.69
370630017112,0.62
370630017113,0.64
370630018011,0.59
370630018012,0.67
370630018013,0.56
370630018014,0.67
370630018015,0.52
370630018021,0.53
370630018022,0.56
370630018023,0.42
370630018024,0.6
370630018061,0.31
370630018062,0.54
370630018071,0.67
370630018072,0.56
370630018073,0.45
370630018081,0.63
370630018082,0.64
370630018091,0.64
370630018092,0.6
370630019001,0.3
370630019002,0.39
370630020071,0.49
370630020072,0.58
370630020073,0.6
370630020081,0.15
370630020082,0.31
370630020091,0.35
370630020092,0.28
370630020093,0.21
370630020131,0.62
370630020132,0.6
370630020133,0.58
370630020151,0.68
370630020152,0.73
370630020153,0.38
370630020161,0.7
370630020162,0.73
370630020171,0.33
370630020172,0.35
370630020173,0.46
370630020181,0.3
370630020182,0.59
370630020183,0.46
370630020191,0.56
370630020192,0.42
370630020193,0.25
370630020201,0.52
370630020202,0.59
370630020211,0.61
370630020212,0.68
370630020221,0.64
370630020222,0.63
370630020231,0.54
370630020232,0.58
370630020241,0.56
370630020242,0.4
370630020243,0.45
370630020251,0.7
370630020252,0.64
370630020253,0.66
370630020261,0.51
370630020262,0.47
370630020271,0.69
370630020272,0.67
370630020273,0.63
370630020281,0.67
370630020282,0.67
370630020283,0.68
370630021001,0.33
370630021002,0.36
370630021003,0.32
370630022001,0.62
370630023001,0.29
370630023002,0.46
370639801001,0.5
