id,y_2016
370630001011,24.7
370630001012,8.4
370630001021,8.6
370630001022,9.9
370630002001,28.2
370630002002,51.1
370630002003,35.4
370630003011,31.9
370630003012,32.2
370630003013,34.2
370630003021,42.2
370630003022,29.5
370630003023,25.3
370630004011,28.4
370630004012,30.1
370630004013,14.3
370630004021,29.8
370630005001,0
370630005002,95.8
370630005003,36.7
370630005004,27.9
370630006001,30.4
370630006002,29.5
370630006003,23.6
370630007001,18.5
370630007002,24.5
370630007003,24.3
370630009001,-1
370630009002,57.3
370630010011,3.1
370630010012,10.3
370630010013,6.6
370630010021,0.7
370630010022,0
370630010023,-0.2
370630010024,-4.6
370630011001,69.6
370630011002,14.2
370630013011,-4.8
370630013031,8.8
370630013032,-1.3
370630013041,-0.1
370630014001,-7.4
370630014002,0
370630015011,1
370630015021,32.1
370630015022,0
370630015023,3.3
370630015024,2.5
370630015031,0
370630016011,8.6
370630016012,7.6
370630016013,7.1
370630016031,14.1
370630016032,4.9
370630016033,-1
370630016034,1.3
370630016041,11.2
370630016042,8.9
370630016043,8.5
370630017051,1.1
370630017052,9.5
370630017053,2.2
370630017061,17
370630017062,9.3
370630017071,6.5
370630017072,14.2
370630017073,14.2
370630017074,18.9
370630017075,9.3
370630017081,-0.6
370630017091,-6.4
370630017092,-3.9
370630017093,-4
370630017101,8.8
370630017102,-1.5
370630017111,5.8
370630017112,-6.2
370630017113,-12.1
370630018011,1.4
370630018012,4.7
370630018013,-5.7
370630018014,-0.9
370630018015,0.8
370630018021,2.3
370630018022,-4.1
370630018023,-1.3
370630018024,4.5
370630018061,11
370630018062,1.4
370630018071,-0.9
370630018072,2.5
370630018073,2.8
370630018081,3.3
370630018082,4.7
370630018091,0.1
370630018092,1.6
370630019001,67.5
370630019002,10.3
370630020071,10.7
370630020072,8.3
370630020073,4.1
370630020081,4
370630020082,7.9
370630020091,6.3
370630020092,-6.2
370630020093,1.8
370630020131,1.3
370630020132,7.8
370630020133,7.3
370630020151,15.2
370630020152,8.8
370630020153,2.2
370630020161,0
370630020162,6.6
370630020171,7.3
370630020172,6.6
370630020173,10.7
370630020181,4.5
370630020182,3.4
370630020183,5.2
370630020191,2
370630020192,26.6
370630020193,3.8
370630020201,3.6
370630020202,5.9
370630020211,5.1
370630020212,4.5
370630020221,2.8
370630020222,8
370630020231,10.8
370630020232,8.2
370630020241,8
370630020242,1.8
370630020243,7.3
370630020251,8.3
370630020252,6.3
370630020253,6.4
370630020261,13.2
370630020262,-1.3
370630020271,14.1
370630020272,1.6
370630020273,20.2
370630020281,6.5
370630020282,17
370630020283,3.9
370630021001,0.2
370630021002,-1.3
370630021003,5.7
370630022001,36.3
370630023001,42.6
370630023002,3.3
370639801001,3.5
