id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017
370630001011,34750,326799,384726,1195029,747906,1102113
370630001012,29261,350438,440308,188830,116535,440982
370630001021,13821,242651,95098,331376,1037972,280552
370630001022,188677,148782,207250,404807,212600,678757
370630002001,338656,63149,157192,332671,235100,1148084
370630002002,530529,502589,1112838,960401,1351556,1138245
370630002003,582825,709708,1279135,1316643,1271483,2235467
370630003011,54300,29400,1163322,934352,270675,1487299
370630003012,49016,290574,576125,436829,305600,554791
370630003013,528959,255513,482100,893418,1516359,822573
370630003021,713279,183660,361248,981741,532551,1673785
370630003022,545962,248088,1515557,499580,1155301,1345294
370630003023,1541941,1481125,1524948,1020965,1272479,7423400
370630004011,227055,538100,328731,941756,913115,884261
370630004012,1083032,1352932,1416981,1689778,1419567,2912550
370630004013,331522,698800,1781976,384801,1059930,228300
370630004021,45952924,28740806,21742602,3684621,1964553,3586622
370630005001,626719,17807092,568677,82895,240812,204812
370630005002,226488,357696,1112081,221950,1065695,152025
370630005003,336587,633538,172143,1788021,499751,679973
370630005004,159264,370802,349990,1133402,750990,1085989
370630006001,1528116,1180123,2044030,1974592,1825331,2612878
370630006002,243912,728357,1428349,1731838,1064470,2166843
370630006003,947776,806195,1098357,2966061,782558,1264447
370630007001,848164,53768249,53627,662968,544573,280390
370630007002,3936109,2387380,3889102,1100004,1758800,1218875
370630007003,738625,913802,708263,273506,429451,1074374
370630009001,5800,250544,274347,342280,566748,504000
370630009002,74542,490166,582526,547613,1845052,3991348
370630010011,363940,186014,43105,327168,250862,525618
370630010012,313161,704187,511882,740678,1751977,1237230
370630010013,217480,263874,1468157,1049041,1272542,7591451
370630010021,11000,19700,,148864,349224,345563
370630010022,,4470,25400,,5000,134188
370630010023,17480,7000,87900,388560,354140,445345
370630010024,261474,268025,93600,201824,392776,574870
370630011001,1042524,561052,929972,834409,2673797,3271864
370630011002,5453788,213124,2081800,1482891,1554249,558172
370630013011,80975,272290,267335,15192699,757870,1208318
370630013031,2800,445862,150458,270850,340264,391400
370630013032,44300,,,115808,85838,569632
370630013041,232663,11907,167437,174450,177405,336221
370630014001,99000,73100,,64368,17000,3800
370630014002,26000,28353,71320,133320,297724,46330
370630015011,462014,458409,,15351780,42821138,111706229
370630015021,2400,65008,5159,19009,3305834,224948
370630015022,75000,,,,18762794,
370630015023,44112960,,,3095267,13274123,95000
370630015024,33178,269669,,7193258,27600,
370630015031,1937352,6324315,3559,2079323,15963056,3089490
370630016011,2012835,3061033,2405429,1917517,2216977,1514221
370630016012,390239,1076629,150885,219101,316927,902053
370630016013,78997,62244,312017,668549,302864,1003768
370630016031,150894,67400,235384,168862,82935,255265
370630016032,2913173,4301328,5479093,532204,328540,175007
370630016033,48439,523130,753787,225589,898210,567773
370630016034,126540,152740,36306,419069,580867,510039
370630016041,321404,202635,82406,183299,766701,718998
370630016042,905797,660927,631094,607986,3350247,576165
370630016043,428863,66650,1624769,681181,1162035,794189
370630017051,38700,32795,190520,253250,166127,380775
370630017052,465337,744656,712502,2774431,2510001,2726850
370630017053,3250,40236,17700,164819,15783,539945
370630017061,9739092,12950188,6185499,322371,192285,190047
370630017062,220687,34400,195789,359207,135650,156004
370630017071,330052,737598,118816,408562,1559798,1139276
370630017072,348833,473124,311951,947819,1237652,1476119
370630017073,74004,231978,144037,348263,173698,307227
370630017074,3118447,3459220,2471030,1288242,1394259,5162807
370630017075,956746,9511057,13479522,21153393,8618707,30870404
370630017081,4522984,4287453,102652,186733,1003787,111623
370630017091,,26600,66853,43254,8250,111815
370630017092,31712,,,211546,49600,400
