id,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,43,26,45,43,54
370630001012,49,32,33,36,38
370630001021,63,51,67,68,79
370630001022,42,32,30,29,29
370630002001,19,20,18,19,31
370630002002,25,23,19,14,22
370630002003,16,16,13,12,13
370630003011,37,24,33,28,34
370630003012,17,15,9,12,13
370630003013,9,3,6,4,10
370630003021,4,3,4,8,5
370630003022,11,11,12,7,11
370630003023,28,24,17,23,28
370630004011,15,20,20,29,27
370630004012,0,0,2,3,2
370630004013,6,14,10,11,15
370630004021,35,29,25,28,34
370630005001,3,1,1,5,5
370630005002,13,7,4,8,5
370630005003,29,26,17,18,14
370630005004,32,34,24,46,41
370630006001,30,25,25,34,34
370630006002,44,46,64,52,53
370630006003,7,4,0,0,0
370630007001,25,20,15,26,24
370630007002,30,15,13,11,21
370630007003,8,8,8,10,15
370630009001,36,39,35,41,53
370630009002,49,48,39,51,38
370630010011,56,39,43,70,47
370630010012,48,40,53,50,45
370630010013,54,39,60,54,68
370630010021,105,93,113,124,123
370630010022,19,17,22,27,33
370630010023,27,31,32,38,36
370630010024,32,38,55,53,56
370630011001,97,95,104,93,81
370630011002,38,56,36,58,67
370630013011,80,57,67,83,92
370630013031,36,35,31,46,46
370630013032,20,17,25,19,20
370630013041,103,95,108,109,88
370630014001,72,33,49,36,44
370630014002,98,103,123,134,149
370630015011,5,2,4,6,4
370630015021,59,57,43,54,29
370630015022,9,4,3,2,3
370630015023,25,23,18,18,20
370630015024,34,32,30,24,14
370630015031,0,0,1,0,1
370630016011,10,5,2,8,2
370630016012,14,5,10,17,12
370630016013,8,5,5,14,9
370630016031,2,1,0,3,1
370630016032,13,16,18,37,22
370630016033,13,12,20,22,13
370630016034,1,0,3,3,1
370630016041,2,1,4,3,2
370630016042,7,1,5,1,1
370630016043,7,2,2,3,9
370630017051,13,8,11,12,7
370630017052,9,11,13,14,14
370630017053,27,25,24,37,41
370630017061,13,22,14,19,21
370630017062,5,6,7,8,15
370630017071,2,1,1,3,1
370630017072,26,12,13,13,20
370630017073,3,1,3,0,0
370630017074,11,15,24,23,18
370630017075,1,0,0,1,5
370630017081,41,48,40,69,43
370630017091,21,15,23,21,37
370630017092,19,27,33,28,25
370630017093,112,119,88,98,114
370630017101,35,26,28,38,53
370630017102,32,22,21,36,28
370630017111,13,15,22,17,23
370630017112,28,24,22,25,36
370630017113,28,22,14,11,17
370630018011,15,13,12,22,13
370630018012,8,5,3,7,4
370630018013,22,26,14,31,29
370630018014,26,22,14,25,30
370630018015,8,6,5,17,10
370630018021,39,29,40,32,45
370630018022,31,27,40,50,52
370630018023,45,46,42,55,46
370630018024,12,10,12,15,20
370630018061,37,35,23,18,21
370630018062,61,70,46,28,34
370630018071,20,29,23,35,32
370630018072,15,14,22,12,17
370630018073,17,13,18,13,18
370630018081,5,9,6,10,6
370630018082,15,13,19,21,29
370630018091,37,21,19,27,42
370630018092,14,18,10,20,22
370630019001,1,4,2,2,3
370630019002,6,7,1,1,5
370630020071,5,6,4,5,3
370630020072,11,18,7,4,15
370630020073,1,1,3,6,1
370630020081,1,0,1,0,0
370630020082,2,3,4,1,2
370630020091,33,31,33,41,36
370630020092,29,43,47,39,50
370630020093,39,31,43,42,51
370630020131,1,1,3,4,10
370630020132,5,1,8,8,7
370630020133,1,1,3,2,5
370630020151,29,29,22,25,46
370630020152,23,23,23,20,25
370630020153,5,12,7,23,23
370630020161,43,41,29,32,51
370630020162,19,38,21,31,34
370630020171,1,5,4,8,3
370630020172,5,1,4,1,2
370630020173,18,9,10,20,20
370630020181,1,1,2,2,3
370630020182,23,23,28,40,37
370630020183,12,7,14,17,11
370630020191,6,2,6,7,8
370630020192,3,0,2,1,1
370630020193,2,2,1,1,3
370630020201,1,2,3,3,4
370630020202,6,3,5,3,3
370630020211,19,36,25,45,46
370630020212,10,13,12,11,12
370630020221,8,7,9,12,16
370630020222,7,2,13,11,6
370630020231,4,2,6,5,4
370630020232,13,9,8,7,6
370630020241,2,9,10,3,16
370630020242,5,5,1,1,5
370630020243,3,2,2,2,2
370630020251,6,3,8,1,11
370630020252,11,13,17,16,8
370630020253,4,6,5,4,11
370630020261,21,26,25,27,36
370630020262,53,38,55,47,53
370630020271,11,19,22,15,18
370630020272,61,67,65,79,130
370630020273,12,11,20,18,16
370630020281,7,7,19,12,12
370630020282,6,6,4,2,6
370630020283,24,29,34,32,37
370630021001,3,6,4,3,3
370630021002,6,5,4,1,4
370630021003,10,3,2,6,9
370630022001,74,77,68,68,92
370630023001,42,33,62,38,37
370630023002,13,25,30,34,35
370639801001,2,4,3,1,1
