id,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,45,19,44,51,98
370630001012,35,33,50,51,53
370630001021,11,18,25,10,31
370630001022,36,17,26,28,41
370630002001,11,16,11,15,33
370630002002,20,28,23,27,30
370630002003,8,6,5,11,21
370630003011,12,33,17,29,34
370630003012,13,4,27,20,30
370630003013,5,6,14,5,12
370630003021,3,5,4,5,12
370630003022,7,4,14,4,26
370630003023,12,8,8,21,33
370630004011,20,5,18,20,14
370630004012,4,2,2,6,8
370630004013,8,6,1,2,10
370630004021,20,25,22,22,21
370630005001,0,0,0,1,0
370630005002,21,15,3,14,10
370630005003,29,17,17,23,15
370630005004,29,43,37,22,39
370630006001,47,24,24,38,38
370630006002,18,26,15,21,15
370630006003,1,0,2,1,0
370630007001,7,8,14,13,12
370630007002,4,6,4,11,19
370630007003,8,1,3,7,4
370630009001,57,61,66,77,72
370630009002,94,99,72,89,131
370630010011,53,63,86,58,63
370630010012,70,53,94,69,82
370630010013,91,82,110,124,127
370630010021,31,30,37,34,88
370630010022,4,13,15,11,23
370630010023,27,50,46,42,47
370630010024,51,69,61,61,41
370630011001,49,86,60,108,106
370630011002,17,20,30,26,21
370630013011,99,187,197,160,214
370630013031,43,64,52,51,64
370630013032,15,40,45,22,47
370630013041,53,58,42,43,62
370630014001,20,26,17,19,28
370630014002,42,140,134,72,68
370630015011,0,0,0,0,0
370630015021,3,2,0,6,0
370630015022,0,0,0,0,0
370630015023,0,0,1,2,0
370630015024,0,0,0,0,0
370630015031,0,0,0,0,0
370630016011,3,0,0,0,1
370630016012,9,13,8,18,26
370630016013,5,12,7,4,6
370630016031,6,18,6,9,9
370630016032,10,5,5,6,11
370630016033,0,0,0,1,0
370630016034,,,,,
370630016041,6,6,4,5,10
370630016042,0,2,0,1,2
370630016043,0,0,0,0,0
370630017051,12,16,18,26,32
370630017052,9,16,25,25,14
370630017053,26,13,13,5,18
370630017061,3,0,1,2,8
370630017062,6,5,4,7,11
370630017071,6,4,7,3,8
370630017072,4,9,9,5,7
370630017073,0,1,1,3,2
370630017074,13,14,6,4,18
370630017075,0,1,2,1,1
370630017081,15,38,24,19,29
370630017091,12,20,26,21,25
370630017092,13,21,26,33,22
370630017093,17,6,6,20,17
370630017101,6,18,19,23,25
370630017102,6,8,2,12,21
370630017111,7,12,8,13,15
370630017112,3,5,1,0,12
370630017113,6,1,5,9,5
370630018011,36,25,16,15,22
370630018012,12,10,9,8,21
370630018013,21,16,18,27,17
370630018014,9,12,1,1,10
370630018015,0,0,0,0,0
370630018021,20,44,27,39,56
370630018022,17,19,10,8,27
370630018023,18,14,37,48,72
370630018024,32,19,17,41,43
370630018061,0,0,0,2,0
370630018062,31,12,9,8,21
370630018071,11,8,7,12,11
370630018072,1,1,2,5,4
370630018073,14,15,9,21,53
370630018081,3,1,0,2,4
370630018082,10,2,1,2,4
370630018091,0,10,4,1,0
370630018092,4,22,6,19,19
370630019001,0,0,0,0,0
370630019002,,,,,
370630020071,3,5,13,17,7
370630020072,4,3,5,5,12
370630020073,17,7,12,0,7
370630020081,5,0,1,3,4
370630020082,3,0,2,1,3
370630020091,25,61,37,63,53
370630020092,18,46,49,20,30
370630020093,44,45,26,38,40
370630020131,5,5,5,4,8
370630020132,3,4,9,5,8
370630020133,4,8,8,6,2
370630020151,8,7,10,6,7
370630020152,2,1,4,3,2
370630020153,0,1,1,3,0
370630020161,2,0,0,1,0
370630020162,3,3,7,6,5
370630020171,0,2,1,3,3
370630020172,4,0,2,3,2
370630020173,3,1,1,0,5
370630020181,0,0,0,0,0
370630020182,4,4,2,1,3
370630020183,6,3,3,12,3
370630020191,1,0,0,0,0
370630020192,0,0,0,0,0
370630020193,0,0,1,0,3
370630020201,1,1,1,0,1
370630020202,1,0,2,3,2
370630020211,3,2,1,0,1
370630020212,2,0,3,1,4
370630020221,1,3,0,2,5
370630020222,2,5,1,7,2
370630020231,1,2,0,0,1
370630020232,1,1,1,0,2
370630020241,4,7,2,6,23
370630020242,1,0,0,2,0
370630020243,0,0,0,0,0
370630020251,13,22,12,6,2
370630020252,18,13,10,18,20
370630020253,9,5,8,4,10
370630020261,17,11,33,33,17
370630020262,4,14,24,22,26
370630020271,21,16,22,19,36
370630020272,9,6,2,5,11
370630020273,0,0,0,0,0
370630020281,1,1,1,3,8
370630020282,0,0,0,0,0
370630020283,0,0,2,3,2
370630021001,0,0,0,1,1
370630021002,,,,,
370630021003,,,,,
370630022001,19,23,16,20,31
370630023001,28,45,47,40,35
370630023002,4,13,9,19,34
370639801001,0,0,0,0,0
