id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,12,21,45,24,24,43
370630001012,0,0,0,0,0,0
370630001021,43,41,39,33,29,0
370630001022,30,31,32,42,44,33
370630002001,35,21,16,25,33,7
370630002002,7,7,24,22,20,19
370630002003,26,21,22,26,5,23
370630003011,0,0,0,2,1,9
370630003012,7,13,11,7,0,0
370630003013,30,41,31,39,46,64
370630003021,66,93,83,74,29,33
370630003022,7,6,21,33,42,57
370630003023,11,21,75,70,61,55
370630004011,33,30,46,64,66,73
370630004012,21,19,37,39,35,38
370630004013,104,40,32,35,34,30
370630004021,133,123,131,149,108,102
370630005001,0,0,0,0,0,41
370630005002,19,19,27,37,44,30
370630005003,0,3,11,13,11,13
370630005004,0,29,23,14,30,39
370630006001,157,149,56,133,123,95
370630006002,62,66,35,55,70,33
370630006003,0,0,21,27,70,72
370630007001,14,43,39,42,30,43
370630007002,50,0,0,40,36,60
370630007003,57,25,8,6,36,35
370630009001,0,0,0,0,0,0
370630009002,0,0,0,0,0,0
370630010011,0,0,0,0,0,9
370630010012,0,0,0,0,0,0
370630010013,0,22,53,47,53,47
370630010021,60,47,0,0,0,0
370630010022,36,31,0,0,0,0
370630010023,19,16,0,0,0,0
370630010024,13,0,0,0,0,0
370630011001,20,21,21,10,21,38
370630011002,0,0,9,9,15,20
370630013011,0,0,0,1,2,6
370630013031,59,60,115,151,188,191
370630013032,0,0,0,0,0,0
370630013041,19,20,38,34,28,21
370630014001,0,0,0,0,0,0
370630014002,0,20,29,26,23,42
370630015011,26,40,73,66,68,61
370630015021,0,0,0,0,0,0
370630015022,0,0,0,0,0,0
370630015023,0,0,0,0,0,0
370630015024,0,0,0,0,0,0
370630015031,32,54,33,55,74,76
370630016011,76,42,38,35,42,36
370630016012,49,42,99,108,127,148
370630016013,12,16,15,15,0,0
370630016031,0,0,0,0,0,0
370630016032,35,52,53,25,35,27
370630016033,28,11,13,23,1,6
370630016034,54,40,69,72,87,96
370630016041,86,82,89,69,75,83
370630016042,76,69,73,82,103,83
370630016043,39,33,35,39,40,38
370630017051,78,70,50,0,0,0
370630017052,60,45,29,20,10,20
370630017053,14,15,9,11,15,27
370630017061,0,44,25,36,47,66
370630017062,66,52,55,57,47,32
370630017071,17,20,53,65,70,84
370630017072,60,69,66,0,0,0
370630017073,15,15,19,28,14,20
370630017074,79,92,79,115,132,153
370630017075,26,47,56,54,50,35
370630017081,65,90,99,102,115,58
370630017091,0,1,1,1,1,1
370630017092,0,0,0,0,0,0
370630017093,32,63,57,67,79,57
370630017101,95,122,29,30,24,67
370630017102,0,0,0,14,12,10
370630017111,0,8,7,8,8,10
370630017112,0,0,0,0,0,0
370630017113,0,6,34,32,37,38
370630018011,60,55,49,56,41,38
370630018012,0,0,17,13,12,15
370630018013,19,14,17,37,36,44
370630018014,0,0,0,25,20,9
370630018015,0,0,0,0,0,0
370630018021,61,60,57,61,23,23
370630018022,0,13,70,55,53,48
370630018023,19,0,0,0,0,0
370630018024,21,15,15,13,0,0
370630018061,15,28,29,25,26,0
370630018062,27,49,52,9,32,44
370630018071,96,71,71,72,62,30
370630018072,59,45,56,62,76,41
370630018073,69,40,17,20,19,60
370630018081,101,110,59,53,68,23
370630018082,56,50,128,121,156,287
370630018091,42,62,67,52,35,11
370630018092,20,12,16,66,70,100
370630019001,9,8,16,17,21,0
370630019002,60,51,39,33,63,71
370630020071,24,25,43,55,79,74
370630020072,68,107,120,73,106,114
370630020073,74,83,136,49,48,25
370630020081,32,53,45,45,43,39
370630020082,65,82,81,95,61,89
370630020091,34,27,0,0,11,17
370630020092,0,4,8,8,16,13
370630020093,28,27,28,26,25,0
370630020131,51,36,38,41,50,48
370630020132,9,11,26,46,47,37
370630020133,33,59,70,77,85,67
370630020151,3,28,41,26,73,78
370630020152,0,0,0,0,11,15
370630020153,0,0,0,2,20,31
370630020161,0,0,0,0,0,0
370630020162,31,52,33,33,31,33
370630020171,80,105,112,109,104,103
370630020172,46,56,48,29,106,144
370630020173,99,114,114,110,123,159
370630020181,36,55,63,98,77,79
370630020182,87,127,189,177,189,175
370630020183,76,71,55,49,43,57
370630020191,0,0,21,40,33,34
370630020192,13,19,16,43,59,65
370630020193,99,64,68,56,65,106
370630020201,78,76,59,92,87,87
370630020202,206,229,256,202,259,239
370630020211,212,175,148,68,66,11
370630020212,0,0,0,20,17,18
370630020221,15,14,0,0,0,24
370630020222,38,38,35,57,92,100
370630020231,52,64,40,40,19,33
370630020232,17,29,25,38,87,120
370630020241,219,183,219,247,279,265
370630020242,24,24,17,11,16,28
370630020243,131,81,56,58,31,0
370630020251,13,0,17,22,112,130
370630020252,122,81,99,120,153,120
370630020253,0,0,0,0,0,0
370630020261,19,27,30,41,30,14
370630020262,8,8,24,15,68,90
370630020271,0,0,0,0,0,0
370630020272,12,47,54,48,181,154
370630020273,0,0,39,30,24,52
370630020281,62,78,79,54,58,91
370630020282,15,0,0,0,0,0
370630020283,0,25,30,42,93,91
370630021001,50,66,57,55,37,50
370630021002,10,12,27,35,52,53
370630021003,25,30,52,54,39,39
370630022001,20,22,59,63,71,80
370630023001,0,0,0,0,0,0
370630023002,0,0,0,0,0,0
370639801001,0,0,0,0,0,0
