id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2021
2,4.1123,4.1123,4.1123,4.1056,4.1056,4.1056,4.105584106
3,11.5588,11.5588,11.5588,11.559,11.559,11.559,11.55896973
4,3.2925,3.2925,3.2925,3.2924,3.2924,3.2924,3.29242218
5,1.6714,1.6714,1.6714,1.6714,1.6714,1.6714,1.671415863
6,4.0323,4.0323,4.0323,4.0322,4.0322,4.0322,4.032213745
7,5.4791,5.4791,5.4791,5.479,5.479,5.479,5.479015503
8,5.9654,5.9654,5.9654,5.9653,5.9653,5.9653,5.965291748
9,0.9356,0.9356,0.9356,0.9356,0.9356,0.9356,0.935625
10,5.5126,5.5126,5.5126,5.5125,5.5125,5.5125,5.512459106
11,5.101,5.101,5.101,5.1009,5.1009,5.1009,5.100890198
12,1.5884,1.5884,1.5884,1.5884,1.5884,1.5884,1.588381042
13,4.5742,4.5742,4.5742,4.5741,4.5741,4.5741,4.574115906
14,4.3616,4.3616,4.3616,4.3615,4.3615,4.3615,4.361521301
15,6.9027,6.9027,6.9027,6.9025,6.9025,6.9025,6.902540283
16,7.2532,7.2532,7.2532,7.2397,7.2397,7.2397,7.239735718
17,4.5356,4.5356,4.5356,4.5356,4.5356,4.5356,4.535641479
18,6.1518,6.1518,6.1518,6.1517,6.1517,6.1517,6.151680908
19,8.3804,8.3804,8.3804,8.3802,8.3802,8.3802,8.38024292
20,3.9922,3.9922,3.9922,3.9922,3.9922,3.9922,3.992160339
21,9.1234,9.1234,9.1234,9.1232,9.1232,9.1232,9.12321228
22,3.1426,3.1426,3.1426,3.1425,3.1425,3.1425,3.142498474
23,2.8117,2.8117,2.8117,2.8116,2.8116,2.8116,2.811609497
24,1.8025,1.8025,1.8025,1.8008,1.8008,1.8008,1.800770569
25,6.5302,6.5302,6.5302,6.5301,6.5301,6.5301,6.53005127
26,11.2816,11.2816,11.2816,11.285,11.285,11.285,11.28502319
27,3.2083,3.2083,3.2083,3.2082,3.2082,3.2082,3.208208618
28,1.9404,1.9404,1.9404,1.9403,1.9403,1.9403,1.940325775
29,4.0831,4.0831,4.0831,4.083,4.083,4.083,4.083011169
30,4.7684,4.7684,4.7684,4.7716,4.7716,4.7716,4.771575317
31,3.8471,3.8471,3.8471,3.8471,3.8471,3.8471,3.847077332
32,0.8683,0.8683,0.8683,0.8683,0.8683,0.8683,0.868330765
33,2.5909,2.5909,2.5909,2.5908,2.5908,2.5908,2.590803528
34,9.2805,9.2805,9.2805,9.282,9.282,9.282,9.281972656
35,22.7934,22.7934,22.7934,22.793,22.793,22.793,22.79300537
36,5.9365,5.9365,5.9365,5.9364,5.9364,5.9364,5.936410522
37,2.4322,2.4322,2.4322,2.4322,2.4322,2.4322,2.43219162
38,18.8714,18.8714,18.8714,18.7499,18.7499,18.7499,18.74992432
39,6.6882,6.6882,6.6882,6.688,6.688,6.688,6.688048096
40,3.4788,3.4788,3.4788,3.4787,3.4787,3.4787,3.478746948
41,3.1315,3.1315,3.1315,3.1315,3.1315,3.1315,3.131484985
42,3.5228,3.5228,3.5228,3.5227,3.5227,3.5227,3.522709656
43,3.581,3.581,3.581,3.5809,3.5809,3.5809,3.580883179
44,2.2315,2.2315,2.2315,2.2314,2.2314,2.2314,2.231448059
45,9.5228,9.5228,9.5228,9.6514,9.6514,9.6514,9.651382446
46,2.8653,2.8653,2.8653,2.8652,2.8652,2.8652,2.865216675
47,1.3946,1.3946,1.3946,1.3945,1.3945,1.3945,1.39453186
48,18.9634,18.9634,18.9634,18.963,18.963,18.963,18.96298828
49,12.0398,12.0398,12.0398,12.0396,12.0396,12.0396,12.0396167
50,2.6769,2.6769,2.6769,2.6768,2.6768,2.6768,2.67684082
51,2.819,2.819,2.819,2.8189,2.8189,2.8189,2.818926392
52,5.0148,5.0148,5.0148,5.0147,5.0147,5.0147,5.014749146
53,4.3689,4.3689,4.3689,4.3688,4.3688,4.3688,4.368830566
54,8.3349,8.3349,8.3349,8.337,8.337,8.337,8.336959839
55,5.5261,5.5261,5.5261,5.526,5.526,5.526,5.52602478
56,2.9345,2.9345,2.9345,2.9344,2.9344,2.9344,2.934443054
57,1.6768,1.6768,1.6768,1.6768,1.6768,1.6768,1.676815186
58,2.1851,2.1851,2.1851,2.185,2.185,2.185,2.185031738
59,3.4454,3.4454,3.4454,3.4453,3.4453,3.4453,3.445298767
60,8.0108,8.0108,8.0108,8.0106,8.0106,8.0106,8.010640259
61,3.0121,3.0121,3.0121,3.0121,3.0121,3.0121,3.012063904
62,2.9105,2.9105,2.9105,2.9105,2.9105,2.9105,2.910473938
64,3.8151,3.8151,3.8151,3.8151,3.8151,3.8151,3.81506012
65,3.608,3.608,3.608,3.6079,3.6079,3.6079,3.607948608
66,3.6549,3.6549,3.6549,3.6775,3.6775,3.6775,3.677481689
67,0.9898,0.9898,0.9898,0.9898,0.9898,0.9898,0.989778137
68,12.6891,12.6891,12.6891,12.6453,12.6453,12.6453,12.64525024
69,3.7959,3.7959,3.7959,3.7959,3.7959,3.7959,3.795877075
70,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.957366943
71,3.5515,3.5515,3.5515,3.5498,3.5498,3.5498,3.549804688
72,11.6262,11.6262,11.6262,11.6423,11.6423,11.6423,11.64226074
73,40.7869,40.7869,40.7869,40.7846,40.7846,40.7846,40.78457764
74,2.0011,2.0011,2.0011,2.001,2.001,2.001,2.001034698
75,3.3857,3.3857,3.3857,3.4323,3.4323,3.4323,3.432306213
76,12.9555,12.9555,12.9555,12.9908,12.9908,12.9908,12.99081909
77,10.2619,10.2619,10.2619,10.2259,10.2259,10.2259,10.22585327
78,6.3035,6.3035,6.3035,6.343,6.343,6.343,6.343049316
79,0.7314,0.7314,0.7314,0.7314,0.7314,0.7314,0.731370163
80,6.8903,6.8903,6.8903,6.892,6.892,6.892,6.892038574
81,1.9324,1.9324,1.9324,1.9051,1.9051,1.9051,1.905135498
82,3.8041,3.8041,3.8041,3.7447,3.7447,3.7447,3.744691772
83,23.9896,23.9896,23.9896,23.9892,23.9892,23.9892,23.98917969
84,24.8523,24.8523,24.8523,24.8249,24.8249,24.8249,24.82486816
85,2.7557,2.7557,2.7557,2.7557,2.7557,2.7557,2.75565979
86,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.990662766
87,1.9584,1.9584,1.9584,1.9584,1.9584,1.9584,1.958406525
88,4.296,4.296,4.296,4.2959,4.2959,4.2959,4.295889893
89,2.3768,2.3768,2.3768,2.3768,2.3768,2.3768,2.376775665
90,2.4984,2.4984,2.4984,2.4984,2.4984,2.4984,2.498383636
91,2.8257,2.8257,2.8257,2.8256,2.8256,2.8256,2.82559082
92,2.7002,2.7002,2.7002,2.7212,2.7212,2.7212,2.721156616
93,5.8573,5.8573,5.8573,5.8572,5.8572,5.8572,5.8572229
94,6.5611,6.5611,6.5611,6.561,6.561,6.561,6.56097168
95,4.4358,4.4358,4.4358,4.4194,4.4194,4.4194,4.419363708
96,7.2337,7.2337,7.2337,7.1892,7.1892,7.1892,7.189168091
97,5.443,5.443,5.443,5.4878,5.4878,5.4878,5.487832642
98,16.0224,16.0224,16.0224,16.0221,16.0221,16.0221,16.02210083
99,3.9687,3.9687,3.9687,3.9686,3.9686,3.9686,3.968638306
100,7.1856,7.1856,7.1856,7.1855,7.1855,7.1855,7.185476074
101,1.2646,1.2646,1.2646,1.2646,1.2646,1.2646,1.264616165
102,1.9703,1.9703,1.9703,1.9703,1.9703,1.9703,1.970267639
103,1.3576,1.3576,1.3576,1.3439,1.3439,1.3439,1.34394928
105,2.2156,2.2156,2.2156,2.2156,2.2156,2.2156,2.215569153
106,1.5185,1.5185,1.5185,1.5185,1.5185,1.5185,1.518470001
107,1.6011,1.6011,1.6011,1.6011,1.6011,1.6011,1.601114349
108,5.7201,5.7201,5.7201,5.72,5.72,5.72,5.720007935
109,12.4091,12.4091,12.4091,12.4622,12.4622,12.4622,12.46218872
110,13.9302,13.9302,13.9302,13.9298,13.9298,13.9298,13.9297998
111,7.6419,7.6419,7.6419,7.5203,7.5203,7.5203,7.520343628
112,16.2863,16.2863,16.2863,16.3615,16.3615,16.3615,16.36150757
113,13.3467,13.3467,13.3467,13.3812,13.3812,13.3812,13.38124268
114,6.5477,6.5477,6.5477,6.577,6.577,6.577,6.577001343
115,7.1804,7.1804,7.1804,7.1801,7.1801,7.1801,7.180136108
116,36.5897,36.5897,36.5897,36.5907,36.5907,36.5907,36.59073975
117,9.9049,9.9049,9.9049,9.9035,9.9035,9.9035,9.90348938
118,3.1978,3.1978,3.1978,3.1977,3.1977,3.1977,3.197743835
119,10.1826,10.1826,10.1826,10.1824,10.1824,10.1824,10.18237
120,3.8277,3.8277,3.8277,3.8276,3.8276,3.8276,3.827590637
121,4.6248,4.6248,4.6248,4.6332,4.6332,4.6332,4.633220825
122,38.0428,38.0428,38.0428,38.1455,38.1455,38.1455,38.1454541
123,12.1258,12.1258,12.1258,12.1256,12.1256,12.1256,12.1256189
124,7.0762,7.0762,7.0762,7.0761,7.0761,7.0761,7.076090088
125,10.1973,10.1973,10.1973,10.1911,10.1911,10.1911,10.19113525
126,1.4054,1.4054,1.4054,1.4054,1.4054,1.4054,1.405377197
127,4.4869,4.4869,4.4869,4.4868,4.4868,4.4868,4.486828308
128,2.6878,2.6878,2.6878,2.6877,2.6877,2.6877,2.687728271
129,4.8519,4.8519,4.8519,4.8518,4.8518,4.8518,4.851830139
130,36.1749,36.1749,36.1749,36.1811,36.1811,36.1811,36.18111572
131,2.7031,2.7031,2.7031,2.703,2.703,2.703,2.703036499
132,1.8867,1.8867,1.8867,1.8866,1.8866,1.8866,1.886612549
133,1.5858,1.5858,1.5858,1.5858,1.5858,1.5858,1.585801239
134,1.1558,1.1558,1.1558,1.1558,1.1558,1.1558,1.155815659
135,1.4124,1.4124,1.4124,1.4124,1.4124,1.4124,1.412377777
136,6.8919,6.8919,6.8919,6.8918,6.8918,6.8918,6.891791382
137,7.2896,7.2896,7.2896,7.0148,7.0148,7.0148,7.014817505
138,5.0855,5.0855,5.0855,5.0854,5.0854,5.0854,5.08541626
139,6.3715,6.3715,6.3715,6.3774,6.3774,6.3774,6.377372437
140,10.4494,10.4494,10.4494,10.4512,10.4512,10.4512,10.45123535
141,6.8138,6.8138,6.8138,6.7905,6.7905,6.7905,6.790534668
142,4.4188,4.4188,4.4188,4.4187,4.4187,4.4187,4.418696289
143,2.9285,2.9285,2.9285,2.9285,2.9285,2.9285,2.928450928
144,2.4555,2.4555,2.4555,2.4555,2.4555,2.4555,2.45549118
145,5.1992,5.1992,5.1992,5.1991,5.1991,5.1991,5.199087524
146,4.3442,4.3442,4.3442,4.3442,4.3442,4.3442,4.3441745
147,4.5539,4.5539,4.5539,4.5538,4.5538,4.5538,4.553843384
148,5.9688,5.9688,5.9688,5.9686,5.9686,5.9686,5.968647461
149,2.7644,2.7644,2.7644,2.7644,2.7644,2.7644,2.76436554
150,5.5815,5.5815,5.5815,5.5814,5.5814,5.5814,5.581376953
151,5.3478,5.3478,5.3478,5.3515,5.3515,5.3515,5.351509399
152,5.9126,5.9126,5.9126,5.9356,5.9356,5.9356,5.935644531
153,8.1255,8.1255,8.1255,8.1254,8.1254,8.1254,8.125354004
154,7.3082,7.3082,7.3082,7.3004,7.3004,7.3004,7.300432129
155,12.4612,12.4612,12.4612,12.46,12.46,12.46,12.45996704
156,11.1701,11.1701,11.1701,11.1674,11.1674,11.1674,11.16737915
157,5.7191,5.7191,5.7191,5.718,5.718,5.718,5.717956543
158,12.2148,12.2148,12.2148,12.3105,12.3105,12.3105,12.3104834
159,4.8854,4.8854,4.8854,4.8853,4.8853,4.8853,4.885300598
160,7.7615,7.7615,7.7615,7.764,7.764,7.764,7.764019165
161,2.9426,2.9426,2.9426,2.9426,2.9426,2.9426,2.942580261
162,3.6806,3.6806,3.6806,3.6806,3.6806,3.6806,3.680567932
163,1.7412,1.7412,1.7412,1.7412,1.7412,1.7412,1.741151428
164,6.4153,6.4153,6.4153,6.4152,6.4152,6.4152,6.415198975
165,1.8064,1.8064,1.8064,1.8064,1.8064,1.8064,1.806387329
166,1.5137,1.5137,1.5137,1.5137,1.5137,1.5137,1.51368103
167,1.8391,1.8391,1.8391,1.8391,1.8391,1.8391,1.839059601
168,2.2832,2.2832,2.2832,2.2832,2.2832,2.2832,2.283162231
169,2.4473,2.4473,2.4473,2.4473,2.4473,2.4473,2.447265015
170,4.7526,4.7526,4.7526,4.7544,4.7544,4.7544,4.754403992
171,2.8634,2.8634,2.8634,2.8637,2.8637,2.8637,2.863657227
172,9.4225,9.4225,9.4225,9.4223,9.4223,9.4223,9.42234314
173,3.7952,3.7952,3.7952,3.7951,3.7951,3.7951,3.795066833
174,31.7856,31.7856,31.7856,31.7775,31.7775,31.7775,31.77750977
175,5.2131,5.2131,5.2131,5.213,5.213,5.213,5.213046265
176,4.6875,4.6875,4.6875,4.6874,4.6874,4.6874,4.687433472
177,5.0675,5.0675,5.0675,5.0674,5.0674,5.0674,5.067446899
178,20.2154,20.2154,20.2154,20.2472,20.2472,20.2472,20.24722168
179,5.018,5.018,5.018,5.0179,5.0179,5.0179,5.017875061
180,2.9941,2.9941,2.9941,2.9941,2.9941,2.9941,2.994086914
181,10.2082,10.2082,10.2082,10.208,10.208,10.208,10.20799744
182,2.1792,2.1792,2.1792,2.1791,2.1791,2.1791,2.179106293
