id,y_2016
2,982
3,4100
4,386
5,313
6,638
7,410
8,842
9,268
10,1409
11,1164
12,1220
13,1580
14,1476
15,730
16,2040
17,1223
18,1317
19,1647
20,1451
21,1163
22,359
23,727
24,428
25,1103
26,889
27,787
28,450
29,531
30,
31,639
32,212
33,541
34,780
35,747
36,1121
37,705
38,802
39,886
40,1391
41,715
42,1273
43,724
44,455
45,1204
46,1027
47,582
48,572
49,834
50,927
51,906
52,656
53,1074
54,461
55,775
56,325
57,584
58,476
59,934
60,1098
61,247
62,
64,1558
65,805
66,1251
67,
68,1165
69,577
70,472
71,1246
72,941
73,1087
74,643
75,690
76,891
77,2099
78,923
79,535
80,910
81,378
82,1038
83,474
84,
85,695
86,903
87,563
88,352
89,443
90,807
91,847
92,1072
93,545
94,366
95,722
96,1465
97,1462
98,698
99,622
100,717
101,594
102,479
103,361
105,474
106,705
107,1166
108,472
109,783
110,675
111,1135
112,506
113,1475
114,273
115,1541
116,1154
117,1277
118,420
119,447
120,514
121,850
122,
123,1019
124,838
125,1329
126,198
127,1182
128,982
129,934
130,636
131,860
132,242
133,557
134,266
135,611
136,826
137,
138,292
139,531
140,993
141,365
142,1186
143,624
144,1001
145,721
146,580
147,918
148,880
149,336
150,615
151,1045
152,274
153,1179
154,1233
155,965
156,1016
157,256
158,1179
159,463
160,1007
161,959
162,635
163,463
164,1455
165,911
166,318
167,367
168,560
169,757
170,617
171,408
172,1101
173,363
174,631
175,644
176,1081
177,804
178,1011
179,594
180,405
181,1174
182,205
183,277
184,615
185,1115
186,769
187,330
188,619
189,450
190,
191,851
192,970
193,532
194,991
195,896
196,814
197,893
198,500
199,1139
200,226
201,1112
202,682
203,541
204,611
205,321
206,533
207,1065
208,706
209,1195
210,1075
211,746
212,438
213,779
215,253
216,292
217,537
218,1185
219,549
220,691
221,1165
222,711
223,460
224,1069
225,521
226,422
227,900
228,236
229,1095
230,1077
231,847
232,945
233,1085
234,1246
235,966
236,571
237,1001
238,906
240,833
241,827
242,455
243,23
244,691
245,616
246,1143
247,391
248,746
249,491
250,582
251,633
252,289
253,890
254,406
255,984
256,1083
257,1440
258,892
259,1057
260,1117
261,836
262,1211
263,943
264,1002
265,614
266,987
267,1539
268,821
269,1128
270,416
271,454
272,953
273,613
274,638
275,785
276,713
277,744
278,701
279,788
280,716
281,379
282,423
283,1183
284,339
285,
286,262
287,1267
288,963
289,1228
290,
291,959
292,357
293,308
294,299
295,502
296,456
297,140
298,653
299,1005
300,662
301,670
302,1244
303,854
304,364
305,347
306,284
307,1229
308,475
309,503
310,806
311,474
312,406
313,528
314,879
315,317
316,1307
317,248
318,679
319,977
320,383
321,507
322,425
323,940
324,704
325,956
326,389
327,527
328,350
329,679
330,684
331,439
332,665
333,960
334,433
335,1175
336,1870
337,883
338,1052
339,989
340,3186
341,1745
342,368
343,647
344,620
345,374
346,998
347,236
348,1418
349,595
350,749
351,423
352,1112
353,993
354,1068
355,910
356,1889
357,1141
358,1439
359,978
360,1463
361,348
362,1205
363,985
364,1008
365,608
366,393
367,2484
368,1101
369,449
370,1053
371,2790
372,4228
373,1197
374,968
375,815
376,1412
377,1761
378,1956
379,1307
380,1838
381,1661
382,737
383,1610
384,1590
385,1678
386,715
387,899
388,882
389,3448
390,682
391,983
392,3591
393,2479
394,1356
395,746
396,966
397,872
398,409
399,948
400,891
401,926
402,578
403,707
404,658
405,1492
406,995
407,621
408,1179
409,939
410,812
411,617
412,260
413,1306
416,646
417,753
418,1172
419,953
420,1132
421,515
422,756
423,771
424,642
425,455
426,777
428,594
430,1495
431,651
432,1009
433,410
434,1059
435,205
436,674
437,986
438,650
442,857
443,476
444,863
445,905
446,591
447,830
448,1337
449,800
450,1161
451,1034
452,565
453,967
454,517
455,795
456,701
457,427
458,406
459,1069
460,1037
462,624
463,808
464,1330
465,530
466,947
467,711
468,94
469,802
470,789
471,1116
472,510
473,952
474,1096
475,501
