id,y_2010,y_2012,y_2014,y_2015,y_2016
2,11.79,13.37,11.11,11.64,14.01
3,46.15,54.34,52.27,56.45,70.43
4,7.34,7.8,7.27,7.35,8.1
5,3.41,3.98,4.2,4.31,4.84
6,10.18,11.72,10.98,11.16,12.83
7,8.99,9.45,8.93,9.18,9.7
8,9.8,10.22,10.1,9.77,12.58
9,3.4,3.44,3.13,3.34,4.28
10,18.12,20.46,16.47,17.22,21.59
11,16.09,17.06,15.58,16.22,18.74
12,8.26,10.01,8.94,9.63,12.52
13,13.61,14.55,12.83,14.06,17.67
14,17.16,18.96,16.78,18.12,21.22
15,14.5,15.12,13.62,14.14,15.63
16,22.24,24.66,21.51,22.61,26.31
17,18.22,20.33,19.85,20.2,22.16
18,17.99,19.72,18.45,19.94,23.64
19,26.29,27.36,24.32,25.02,27.46
20,18.82,19.35,17.19,18.33,20.45
21,7.59,10.31,8.84,9.55,12.34
22,4.14,5.52,4.39,5.11,7.89
23,5.23,6.59,6.32,6.76,8.01
24,5.12,5.27,3.97,4.2,5.03
25,19.47,20.56,18.32,19.05,21.11
26,18.3,19.01,18.89,19.54,21.47
27,11.14,12.84,11.14,11.79,12.35
28,6.56,7.45,7.22,7.51,8.28
29,9.01,9.4,8.23,8.45,9.45
30,4.58,7.22,8.31,9,13.65
31,12.16,12.63,11.57,12.1,13.04
32,2.26,2.39,1.88,2,2.33
33,3.43,4.23,2.85,3.09,3.62
34,8.94,10.82,9.16,9.52,11.32
35,8.85,11.14,11.32,12.31,15.58
36,16.02,16.6,16.88,17.53,20.09
37,10.18,11.59,11.21,11.46,13.38
38,14.02,15.3,13.63,14.28,15.95
39,12.87,15.09,15.2,15.68,17.29
40,10.87,14.26,14.03,14.73,17.07
41,8.72,9.06,7.65,8.06,10
42,15.5,16.44,15.24,15.82,17.33
43,8.67,9.44,8.62,8.9,10.02
44,4.4,4.94,4.61,5.2,5.71
45,12.98,16.32,15.62,17.28,23.67
46,10.35,12.22,11.54,11.99,14.57
47,4.22,5.85,5.29,5.91,6.42
48,8.07,9.49,7.9,8.14,9.42
49,12.34,13.57,11.99,12.61,15.41
50,9.2,10.35,8.47,8.73,9.81
51,8.3,10.57,10.13,11.08,13.58
52,4.84,6.37,4.39,4.67,6.4
53,12.5,14.34,11.03,11.52,13.9
54,5.29,6.1,4.4,4.69,5.68
55,12.15,13.34,12.07,12.62,14.01
56,4.4,4.59,4.17,4.35,5.06
57,4.39,4.76,4.38,4.71,5.44
58,5.75,6.2,5.18,5.44,6.43
59,11.31,11.22,9.86,10.27,13.1
60,7.72,12.02,13.72,14.52,20.88
61,5.86,6.65,7.04,6.45,7.01
62,4.48,13.52,20.01,19.6,29.02
64,15.03,18.27,15.98,17.21,23.07
65,4.89,6.77,6,6.62,7.84
66,8.06,8.79,7.79,8.53,10.57
67,1.41,2.2,2.61,2.96,4.23
68,14.39,14.92,11.85,12.67,16.19
69,7.23,7.66,6.94,7.72,8.33
70,10.5,11.77,9.99,10.06,11
71,7.15,9.97,8.23,8.89,10.81
72,7.73,10.3,9.79,10.49,13.87
73,14.78,16.41,16.3,17.23,19.56
74,7.08,7.53,6.5,6.73,8.09
75,9.06,10.44,9.56,10.09,11.71
76,11.36,14.42,14.91,16.34,20.69
77,17.26,23.19,20.54,23.29,30
78,8.97,10.72,9.38,10.21,12.63
79,2.17,2.96,2.01,2.17,2.57
80,6.15,8.73,7.59,8.25,10.62
81,6.25,6.74,6.28,6.72,7.95
82,8.92,11.31,10.22,11.94,15.21
83,5.04,5.63,4.64,4.95,5.94
84,3.43,3.38,2.25,2.33,2.71
85,10.68,12.12,10.82,11.05,11.97
86,4.28,6.41,6.48,7.27,9.78
87,6.73,6.94,5.81,5.98,7.32
88,6.58,7.66,6.39,6.61,7.69
89,8.16,8.45,7.06,7.4,8.16
90,6.24,7.31,5.95,6.37,8.17
91,10.48,12.32,10.15,10.84,12.13
92,5.74,8.73,8.71,10.32,14.47
93,4.03,5.32,4.33,4.97,6.31
94,7.28,8.06,6.43,6.61,7.27
95,8.03,8.46,6.41,6.94,8.2
96,14.55,17.31,15.68,17.55,22.09
97,18.98,20.23,17.37,18.61,22.48
98,10.89,13.47,13.93,14.55,17.29
99,10.21,10.88,8.96,9.47,10.75
100,9.95,11.35,11.02,11.27,12.11
101,3.65,4.5,4.03,4.3,5.31
102,5.24,6.01,5.84,6.23,7.15
103,3.83,4.9,4.4,4.6,5.72
105,4.76,6.6,7.75,9.22,13.23
106,2.93,3.7,3.28,3.49,4.78
107,7.48,8.37,7.64,8.41,9.92
108,8.19,8.67,7.53,7.77,8.96
109,12.56,13.49,12.85,13.63,15.45
110,9.59,10.53,8.87,9.43,10.84
111,9.53,12.22,12.7,13.7,18.12
112,6.8,7.74,7.2,7.65,10.44
113,17.9,20.6,18.99,19.87,24.64
114,2.26,3.24,2.95,3.14,4.46
115,19.82,24.95,24.31,26.67,30.79
116,9.81,12.82,10.73,12.02,16.29
117,15.95,19.25,17.79,18.87,23.43
118,8.05,8.2,7.44,7.85,8.65
119,6.43,7.09,5.77,6.1,7.11
120,7.16,8.69,7.76,8.05,9.14
121,9.81,11.26,9.01,9.62,11.5
122,,,,,
123,17.99,18.62,16.78,17.08,18.8
124,9.07,11.46,11.51,11.73,13.5
125,13.63,15.97,16.24,17.07,19.47
126,0.8,1.79,2.56,2.89,4.97
127,9.36,10.48,9.05,9.53,11.94
128,7.6,10.46,9.37,9.74,10.97
129,15.61,16.03,14.53,14.89,16.06
130,11.78,12.57,10.32,10.82,13.2
131,10.59,11.41,9.45,9.88,11.79
132,3.36,3.65,3.17,3.18,3.8
133,6.86,7.09,6.13,6.42,7.26
134,4.17,4.87,4.22,4.6,5.83
135,4.62,4.92,4.54,4.77,5.94
136,10.65,12.02,10.95,11.8,14.18
137,6.54,7.89,6.97,7.53,9.22
138,2.93,3.48,2.92,3.05,3.73
139,8.3,9.11,8.07,8.4,9.77
140,13.4,14.96,12.87,13.37,16.07
141,3.5,3.96,3.17,3.21,4.23
142,11.84,13.75,13.3,14.42,16.46
143,10.08,10.74,9.68,9.83,10.73
144,8.15,8.87,7.81,8.81,11.64
145,8.43,8.84,6.8,7.18,8.58
