id,y_2013,y_2015
2,21.67,22.16
3,78.1,79.38
4,10.65,10.78
5,7.63,7.45
6,17.75,17.24
7,12.93,13.1
8,15.15,18.5
9,5.83,6.07
10,35.61,37.35
11,25.63,26.23
12,26.36,26.77
13,35.51,35.83
14,37.41,37.84
15,20.64,21.41
16,46.47,47.5
17,33.62,33.87
18,32.34,34.33
19,35.96,36.54
20,31.45,31.45
21,28.9,29.84
22,8.97,9.61
23,10.81,11.12
24,12.01,11.29
25,29.58,29.58
26,30.88,30.96
27,27.19,27.19
28,11.76,11.97
29,12.4,12.37
30,12.35,20.91
31,16.5,16.66
32,3.37,3.37
33,13.2,13.47
34,20.98,21.77
35,16.73,19
36,24.08,28.54
37,17.88,18.47
38,23.97,23.97
39,27.16,28.01
40,31.28,31.71
41,15.69,15.69
42,24.94,25.26
43,15.14,15.66
44,8.76,8.99
45,30.92,33.15
46,24.76,24.71
47,11.7,11.74
48,18.15,18.34
49,25.73,26.27
50,30.16,30.78
51,13.68,13.84
52,23.65,14.57
53,29.8,34.91
54,17.64,17.71
55,20.01,20.2
56,7.65,7.75
57,15.97,16.11
58,15.21,15.08
59,23.83,25.15
60,32.25,35.44
61,11.99,12
62,51.27,54.04
64,43.35,44.91
65,17.77,22.12
66,25.57,27.25
67,5.65,11.69
68,24.79,24.81
69,14.54,11.18
70,12.58,12.77
71,41.21,41.61
72,13.05,27.66
73,27.8,28.55
74,11.17,11.39
75,17.87,20.59
76,24.65,31.93
77,55.33,59.72
78,19.58,20.52
79,22.82,17.37
80,22.14,21.96
81,11.76,11.76
82,25.26,25.26
83,8.5,8.48
84,7.28,6.95
85,19.65,19.8
86,28.96,31.29
87,16.68,16.55
88,12.79,12.13
89,15.02,15.31
90,19.69,19.97
91,23.69,24.1
92,18.94,23.81
93,13.53,13.65
94,10.89,10.98
95,16.73,16.73
96,34.1,42.72
97,37.82,37.94
98,26.48,27.39
99,15.38,15.33
100,16.68,17.24
101,22.84,23.3
102,14.43,14.74
103,15.14,15.67
105,10.31,13.64
106,15.79,16.15
107,22.28,22.28
108,14.31,14.36
109,23.04,24.6
110,18.6,18.44
111,28.88,31.94
112,13.91,14.68
113,37.68,40.07
114,12.1,12.51
115,39.58,48.49
116,35.14,37.74
117,37.62,39.8
118,12.04,12.38
119,13.4,13.54
120,14.79,15.1
121,22.55,22.75
122,,
123,25.35,25.3
124,20.35,20.7
125,28.41,29.39
126,3.58,5.39
127,23.63,23.71
128,28.54,28.87
129,21.83,22.27
130,17.87,18.08
131,19.68,21.3
132,5.15,5.29
133,10.7,10.8
134,12.18,12.52
135,12.65,12.84
136,20.33,20.94
137,16.98,17.19
138,7.66,7.65
139,16.73,16.66
140,26.84,29.56
141,9.9,9.61
142,25.87,26.35
143,13.54,13.62
144,20.3,21.13
145,16.67,16.95
146,18.16,18.67
147,22.34,23.1
148,24.6,24.65
149,7.65,9.09
150,18.33,18.45
151,34.36,34.72
152,8.17,8.08
153,39.08,39.08
154,30.09,30.06
155,26.95,27.59
156,32.99,35.34
157,17.37,12.22
158,36.01,36.58
159,10.35,10.86
160,28.68,29.01
161,26.27,26.57
162,19.11,19.4
163,8.6,9.02
164,48.12,46.68
165,24.21,24.63
166,12.44,12.68
167,7.94,8.08
168,15.7,15.9
169,21.14,21.91
170,18.27,18.33
171,9.11,8.99
172,29.32,30.62
173,10.74,11.47
174,17.32,17.23
175,18.13,18.3
176,30.33,30.33
177,18.49,18.7
178,21.14,24.31
179,16.13,16.21
180,13,14.46
181,27.9,28.65
182,7.79,7.79
183,8.48,8.69
184,13.41,13.69
185,29.51,30.02
186,24.21,24.72
187,10.04,10.04
188,16.87,17.2
189,10.24,10.24
190,10.36,10.45
191,23.35,23.54
192,22.09,23.9
193,13.29,13.31
194,29.7,29.85
195,20.9,20.8
196,21.62,21.95
197,25.47,25.93
198,16.04,16.45
199,28.38,31.17
200,5.69,6.04
201,29.05,29.22
202,22.74,23.42
203,18.19,18.69
204,13.9,13.9
205,9.36,9.42
206,13.53,13.53
207,21.34,25.73
208,20.59,19.28
209,29.24,32.04
210,18.66,18.76
211,25.16,25.45
212,13.72,13.9
213,15.83,15.91
215,8.52,8.71
216,8.09,8.14
217,12.64,12.94
218,26.63,26.73
219,19.01,19.16
220,17.51,17.7
221,22.93,23
222,15.79,15.77
223,19.03,19.27
224,23.58,23.58
225,13.5,13.55
226,8.65,8.7
227,25.04,25.46
228,5.39,5.45
229,17.79,21.49
230,20.71,24.47
231,18.39,27.75
232,25.38,25.57
233,25.58,25.56
234,25.51,26.24
235,20.45,20.61
236,10.22,10.6
237,26.17,27.21
238,23.51,23.81
240,16.28,16.39
241,18.93,19.14
242,16.14,16.3
243,1.26,1.24
244,19.27,19.27
245,14.09,14.28
246,23.51,23.82
247,11.26,11.44
248,17.83,18.06
249,16.37,16.65
250,17.14,17.19
251,16.86,18.15
252,10.42,10.41
253,20.5,20.52
254,5.46,5.42
255,28.95,28.95
256,27.9,30.45
257,32.18,36.06
258,29.03,30.64
259,24.78,24.92
260,37.23,37.44
261,23.48,23.48
262,32.16,32.16
263,25.75,26.36
264,19.96,20.85
265,14.95,14.96
266,28.7,28.7
267,44,45.86
268,17.57,17.88
269,27.74,27.91
270,13.68,13.87
271,11.68,12.07
272,14.5,14.5
273,17.9,18.73
274,10.39,10.52
275,21.11,21.18
276,19.71,19.71
277,15.26,18.02
278,16,16.02
279,15.05,15.05
280,12.53,12.76
281,10.67,10.67
282,14.04,14.52
283,26.17,26.56
284,9.68,9.6
285,,
286,1.91,1.89
287,22.95,24.01
288,22.16,22.5
289,36.55,36.64
290,5.32,9.83
291,26.49,27.43
292,11.71,11.36
293,8.44,8.22
294,9.92,10.04
295,14.27,14.22
296,13.56,15.7
297,4.41,4.5
298,15.11,15.1
299,30.12,30.76
300,10.86,10.85
301,21.13,22.49
302,29.44,29.94
303,17.85,18.04
304,12.1,12.36
305,8.82,8.96
306,9.81,13.34
307,29.48,29.72
308,11.52,12.67
309,17.32,17.82
310,22.09,22.19
311,12.43,12.17
312,17.48,17.76
313,16.68,16.68
314,26.45,26.51
315,6.11,7.41
316,43.01,42.64
317,7.84,7.98
318,16.61,16.6
319,30.95,33.05
320,10.77,10.67
321,11.49,11.86
322,11.47,12.09
323,24.52,26.02
324,16.58,16.61
325,26.88,27.56
326,9.38,9.59
327,16.85,17.08
328,10.93,10.99
329,20.57,20.63
330,21.17,21.49
331,16.07,16.17
332,16.3,17.69
333,28.83,29.59
334,7.38,7.42
335,31.41,33.24
336,46.12,48.96
337,19.34,19.39
338,17.39,22.16
339,12.18,15.75
340,65.44,67.89
341,40.62,43.55
342,5.23,6.31
343,17.28,16.18
344,14.86,16.4
345,9.27,9.33
346,28.11,28.5
347,6.6,8.64
348,31.7,32
349,20.02,20.3
350,15.59,15.81
351,10.93,12.01
352,24.99,25.01
353,25.52,26.1
354,17.91,17.91
355,21.19,21.19
356,48.06,48.25
357,25.83,26.87
358,31.73,32.03
359,22.45,22.52
360,42.3,43.96
361,11.24,11.4
362,30.89,31.84
363,29.12,29.67
364,27.45,28.52
365,16.57,16.86
366,7.38,7.96
367,44.69,48.66
368,30.38,30.38
369,12.69,10.22
370,31.34,32.18
371,57.65,59.76
372,117.45,117.79
373,25,25.13
374,24.83,24.87
375,23.71,24.01
376,39.4,39.95
377,55.1,55.95
