ID,y_2011,y_2013,y_2015
2,2.039,2.167,2.216
3,6.563,7.81,7.938
4,1.002,1.065,1.078
5,0.603,0.763,0.745
6,1.638,1.775,1.724
7,1.193,1.293,1.31
8,1.761,1.515,1.85
9,0.538,0.583,0.607
10,3.355,3.561,3.735
11,2.357,2.563,2.623
12,2.496,2.636,2.677
13,3.348,3.551,3.583
14,3.669,3.741,3.784
15,2.01,2.064,2.141
16,4.587,4.647,4.75
17,3.047,3.362,3.387
18,2.968,3.234,3.433
19,3.48,3.596,3.654
20,2.975,3.145,3.145
21,2.622,2.89,2.984
22,0.736,0.897,0.961
23,1.1,1.081,1.112
24,1.129,1.201,1.129
25,2.829,2.958,2.958
26,2.98,3.088,3.096
27,2.656,2.719,2.719
28,0.946,1.176,1.197
29,1.172,1.24,1.237
30,1.204,1.235,2.091
31,1.599,1.65,1.666
32,0.317,0.337,0.337
33,1.259,1.32,1.347
34,1.787,2.098,2.177
35,1.657,1.673,1.9
36,2.268,2.408,2.854
37,1.696,1.788,1.847
38,2.319,2.397,2.397
39,2.494,2.716,2.801
40,2.868,3.128,3.171
41,1.442,1.569,1.569
42,2.331,2.494,2.526
43,1.41,1.514,1.566
44,0.819,0.876,0.899
45,2.617,3.092,3.315
46,2.238,2.476,2.471
47,1.002,1.17,1.174
48,1.761,1.815,1.834
49,2.405,2.573,2.627
50,2.823,3.016,3.078
51,1.211,1.368,1.384
52,2.017,2.365,1.457
53,2.727,2.98,3.491
54,1.587,1.764,1.771
55,1.937,2.001,2.02
56,0.694,0.765,0.775
57,1.071,1.597,1.611
58,1.324,1.521,1.508
59,2.388,2.383,2.515
60,3.334,3.225,3.544
61,1.156,1.199,1.2
62,2.808,5.127,5.404
64,3.827,4.335,4.491
65,1.638,1.777,2.212
66,2.587,2.557,2.725
67,0.551,0.565,1.169
68,2.667,2.479,2.481
69,1.181,1.454,1.118
70,1.249,1.258,1.277
71,3.265,4.121,4.161
72,1.278,1.305,2.766
73,2.854,2.78,2.855
74,1.089,1.117,1.139
75,1.639,1.787,2.059
76,1.935,2.465,3.193
77,4.224,5.533,5.972
78,1.679,1.958,2.052
79,1.546,2.282,1.737
80,2.05,2.214,2.196
81,1.128,1.176,1.176
82,1.768,2.526,2.526
83,1.495,0.85,0.848
84,0.628,0.728,0.695
85,1.791,1.965,1.98
86,2.297,2.896,3.129
87,1.554,1.668,1.655
88,1.182,1.279,1.213
89,1.456,1.502,1.531
90,1.776,1.969,1.997
91,2.25,2.369,2.41
92,1.495,1.894,2.381
93,1.236,1.353,1.365
94,1.035,1.089,1.098
95,1.597,1.673,1.673
96,3.232,3.41,4.272
97,3.551,3.782,3.794
98,2.394,2.648,2.739
99,1.468,1.538,1.533
100,1.813,1.668,1.724
101,1.819,2.284,2.33
102,1.337,1.443,1.474
103,1.346,1.514,1.567
105,0.847,1.031,1.364
106,1.256,1.579,1.615
107,1.985,2.228,2.228
108,,1.431,1.436
109,2.147,2.304,2.46
110,1.671,1.86,1.844
111,2.274,2.888,3.194
112,1.28,1.391,1.468
113,3.63,3.768,4.007
114,1.206,1.21,1.251
115,3.312,3.958,4.849
116,,,
117,3.308,3.762,3.98
118,,1.204,1.238
119,1.311,1.34,1.354
120,1.451,1.479,1.51
121,2.072,2.255,2.275
122,,,
123,2.443,2.535,2.53
124,1.809,2.035,2.07
125,2.935,2.841,2.939
126,0.013,0.358,0.539
127,2.613,2.363,2.371
128,2.503,2.854,2.887
129,2.184,2.183,2.227
130,1.535,1.787,1.808
131,1.806,1.968,2.13
132,0.458,0.515,0.529
133,0.983,1.07,1.08
134,0.794,1.218,1.252
135,1.248,1.265,1.284
136,1.848,2.033,2.094
137,1.839,1.698,1.719
138,0.704,0.766,0.765
139,1.475,1.673,1.666
140,2.557,2.684,2.956
141,0.881,0.99,0.961
142,2.366,2.587,2.635
143,1.323,1.354,1.362
144,,,
145,,,
146,1.701,1.816,1.867
147,2.024,2.234,2.31
148,2.146,2.46,2.465
149,0.643,0.765,0.909
150,1.758,1.833,1.845
151,3.227,3.436,3.472
152,0.742,0.817,0.808
153,3.753,3.908,3.908
154,2.92,3.009,3.006
155,2.383,2.695,2.759
156,2.958,3.299,3.534
157,1.531,1.737,1.222
158,3.368,3.601,3.658
159,0.909,1.035,1.086
160,2.707,2.868,2.901
161,2.548,2.627,2.657
162,1.822,1.911,1.94
163,0.818,0.86,0.902
164,3.664,4.812,4.668
165,1.991,2.421,2.463
166,0.946,1.244,1.268
167,0.765,0.794,0.808
168,1.43,1.57,1.59
169,1.972,2.114,2.191
170,1.722,1.827,1.833
171,0.853,0.911,0.899
172,2.538,2.932,3.062
173,0.952,1.074,1.147
174,1.584,1.732,1.723
175,1.741,1.813,1.83
176,2.961,3.033,3.033
177,1.979,1.849,1.87
178,1.824,2.114,2.431
179,1.581,1.613,1.621
180,1.22,1.3,1.446
181,2.516,2.79,2.865
182,0.737,0.779,0.779
183,0.805,0.848,0.869
184,1.263,1.341,1.369
185,2.748,2.951,3.002
186,2.356,2.421,2.472
187,0.959,1.004,1.004
188,1.494,1.687,1.72
189,0.956,1.024,1.024
190,0.915,1.036,1.045
191,2.273,2.335,2.354
192,1.82,2.209,2.39
193,1.209,1.329,1.331
194,,2.97,2.985
195,2.12,2.09,2.08
196,1.961,2.162,2.195
197,2.403,2.547,2.593
198,1.328,1.604,1.645
199,2.742,2.838,3.117
200,0.588,0.569,0.604
201,2.716,2.905,2.922
202,2.212,2.274,2.342
203,1.612,1.819,1.869
204,1.332,1.39,1.39
205,0.882,0.936,0.942
206,1.297,1.353,1.353
207,1.617,2.134,2.573
208,1.885,2.059,1.928
209,2.707,2.924,3.204
210,1.441,1.866,1.876
211,2.38,2.516,2.545
212,1.278,1.372,1.39
213,1.68,1.583,1.591
215,0.819,0.852,0.871
216,0.779,0.809,0.814
217,1.208,1.264,1.294
218,2.619,2.663,2.673
219,1.653,1.901,1.916
220,,,
221,2.138,2.293,2.3
