id,y_2014,y_2015,y_2016
2,0.38,0.41,0.4
3,1.1,1.14,1.34
4,0.23,0.22,0.26
5,0.24,0.36,0.45
6,0.68,0.62,0.79
7,0.2,0.18,0.11
8,0.22,0.29,0.27
9,0.05,0.05,0.1
10,0.96,0.91,0.99
11,0.7,0.92,0.93
12,0.89,0.93,1.1
13,0.66,0.73,0.8
14,0.97,1.07,0.95
15,0.36,0.37,0.39
16,1.49,1.57,2.04
17,1.06,1.27,1.34
18,0.77,0.75,0.85
19,0.75,0.73,0.66
20,0.72,0.7,0.89
21,1.09,1.16,1.38
22,0.13,0.09,0.08
23,0.49,0.52,0.66
24,0.25,0.37,0.36
25,1.16,1.08,1.11
26,0.73,0.71,0.78
27,1.18,1.1,1.33
28,0.32,0.32,0.29
29,0.19,0.25,0.23
30,0.72,0.66,0.8
31,0.53,0.46,0.56
32,0.05,0.06,
33,0.16,0.28,0.27
34,0.57,0.74,0.88
35,0.41,0.43,0.53
36,0.44,0.47,0.56
37,0.44,0.48,0.55
38,0.54,0.49,0.48
39,1.04,1.06,1.18
40,0.99,1.08,1.13
41,0.34,0.54,0.5
42,0.64,0.63,0.74
43,0.5,0.52,0.56
44,0.17,0.12,0.15
45,1.15,0.89,1.12
46,0.69,0.67,0.58
47,0.09,0.11,0.14
48,0.91,0.96,0.87
49,0.69,0.7,0.76
50,1.39,1.37,1.74
51,0.06,0.07,0.08
52,1.05,0.63,0.67
53,1.25,1.37,1.58
54,0.64,0.83,1.01
55,0.35,0.33,0.45
56,0.2,0.18,0.22
57,0.46,0.54,0.67
58,0.57,0.73,0.66
59,0.78,1.02,0.91
60,0.46,0.4,0.46
61,0.3,0.3,0.28
62,,,
64,0.53,0.54,0.69
65,0.14,0.23,0.27
66,0.17,0.14,0.25
67,0.06,,0.06
68,0.85,0.85,0.93
69,0.4,0.38,0.37
70,0.34,0.29,0.35
71,1.67,1.8,2.12
72,0.31,0.29,0.29
73,1.08,1.15,1.3
74,0.14,0.11,0.1
75,0.67,0.61,0.7
76,0.93,0.98,1.07
77,2.02,1.97,2.18
78,0.65,0.64,0.82
79,0.87,0.81,1.28
80,0.39,0.37,0.44
81,0.38,0.39,0.39
82,0.84,0.76,0.81
83,0.9,0.94,1.24
84,0.13,0.12,0.12
85,0.78,0.76,0.8
86,0.76,0.82,1.1
87,0.56,0.53,0.26
88,0.39,0.53,0.63
89,0.41,0.56,0.61
90,0.39,0.57,0.66
91,0.88,0.92,1.07
92,0.21,0.18,0.29
93,0.36,0.4,0.36
94,0.51,0.4,0.42
95,0.53,0.46,0.54
96,1,1.02,1.22
97,1.35,1.21,1.24
98,1.11,1.04,1.25
99,0.27,0.31,0.5
100,0.65,0.71,0.71
101,1.22,1.13,1.32
102,0.55,0.57,0.57
103,0.63,0.78,0.79
105,0.24,0.37,0.38
106,0.7,0.63,0.71
107,0.77,0.85,0.93
108,0.46,0.47,0.54
109,0.61,0.61,0.5
110,0.57,0.54,0.57
111,1.01,1.08,1.17
112,0.39,0.48,0.68
113,1.64,1.64,1.97
114,0.22,0.45,0.47
115,2.79,2.46,2.95
116,1.43,1.57,1.7
117,1.75,1.81,2.01
118,0.3,0.26,0.26
119,0.52,0.61,0.53
120,0.59,0.66,0.76
121,0.88,1.03,1.06
122,,,
123,0.75,0.84,0.8
124,0.46,0.58,0.63
125,1.09,1.39,1.29
126,0.18,0.21,0.17
127,0.79,0.74,1.03
128,1.11,1.09,1.17
129,0.63,0.6,0.65
130,0.36,0.27,0.37
131,0.62,0.51,0.6
132,0.06,0.06,0.06
133,0.21,0.26,0.31
134,0.41,0.45,0.43
135,0.32,0.28,0.47
136,0.45,0.49,0.62
137,0.88,1.32,1.37
138,0.29,0.36,0.37
139,0.44,0.54,0.57
140,0.94,1.09,0.93
141,0.31,0.33,0.34
142,0.8,0.72,0.84
143,0.41,0.42,0.37
144,0.96,0.76,1.1
145,0.96,0.94,0.92
146,0.53,0.54,0.8
147,0.7,0.8,0.86
148,0.76,0.79,1.01
149,0.19,0.21,0.25
150,0.89,0.93,0.92
151,1.95,1.7,1.82
152,0.32,0.36,0.35
153,1.39,1.16,1.28
154,0.97,0.83,0.82
155,0.9,0.88,0.94
156,1.59,1.48,1.86
157,0.67,0.51,0.74
158,1.59,1.63,1.89
159,0.42,0.44,0.51
160,1.2,1.23,1.25
161,0.86,0.9,0.96
162,0.82,0.72,0.81
163,0.2,0.24,0.22
164,1.52,1.56,2.13
165,0.97,0.99,1.14
166,0.42,0.36,0.3
167,0.28,0.24,0.3
168,0.41,0.38,0.4
169,1.11,1.21,1.4
170,0.86,0.83,1
171,0.29,0.29,0.29
172,1.74,1.72,2.09
173,0.49,0.43,0.48
174,0.61,0.63,0.72
175,0.52,0.38,0.43
176,1.19,1.03,1.39
177,0.35,0.35,0.43
178,0.22,0.21,0.22
179,0.42,0.44,0.42
180,0.6,0.55,0.73
181,0.45,0.43,0.55
182,0.26,0.28,0.31
183,0.36,0.4,0.36
184,0.29,0.26,0.26
185,0.78,0.7,0.91
186,0.83,0.96,1.16
187,0.41,0.39,0.36
188,0.59,0.56,0.74
189,0.33,0.22,0.45
190,0.44,0.38,0.47
191,0.83,0.86,0.88
192,0.68,0.86,0.84
193,0.51,0.49,0.4
194,1.23,1.14,1.19
195,0.95,0.8,0.74
196,0.84,0.8,0.87
197,0.98,0.96,0.96
198,0.36,0.45,0.44
199,1.25,1.39,1.63
200,0.27,0.35,0.43
201,0.71,0.57,0.58
202,1.03,1.13,1.43
203,0.49,0.63,0.71
204,0.45,0.42,0.5
205,0.24,0.36,0.42
206,0.52,0.54,0.66
207,0.14,0.11,0.13
208,0.64,0.57,0.52
209,0.86,0.93,1.29
210,0.14,0.16,0.21
211,1.1,1,1.09
212,0.49,0.63,0.7
213,0.38,0.43,0.39
215,0.13,0.12,0.16
216,0.15,0.09,0.21
217,0.34,0.36,0.29
218,0.6,0.64,0.68
219,0.21,0.22,0.21
220,0.57,0.63,0.66
221,0.54,0.46,0.54
222,0.17,0.2,0.21
223,0.56,0.53,0.69
224,0.63,0.71,0.65
225,0.39,0.37,0.46
226,0.16,0.13,0.14
227,0.93,0.96,1.04
228,0.31,0.26,0.25
229,1.01,1.01,1.57
230,0.31,0.4,0.48
231,0.81,0.91,0.84
232,1.25,0.96,0.91
233,0.71,0.66,0.74
234,1.74,1.99,2.09
235,0.61,0.65,0.64
236,0.11,0.14,0.19
237,0.98,1.02,1.26
238,1,0.83,1.03
240,0.17,0.22,0.28
241,0.37,0.36,0.4
242,0.66,0.6,0.74
243,,,
244,0.57,0.53,0.75
245,0.4,0.39,0.43
246,0.58,0.61,0.83
247,0.53,0.52,0.72
248,0.48,0.49,0.69
249,0.85,0.96,0.88
250,0.53,0.58,0.64
251,0.85,0.83,0.76
252,0.28,0.26,0.28
253,0.57,0.62,0.71
254,0.06,0.05,0.09
255,0.78,0.85,1.03
256,0.51,0.53,0.95
257,1.31,1.15,1.54
258,1.06,1.21,1.29
259,0.86,0.81,0.83
260,1.09,0.97,1.2
261,0.65,0.64,0.66
262,0.56,0.53,0.6
263,0.71,0.76,0.66
264,0.49,0.43,0.45
265,0.44,0.4,0.44
266,1.04,0.9,1.16
267,2.03,2.05,1.88
268,0.57,0.5,0.57
269,0.71,0.72,0.88
270,0.62,0.68,0.73
271,0.35,0.47,0.38
272,0.4,0.29,0.38
273,0.58,0.49,0.54
274,0.29,0.24,0.25
275,0.42,0.42,0.42
276,0.86,0.68,0.56
277,0.54,0.68,0.78
278,0.42,0.34,0.34
279,0.11,0.19,0.19
280,1.08,1.14,1.33
281,0.42,0.35,0.34
282,0.52,0.5,0.51
283,0.85,0.77,0.85
284,0.42,0.44,0.41
285,,,
286,0.24,0.3,0.38
287,0.87,0.89,0.83
288,0.42,0.32,0.29
289,1.56,1.59,1.81
290,0.32,0.41,0.28
291,0.86,1.08,1.26
292,0.42,0.47,0.67
293,0.28,0.38,0.49
294,0.38,0.38,0.32
295,0.42,0.43,0.51
296,0.37,0.49,0.61
297,0.12,0.11,0.06
298,0.24,0.28,0.29
299,0.89,0.84,0.97
300,0.12,0.1,0.22
301,0.77,0.72,0.82
302,0.95,1.08,1.1
303,0.34,0.32,0.36
304,0.42,0.36,0.43
305,0.27,0.25,0.38
306,0.4,0.59,0.52
307,1.05,1.01,1.2
308,0.7,0.76,0.8
309,0.67,0.68,0.75
310,1.07,1.04,1.21
311,0.3,0.35,0.39
312,0.74,0.65,0.73
313,0.78,0.7,0.76
314,1.15,1.19,1.58
315,0.06,0.08,0.09
316,1.46,1.52,1.9
317,0.43,0.3,0.36
318,0.24,0.25,0.24
319,1.11,1.15,1.2
320,0.42,0.37,0.46
321,0.34,0.33,0.46
322,0.41,0.46,0.51
323,1.15,1.09,1.06
324,0.26,0.23,0.29
325,0.67,0.63,0.86
326,0.29,0.2,0.32
327,0.83,1.01,0.98
328,0.32,0.24,0.4
329,0.74,0.75,0.72
330,0.84,0.78,0.92
331,0.26,0.33,0.29
332,0.51,0.5,0.56
333,1.05,1.14,1.41
334,0.06,0.05,0.09
335,0.98,0.92,1.03
336,1.25,1.19,1.31
337,0.45,0.45,0.55
338,0.26,0.35,0.41
339,,0.08,0.07
340,0.12,0.18,0.27
341,0.49,0.45,0.48
342,,,0.05
343,0.18,0.24,0.28
344,0.33,0.27,0.29
345,0.38,0.41,0.45
346,0.88,0.89,1.05
347,0.15,0.14,0.16
348,0.67,0.65,0.74
349,0.67,0.66,0.78
350,0.4,0.41,0.34
351,0.35,0.34,0.44
352,0.84,0.79,1.04
353,0.75,0.82,0.91
354,0.32,0.23,0.25
355,0.54,0.4,0.73
356,1.42,1.26,1.66
357,0.47,0.4,0.51
358,0.9,0.91,1.18
359,0.45,0.54,0.63
360,1.41,1.4,1.49
361,0.4,0.43,0.46
362,1.04,1.13,1.06
363,0.8,0.98,1.02
364,0.47,0.47,0.36
365,0.29,0.33,0.27
366,0.18,0.19,0.26
367,0.65,0.75,0.68
368,0.9,0.93,1.12
369,0.59,0.64,0.6
370,1.54,1.64,1.91
371,2.32,2.25,2.37
372,4.61,3.85,4.32
373,0.36,0.42,0.38
374,0.88,0.95,1.04
375,0.49,0.44,0.46
376,1.09,0.97,1.14
377,1.55,1.55,1.48
378,0.77,0.75,0.74
379,1.52,1.41,1.51
380,2.28,1.99,2.22
381,0.5,0.44,0.46
382,0.68,0.57,0.69
383,1.52,1.71,1.79
384,,,0.09
385,1.98,2.04,2.1
386,0.42,0.31,0.31
387,1,1.3,1.48
388,0.29,0.35,0.41
389,3.14,3.53,3.81
390,0.26,0.24,0.26
391,0.32,0.39,0.39
392,1.88,2.2,2.1
393,1.01,0.84,0.83
