id,y_2011,y_2013,y_2015,y_2016
2,6.6,6.6,6.6,6.61
3,32.93,33.04,33.53,33.63
4,3.99,4.04,4.09,4.09
5,1.83,1.83,1.84,1.79
6,6.03,6.01,6.01,6.05
7,4.23,4.26,4.29,4.27
8,7.31,7.39,7.45,7.51
9,2.61,2.61,2.58,2.61
10,10.78,10.72,10.72,10.74
11,9.4,9.48,9.59,10.55
12,7.21,7.21,7.21,7.21
13,6.33,6.31,6.48,6.51
14,8.75,8.74,8.74,8.73
15,8.25,8.25,8.34,8.38
16,14.37,14.33,14.34,14.34
17,8.52,8.52,8.52,8.49
18,7.79,7.7,7.83,7.74
19,16.55,16.59,16.62,16.62
20,11.47,11.46,11.46,11.46
21,3.31,3.8,3.84,3.88
22,2.32,2.32,2.55,2.59
23,2.59,2.59,2.59,2.59
24,3.17,3.16,3.14,3.14
25,11.12,11.11,11.12,11.18
26,10.65,10.67,10.69,10.68
27,9.01,9,9,9
28,5.1,5.14,5.27,5.16
29,5.66,5.66,5.65,5.65
30,0.8,0.8,0.8,0.8
31,6.71,6.72,6.7,6.7
32,2.2,2.2,2.2,2.2
33,0.26,0.41,0.42,0.42
34,7.89,8.09,8.13,8.24
35,6.8,7.53,7.99,8.9
36,10.3,10.51,10.61,10.62
37,5.06,5.04,5.08,5.13
38,8.41,8.42,8.41,8.41
39,9.29,9.38,9.49,9.61
40,8.55,8.55,8.55,8.63
41,7.74,7.74,7.73,7.73
42,10.96,10.96,10.96,10.96
43,4.09,4.19,4.22,4.23
44,1.39,1.47,1.61,1.65
45,9.86,11.1,11.42,11.8
46,4.12,4.11,4.11,4.11
47,0.23,0.21,0.21,0.2
48,6.21,6.16,6.13,6.08
49,9.08,9.11,9.2,9.32
50,5.03,5.03,5.04,5.04
51,5.61,5.6,5.55,5.56
52,1.7,1.67,1.66,1.66
53,8.12,8.15,8.16,8.15
54,5.62,5.62,5.59,5.59
55,8.01,8,8,8.02
56,2.64,2.64,2.69,2.69
57,2.7,2.7,2.7,2.7
58,2.57,2.57,2.57,2.56
59,5.81,5.81,5.8,5.8
60,3.42,3.41,3.4,3.4
61,2.75,2.75,2.76,2.76
62,,,,
64,11.53,11.55,11.55,11.55
65,0.07,0.07,0.07,0.06
66,2.34,2.34,2.34,2.34
67,0.14,0,0.14,0.14
68,7,7,7,6.99
69,3.7,3.71,3.72,3.7
70,5.18,5.18,5.16,5.16
71,2.47,2.56,2.64,2.64
72,5.61,5.6,5.59,5.59
73,10.27,10.44,10.65,10.93
74,6.12,6.12,6.12,6.12
75,6.71,7.4,7.95,7.95
76,7.88,9.73,11.05,11.54
77,10.59,11.38,11.82,11.82
78,5.74,6.32,6.48,6.55
79,,,,
80,4.01,4.15,4.03,4.03
81,4.54,4.54,4.54,4.54
82,6.86,6.86,6.86,7.17
83,2.93,2.95,2.92,2.91
84,2.75,2.74,2.66,2.41
85,5.58,5.54,5.53,5.52
86,2,1.67,1.91,1.91
87,3.61,3.57,3.56,3.55
88,4.29,4.23,4.23,4.2
89,5.41,5.41,5.42,5.41
90,3.37,3.37,3.37,3.37
91,6.96,6.95,6.95,6.95
92,3.2,3.2,3.27,3.41
93,,,,
94,3.55,3.55,3.55,3.54
95,3.54,3.54,3.54,3.54
