id,y_2017
2,24
3,1
4,0
5,38
6,28
7,5
8,7
9,9
10,3
11,4
12,3
13,3
14,2
15,32
16,4
17,23
18,4
19,20
20,6
21,6
22,3
23,42
24,13
25,14
26,2
27,6
28,7
29,9
30,15
31,5
32,0
33,5
34,3
35,3
36,5
37,2
38,6
39,29
40,3
41,7
42,4
43,10
44,0
45,15
46,21
47,0
48,2
49,12
50,33
51,24
52,11
53,2
54,27
55,33
56,39
57,9
58,6
59,22
60,9
61,13
62,7
64,32
65,4
66,8
67,10
68,5
69,6
70,52
71,3
72,3
73,18
74,3
75,8
76,6
77,2
78,3
79,28
80,8
81,9
82,2
83,10
84,0
85,7
86,1
87,10
88,7
89,36
90,17
91,3
92,2
93,0
94,9
95,4
96,2
97,6
98,40
99,46
100,9
101,2
102,4
103,14
105,6
106,7
107,3
108,58
109,2
110,8
111,3
112,11
113,27
114,16
115,16
116,5
117,14
118,8
119,21
120,14
121,10
122,
123,33
124,6
125,4
126,7
127,20
128,6
129,5
130,3
131,19
132,0
133,33
134,9
135,0
136,7
137,11
138,10
139,59
140,13
141,14
142,6
143,4
144,5
145,29
146,30
147,25
148,17
149,8
150,3
151,0
152,10
153,3
154,19
155,4
156,8
157,40
158,3
159,5
160,5
161,0
162,9
163,8
164,7
165,9
166,0
167,4
168,8
169,22
170,25
171,6
172,2
173,8
174,5
175,3
176,20
177,4
178,5
179,34
180,12
181,16
182,5
183,23
184,0
185,3
186,4
187,0
188,28
189,34
190,20
191,24
192,14
193,5
194,2
195,4
196,6
197,7
198,0
199,28
200,9
201,24
202,6
203,2
204,3
205,6
206,30
207,5
208,17
209,5
210,25
211,5
212,29
213,0
215,0
216,3
217,7
218,4
219,8
220,7
221,49
222,2
223,15
224,7
225,30
226,37
227,33
228,12
229,8
230,34
231,35
232,29
233,4
234,2
235,10
236,6
237,7
238,4
240,4
241,4
242,30
243,0
244,6
245,43
246,10
247,7
248,0
249,11
250,37
251,6
252,38
253,4
254,0
255,28
256,18
257,2
258,8
259,7
260,20
261,2
262,16
263,5
264,4
265,9
266,3
267,5
268,8
269,3
270,15
271,6
272,4
273,4
274,4
275,6
276,24
277,3
278,5
279,25
280,7
281,3
282,0
283,1
284,3
285,
286,7
287,2
288,24
289,3
290,17
291,6
292,9
293,14
294,6
295,3
296,15
297,0
298,30
299,5
300,9
301,4
302,3
303,29
304,6
305,14
306,15
307,6
308,4
309,57
310,0
311,11
312,12
313,42
314,41
315,0
316,7
317,18
318,25
319,10
320,0
321,13
322,7
323,4
324,6
325,5
326,37
327,9
328,10
329,40
330,4
331,7
332,23
333,4
334,0
335,4
336,3
337,22
338,7
339,0
340,3
341,3
342,13
343,2
344,23
345,64
346,9
347,19
348,7
349,13
350,27
351,28
352,3
353,2
354,27
355,1
356,20
357,18
358,25
359,0
360,4
361,10
362,4
363,28
364,3
365,12
366,4
367,2
368,3
369,15
370,5
371,3
372,1
373,3
374,5
375,31
376,3
377,21
378,1
379,2
380,18
381,3
382,5
383,2
384,5
385,5
386,6
387,7
388,25
389,2
390,1
391,10
392,1
393,4
394,4
395,2
396,3
397,29
398,51
399,6
400,15
401,2
402,0
403,3
404,15
405,4
406,5
407,0
408,4
409,8
410,22
411,26
412,0
413,3
416,5
417,4
418,2
419,2
420,3
421,5
422,23
423,18
424,7
425,35
426,2
428,5
430,2
431,12
432,9
433,32
434,3
435,72
436,8
437,1
438,2
442,2
443,2
444,23
445,4
446,3
447,0
448,14
449,32
450,4
451,19
452,11
453,32
454,7
455,4
456,45
457,4
458,9
459,4
460,5
462,24
463,8
464,13
465,4
466,6
467,16
468,4
469,24
470,8
471,1
472,43
473,25
474,7
475,39
