id,y_2012,y_2013,y_2014,y_2015,y_2016
Abercromby,True,,,1,
Abron Drive,,,True,1,1
Albright,True,True,True,1,1
Amberlynn Valley,,,,,
American Tobacco Campus,True,,True,1,1
American Village,True,True,True,1,1
Anderson St. / Wrightwood Park,True,True,True,1,1
Archer Woods,True,True,True,1,1
Arrowhead,True,True,True,1,1
Artisan at Brightleaf,,,,,
Ashley Forest,True,True,True,1,1
Ashton Hall,True,True,True,1,1
Auburn Hills,True,True,True,1,1
Auburn Park,,True,True,,1
Auburn Square,,,True,,1
Audubon Park,True,True,,1,1
Autumn Ridge,True,True,True,1,1
Bahama,,,,1,
Barclay to Sandlewood,True,True,True,1,1
Belcrest,True,,True,1,1
Bennet Place,,True,True,,1
Bent Creek / Woodberry Forest,True,True,True,1,1
Bluffs of the Eno,True,True,True,,
Bon Air Avenue,True,True,,1,1
Bradbury Glen,,,True,,
Bradbury Trace,,,,,1
Bragtown,True,True,True,1,1
Brandon Ridge,,True,,,
Brightleaf at the Park,True,True,True,1,1
Brightwood Trails,True,True,True,1,1
Brookstown,,True,,,
Buck Crossing,True,,True,,1
Burch Avenue,True,True,True,1,1
Cameron Woods,True,,True,1,1
Cardinal Lake,True,True,,1,1
Carillon Forest,True,True,True,1,1
Carolina Arbors,,True,True,1,1
Central Park,True,,True,1,1
Chancellor's Ridge,True,True,True,1,1
Chapel Hill Road,,True,True,,1
Chelsea Meadows,,True,True,1,
Cleveland-Holloway,True,True,True,1,1
Colchester,,,,,
Cole Mill Road,True,True,True,1,1
Coles Pond,,,True,1,
College View,True,True,True,1,1
Colonial Village,True,True,True,1,1
Colony Park,True,True,True,1,1
Colony Woods,,,,,
Colvard Farms,True,True,True,1,1
Copper Creek,,,,,
Country Club Heights,True,True,True,1,1
Cranford Road,True,True,True,1,
Crest Street,True,,True,1,
Croasdaile,True,True,True,1,1
Croasdaile Farm,True,True,True,1,1
Croasdaile Village,,,,,
Crooked Creek,True,True,True,1,1
Cross Timbers,,True,True,,1
Crown Point,True,,,,1
Darby Glen,,,,,
Deer Forest,,,True,1,1
Dixon Road Area,True,True,True,1,1
Downing Creek,True,True,True,1,1
Downtown,True,True,True,1,1
Duke East Campus,True,True,True,1,1.00
Duke Forest,True,True,True,1,1
Duke Homestead,True,True,True,1,1
Duke Manor Apartments,,True,True,,1
Duke Park,True,True,True,1,1
Duke West Campus,True,True,True,1,1
Eagle's Pointe,True,True,True,1,1
Eastway Village,,,,,
Eastwood Park,,,,,
Edgemont,True,True,True,1.00,1
Elm Grove,True,,,,
Emorywood Estates,True,True,True,1,1
Eno Commons,,,,,
Eno Trace,True,True,True,1,1
Everwood,True,True,True,,1
Fairfield,True,True,True,1,1
Falconbridge,True,True,True,1,1
Fieldstone by the Eno,True,True,True,1,1
Five Oaks,True,True,True,1,1
Five Oaks 4100,True,True,,1,1
Folkstone,True,,True,1,1
Forest Acres,True,,,1,1
Forest Hills,True,True,True,1,1
Forest Oaks,,,,,1
Fortune's Ridge,True,True,True,1,1
Fox Run,,True,,1,1
Franklin Village,True,,,,
Garret Farms - Porchlight / Hartley,,True,,1,
Gatewood Forest,,,,,1
Glennstone,True,True,True,1,1
Golden Belt,True,True,True,1,1
Grande Park,,,True,1,1
Green Mill,,True,,1,1
Grove Park,True,True,True,1,1
Heather Glen,True,True,True,1,1
Highgate,,,,,
Hillandale Commons,True,,True,,1
Holston Meadows,True,,,,
Homeplace I,,,,,
Homeplace II,,,,,
Hope Valley,True,True,True,1,1
Hope Valley Downs,True,True,True,,1
Hope Valley Farms,True,True,True,1,1
Hope Valley Farms North,True,True,True,1,1
Hope Valley Forest,True,True,True,1,1
Hope Valley Green,True,,True,,1
Hope Valley North,True,True,True,1,1
Horton Hills,True,True,True,,
Huckleberry Heights,True,True,,1,
Huntington Ridge,True,True,,1,1
Inverness Drive,True,True,,1,1
Knollwood,True,,True,1,1
Lake Park,True,True,True,1,1
Lakehurst,True,True,True,1,1
Lakewood Park,True,True,True,1,1
Landon Farms,True,,True,1,1
Latta Woods,,,True,,
Lattamoor,True,True,,1,1
Lochaven Hills,True,True,True,1,1
Lochn'ora,True,True,True,1,1
Lochside,True,,True,1,1
Long Meadow,True,True,True,1,1
Lyon Park,True,True,True,1,1
Marbry Landing,,True,True,1,
Mary Dell,True,True,True,1,1
Meadows of Pagehurst,,,True,1,
Merrick Moore,,True,,1,1
Milan Woods,True,True,True,1,1
Morehead Hill,True,True,True,1,1
Myers Park/Beechgrove,True,True,True,1,1
Nancy Rhodes Creek,True,True,True,1,1
Newhall Village,,,True,,
North Carolina Central University,True,,,,1
North Durham Community,True,True,True,1,1
Northeast Hills,True,True,True,1,1
Northgate Park,True,True,True,1,1
Oak Grove Community,True,True,,1,1
Oakhaven,,,,1,1
Oakhurst,True,True,,1,1
Old East Durham,True,True,True,1,1
Old Farm,True,True,True,1,1
Old Five Points,,,,1,1
Old North Durham,True,True,True,1,1
Old West Durham,True,True,True,1,1
Omah Street,True,True,True,1,1
Orchard Ridge,True,True,True,1,1
Orchid Court,True,,,,
Pagehurst,,,,,
Parc at University,,,,,
Park Ridge,,,,,
Parkside,,True,,1,1.00
Parkwood,True,True,True,1,1
Penrith,True,True,True,1,1
Pine Valley,True,True,True,1,1
Placid Valley,True,True,,1,
Pleasant Drive,,True,True,1,1
Preston Avenue,True,,,,
Preston Woods,True,True,True,1,1
Providence Ridge,True,,,1,1
Ravenstone,True,True,True,1,1
Ridgefield,True,True,True,,1
Rigsbee Hill,,True,True,,1
River Forest,,True,True,1,
River's Edge,,True,True,1,1
Rockwood,True,True,True,1,1
Rougemont,True,True,True,1,1
Rustica Oaks,,True,True,1,1
Scarsdale Village,True,True,True,1,1
Sheridan Drive,True,True,,1,1
Solterra,True,True,True,1,1
South Terrace at Auburn,,,,,
Southampton,True,True,True,1,1
Southpoint Manor,True,True,True,1,1
Southside / St. Teresa,True,True,True,1,1
Spring Valley,True,True,True,1,1
Stadium Heights,True,True,True,1,1
Stephen's Woods,True,True,,,1
Sterling Ridge,True,,True,1,1
Stillwood,,,True,,
Stirrup Creek,,True,True,,1
Stonehill Estates,True,True,True,1,1
Stratford Lakes,,,,,
Summer Meadow,True,True,,,
Sunningdale,True,,,1,1
Surrey Green,True,True,True,1,1
Swallows Ridge,,,,1,
Swann's Mill,True,True,True,,
Taylor Estates,,,,,
Thaxton,True,True,True,,
The Hills at Southpoint,True,True,True,1,1
The Landing at Southpoint,,,,,
Townes at Brier Creek Crossing,,,True,1,1
Treyburn,True,True,True,1,1
Trinity Commons,,,,,
Trinity Heights,True,True,True,1,1
Trinity Park,True,True,True,1,1
Trotter Ridge,True,True,True,1,1
Tuscaloosa-Lakewood,True,True,True,1,1
Urban 900,True,True,True,1,1
Valley Run,True,True,,,
Valleybrook,True,True,True,1,1
Vantage Pointe,True,True,True,1,1
Walden Pond,True,,True,,
Walltown,True,True,True,1,1
Warehouse District,True,True,True,1,1
Waterford,True,True,True,1,1
Watts Hospital-Hillandale,True,True,True,1,1
Welcome Circle,,True,True,1,1
Wellington Forest,True,True,True,1,1
Wellington Forest,True,True,True,1,1
Wellons Village,True,True,,1,1
West End,True,True,True,1,1
West Hills,True,True,True,1,1
West Murray / Broad,,True,,,1
Westgate Townes,True,,,,
Westwood Estates,True,True,True,1,1
Whitney Park,,,,,1
Willow Hill,True,True,True,,1
Willowhaven,True,True,True,1,1
Windsor Oaks,True,,True,1,1
Woodcroft,True,True,True,1,1
Woodlake,True,True,True,1,1
Woodstone at Croasdaile Farm,,,,,
Woodwinds,True,True,,,1
Wynstead,,,,1,
Wynterfield,True,True,,,
