id,y_2014,y_2016
Abercromby,110,110
Abron Drive,29,29
Albright,304,250
Amberlynn Valley,208,208
American Tobacco Campus,0,79
American Village,534,534
Anderson St. / Wrightwood Park,558,560
Archer Woods,106,106
Arrowhead,165,164
Artisan at Brightleaf,328,328
Ashley Forest,199,199
Ashton Hall,280,298
Auburn Hills,261,261
Auburn Park,91,101
Auburn Square,117,117
Audubon Park,317,317
Autumn Ridge,138,138
Bahama,40,41
Barclay to Sandlewood,206,206
Belcrest,52,52
Bennet Place,106,106
Bent Creek / Woodberry Forest,178,178
Bluffs of the Eno,40,40
Bon Air Avenue,34,34
Bradbury Glen,77,77
Bradbury Trace,171,171
Bragtown,128,123
Brandon Ridge,108,108
Brightleaf at the Park,507,616
Brightwood Trails,125,184
Brookstown,25,25
Buck Crossing,44,44
Burch Avenue,346,343
Cameron Woods,74,74
Cardinal Lake,338,341
Carillon Forest,163,163
Carolina Arbors,101,479
Central Park,11,4
Chancellor's Ridge,378,378
Chapel Hill Road,198,198
Chelsea Meadows,155,155
Cleveland-Holloway,516,496
Colchester,33,33
Cole Mill Road,150,150
Coles Pond,37,37
College View,1334,1334
Colonial Village,658,659
Colony Park,120,120
Colony Woods,174,174
Colvard Farms,10,15
Copper Creek,117,117
Country Club Heights,245,245
Cranford Road,27,27
Crest Street,133,131
Croasdaile,151,150
Croasdaile Farm,246,292
Croasdaile Village,140,542
Crooked Creek,843,843
Cross Timbers,69,69
Crown Point,144,141
Darby Glen,73,73
Deer Forest,52,53
Dixon Road Area,297,298
Downing Creek,409,410
Downtown,92,260
Duke East Campus,1,1
Duke Forest,416,417
Duke Homestead,245,241
Duke Manor Apartments,1030,1030
Duke Park,934,900
Duke West Campus,967,953
Eagle's Pointe,163,167
Eastway Village,48,48
Eastwood Park,46,46
Edgemont,568,577
Elm Grove,242,242
Emorywood Estates,189,189
Eno Commons,22,22
Eno Trace,307,307
Everwood,52,58
Fairfield,467,494
Falconbridge,563,561
Fieldstone by the Eno,295,294
Five Oaks,207,206
Five Oaks 4100,100,100
Folkstone,48,48
Forest Acres,43,43
Forest Hills,478,479
Forest Oaks,135,135
Fortune's Ridge,225,225
Fox Run,68,67
Franklin Village,84,84
Garret Farms - Porchlight / Hartley,21,21
Gatewood Forest,118,118
Glennstone,163,201
Golden Belt,119,117
Grande Park,88,88
Green Mill,28,28
Grove Park,1197,1191
Heather Glen,184,184
Highgate,263,263
Hillandale Commons,50,50
Holston Meadows,54,54
Homeplace I,68,68
Homeplace II,142,142
Hope Valley,1211,1214
Hope Valley Downs,60,63
Hope Valley Farms,586,588
Hope Valley Farms North,543,543
Hope Valley Forest,278,279
Hope Valley Green,76,76
Hope Valley North,160,160
Horton Hills,199,199
Huckleberry Heights,159,160
Huntington Ridge,68,68
Inverness Drive,68,67
Knollwood,54,54
Lake Park,77,77
Lakehurst,227,227
Lakewood Park,485,477
Landon Farms,286,296
Latta Woods,60,60
Lattamoor,93,93
Lochaven Hills,160,159
Lochn'ora,185,182
Lochside,202,203
Long Meadow,310,320
Lyon Park,326,317
Marbry Landing,159,159
Mary Dell,151,151
Meadows of Pagehurst,235,235
Merrick Moore,98,94
Milan Woods,243,243
Morehead Hill,747,740
Myers Park/Beechgrove,212,213
Nancy Rhodes Creek,137,131
Newhall Village,37,37
North Carolina Central University,8,7
North Durham Community,270,270
Northeast Hills,338,332
Northgate Park,1049,1050
Oak Grove Community,106,104
Oakhaven,44,44
Oakhurst,59,59
Old East Durham,961,940
Old Farm,750,712
Old Five Points,69,81
Old North Durham,1104,1069
Old West Durham,1762,1739
Omah Street,1339,1327
Orchard Ridge,78,86
Orchid Court,7,7
Pagehurst,57,57
Parc at University,186,186
Park Ridge,308,308
Parkside,88,88
Parkwood,1091,1090
Penrith,1005,1004
Pine Valley,269,269
Placid Valley,83,83
Pleasant Drive,291,247
Preston Avenue,31,29
Preston Woods,118,118
Providence Ridge,53,53
Ravenstone,326,327
Ridgefield,395,400
Rigsbee Hill,66,60
River Forest,155,155
River's Edge,46,50
Rockwood,359,358
Rougemont,140,141
Rustica Oaks,12,117
Scarsdale Village,1140,1137
Sheridan Drive,30,30
Solterra,38,39
South Terrace at Auburn,328,328
Southampton,56,56
Southpoint Manor,111,111
Southside / St. Teresa,519,529
Spring Valley,312,312
Stadium Heights,487,479
Stephen's Woods,118,118
Sterling Ridge,31,31
Stillwood,86,86
Stirrup Creek,107,107
Stonehill Estates,413,413
Stratford Lakes,172,172
Summer Meadow,322,322
Sunningdale,86,86
Surrey Green,77,77
Swallows Ridge,19,19
Swann's Mill,400,400
Taylor Estates,160,160
Thaxton,137,137
The Hills at Southpoint,148,164
The Landing at Southpoint,68,68
Townes at Brier Creek Crossing,,78
Treyburn,708,728
Trinity Commons,342,342
Trinity Heights,143,116
Trinity Park,1407,1283
Trotter Ridge,148,148
Tuscaloosa-Lakewood,952,968
Urban 900,23,20
Valley Run,119,121
Valleybrook,167,167
Vantage Pointe,180,180
Walden Pond,217,217
Walltown,1001,982
Warehouse District,382,383
Waterford,137,137
Watts Hospital-Hillandale,1093,1091
Welcome Circle,35,35
Wellington Forest,332,332
Wellington Forest,332,332
Wellons Village,175,171
West End,665,661
West Hills,151,151
West Murray / Broad,41,40
Westgate Townes,60,60
Westwood Estates,209,209
Whitney Park,26,26
Willow Hill,136,136
Willowhaven,310,310
Windsor Oaks,126,126
Woodcroft,1402,1402
Woodlake,759,760
Woodstone at Croasdaile Farm,662,120
Woodwinds,96,96
Wynstead,69,69
Wynterfield,584,584
