id,y_2013,y_2014,y_2015,y_2016
Abercromby,True,True,True,True
Abron Drive,True,True,True,True
Albright,True,True,True,True
Amberlynn Valley,True,True,True,True
American Tobacco Campus,True,True,True,True
American Village,True,True,True,True
Anderson St. / Wrightwood Park,True,True,True,True
Archer Woods,True,True,True,True
Arrowhead,True,True,True,True
Artisan at Brightleaf,True,True,True,True
Ashley Forest,True,True,True,True
Ashton Hall,True,True,True,True
Auburn Hills,True,True,True,True
Auburn Park,True,True,True,True
Auburn Square,True,True,True,True
Audubon Park,True,True,True,True
Autumn Ridge,True,True,True,True
Bahama,True,True,True,True
Barclay to Sandlewood,True,True,True,True
Belcrest,True,True,True,True
Bennet Place,True,True,True,True
Bent Creek / Woodberry Forest,True,True,True,True
Bluffs of the Eno,True,True,True,True
Bon Air Avenue,True,True,True,True
Bradbury Glen,True,True,True,True
Bradbury Trace,True,True,True,True
Bragtown,True,True,True,True
Brandon Ridge,True,True,True,True
Brightleaf at the Park,True,True,True,True
Brightwood Trails,True,True,True,True
Brookstown,True,True,True,True
Buck Crossing,True,True,True,True
Burch Avenue,True,True,True,True
Cameron Woods,True,True,True,True
Cardinal Lake,True,True,True,True
Carillon Forest,True,True,True,True
Carolina Arbors,True,True,True,True
Central Park,True,True,True,True
Chancellor's Ridge,True,True,True,True
Chapel Hill Road,True,True,True,True
Chelsea Meadows,True,True,True,True
Cleveland-Holloway,True,True,True,True
Colchester,True,True,True,True
Cole Mill Road,True,True,True,True
Coles Pond,True,True,True,True
College View,True,True,True,True
Colonial Village,True,True,True,True
Colony Park,True,True,True,True
Colony Woods,True,True,True,True
Colvard Farms,True,True,True,True
Copper Creek,True,True,True,True
Country Club Heights,True,True,True,True
Cranford Road,True,True,True,True
Crest Street,True,True,True,True
Croasdaile,True,True,True,True
Croasdaile Farm,True,True,True,True
Croasdaile Village,,True,True,True
Crooked Creek,True,True,True,True
Cross Timbers,True,True,True,True
Crown Point,True,True,True,True
Darby Glen,True,True,True,True
Deer Forest,True,True,True,True
Dixon Road Area,True,True,True,True
Downing Creek,True,True,True,True
Downtown,True,True,True,True
Duke East Campus,True,True,True,True
Duke Forest,True,True,True,True
Duke Homestead,True,True,True,True
Duke Manor Apartments,True,True,True,True
Duke Park,True,True,True,True
Duke West Campus,True,True,True,True
Eagle's Pointe,True,True,True,True
Eastway Village,True,True,True,True
Eastwood Park,True,True,True,True
Edgemont,True,True,True,True
Elm Grove,True,True,True,True
Emorywood Estates,True,True,True,True
Eno Commons,True,True,True,True
Eno Trace,True,True,True,True
Everwood,True,True,True,True
Fairfield,True,True,True,True
Falconbridge,True,True,True,True
Fieldstone by the Eno,True,True,True,True
