id,y_2013,y_2014,y_2015,y_2016
Abercromby,110,110,110,110
Abron Drive,29,29,29,29
Albright,287,304,308,250
Amberlynn Valley,208,208,208,208
American Tobacco Campus,0,0,95,0
American Village,534,534,534,534
Anderson St. / Wrightwood Park,546,558,566,560
Archer Woods,108,106,106,106
Arrowhead,165,166,170,167
Artisan at Brightleaf,328,328,328,328
Ashley Forest,199,199,199,199
Ashton Hall,213,280,291,298
Auburn Hills,261,261,261,261
Auburn Park,87,91,92,101
Auburn Square,117,117,117,117
Audubon Park,317,317,317,317
Autumn Ridge,138,138,138,138
Bahama,40,40,40,41
Barclay to Sandlewood,205,206,206,206
Belcrest,52,52,52,52
Bennet Place,106,106,106,106
Bent Creek / Woodberry Forest,160,178,178,178
Bluffs of the Eno,40,40,40,40
Bon Air Avenue,34,34,34,34
Bradbury Glen,77,77,77,77
Bradbury Trace,171,171,171,171
Bragtown,132,128,128,123
Brandon Ridge,108,108,108,108
Brightleaf at the Park,444,507,573,616
Brightwood Trails,104,125,163,184
Brookstown,25,25,25,25
Buck Crossing,44,44,44,44
Burch Avenue,344,346,351,343
Cameron Woods,74,74,74,74
Cardinal Lake,317,338,341,341
Carillon Forest,163,163,163,163
Carolina Arbors,2,101,302,479
Central Park,3,11,11,4
Chancellor's Ridge,378,378,378,378
Chapel Hill Road,192,198,198,198
Chelsea Meadows,154,155,155,155
Cleveland-Holloway,513,516,541,496
Colchester,33,33,33,33
Cole Mill Road,147,150,146,151
Coles Pond,37,37,37,37
College View,1336,1334,1363,1334
Colonial Village,649,658,652,659
Colony Park,120,120,120,120
Colony Woods,174,174,185,185
Colvard Farms,7,10,14,15
Copper Creek,117,117,117,117
Country Club Heights,245,245,245,245
Cranford Road,26,27,27,27
Crest Street,133,133,155,131
Croasdaile,151,151,151,150
Croasdaile Farm,235,246,281,292
Croasdaile Village,0,140,542,542
Crooked Creek,843,843,843,843
Cross Timbers,69,69,69,69
Crown Point,141,144,144,141
Darby Glen,73,73,73,73
Deer Forest,51,52,52,53
Dixon Road Area,298,297,297,298
Downing Creek,409,409,410,410
Downtown,56,92,300,260
Duke East Campus,1,1,1,1
Duke Forest,418,416,420,417
Duke Homestead,242,245,241,241
Duke Manor Apartments,904,1030,1030,1030
Duke Park,938,934,962,900
Duke West Campus,643,967,972,953
Eagle's Pointe,161,163,166,167
Eastway Village,48,48,48,48
Eastwood Park,46,46,46,46
Edgemont,607,568,591,577
Elm Grove,242,242,242,242
Emorywood Estates,189,189,189,189
Eno Commons,22,22,22,22
Eno Trace,307,307,307,307
Everwood,31,52,58,58
Fairfield,437,467,479,494
Falconbridge,450,563,453,561
Fieldstone by the Eno,294,295,295,294
Five Oaks,207,207,207,206
Five Oaks 4100,100,100,100,100
Folkstone,48,48,48,48
Forest Acres,43,43,43,43
Forest Hills,475,478,480,479
Forest Oaks,136,135,135,135
Fortune's Ridge,225,225,225,225
Fox Run,76,76,72,71
Franklin Village,84,84,84,84
Garret Farms - Porchlight / Hartley,21,21,21,21
Gatewood Forest,117,118,118,118
Glennstone,155,163,188,201
Golden Belt,87,119,120,117
Grande Park,88,88,88,88
Green Mill,28,28,28,28
Grove Park,1147,1197,1192,1191
Heather Glen,181,184,184,184
Highgate,263,263,263,263
