id,y_2016
Abercromby,100
Abron Drive,100
Albright,100
Amberlynn Valley,100
American Tobacco Campus,100
American Village,100
Anderson St. / Wrightwood Park,100
Archer Woods,100
Arrowhead,100
Artisan at Brightleaf,100
Ashley Forest,100
Ashton Hall,100
Auburn Hills,100
Auburn Park,100
Auburn Square,100
Audubon Park,100
Autumn Ridge,100
Bahama,100
Barclay to Sandlewood,100
Belcrest,100
Bennet Place,100
Bent Creek / Woodberry Forest,100
Bluffs of the Eno,100
Bon Air Avenue,100
Bradbury Glen,100
Bradbury Trace,100
Bragtown,100
Brandon Ridge,100
Brightleaf at the Park,100
Brightwood Trails,100
Brookstown,100
Buck Crossing,100
Burch Avenue,100
Cameron Woods,100
Cardinal Lake,100
Carillon Forest,100
Carolina Arbors,100
Central Park,100
Chancellor's Ridge,100
Chapel Hill Road,100
Chelsea Meadows,100
Cleveland-Holloway,100
Colchester,100
Cole Mill Road,100
Coles Pond,100
College View,100
Colonial Village,100
Colony Park,100
Colony Woods,100
Colvard Farms,100
Copper Creek,100
Country Club Heights,100
Cranford Road,100
Crest Street,100
Croasdaile,100
Croasdaile Farm,100
Croasdaile Village,100
Crooked Creek,100
Cross Timbers,100
Crown Point,100
Darby Glen,100
Deer Forest,100
Dixon Road Area,100
Downing Creek,100
Downtown,100
Duke East Campus,100
Duke Forest,100
Duke Homestead,100
Duke Manor Apartments,100
Duke Park,100
Duke West Campus,100
Eagle's Pointe,100
Eastway Village,100
Eastwood Park,100
Edgemont,100
Elm Grove,100
Emorywood Estates,100
Eno Commons,100
Eno Trace,100
Everwood,100
Fairfield,100
Falconbridge,100
Fieldstone by the Eno,100
Five Oaks,100
Five Oaks 4100,100
Folkstone,100
Forest Acres,100
Forest Hills,100
Forest Oaks,100
Fortune's Ridge,100
Fox Run,100
Franklin Village,100
Garret Farms - Porchlight / Hartley,100
Gatewood Forest,100
Glennstone,100
Golden Belt,100
Grande Park,100
Green Mill,100
Grove Park,100
Heather Glen,100
Highgate,100
Hillandale Commons,100
Holston Meadows,100
Homeplace I,100
Homeplace II,100
Hope Valley,100
Hope Valley Downs,100
Hope Valley Farms,100
Hope Valley Farms North,100
Hope Valley Forest,100
Hope Valley Green,100
Hope Valley North,100
Horton Hills,100
Huckleberry Heights,100
Huntington Ridge,100
Inverness Drive,100
Knollwood,100
Lake Park,100
Lakehurst,100
Lakewood Park,100
Landon Farms,100
Latta Woods,100
Lattamoor,100
Lochaven Hills,100
Lochn'ora,100
Lochside,100
Long Meadow,100
Lyon Park,100
Marbry Landing,100
Mary Dell,100
Meadows of Pagehurst,100
Merrick Moore,100
Milan Woods,100
Morehead Hill,100
Myers Park/Beechgrove,100
Nancy Rhodes Creek,100
Newhall Village,100
North Carolina Central University,100
North Durham Community,100
Northeast Hills,100
Northgate Park,100
Oak Grove Community,100
Oakhaven,100
Oakhurst,100
Old East Durham,100
Old Farm,100
Old Five Points,100
Old North Durham,100
Old West Durham,100
Omah Street,100
Orchard Ridge,100
Orchid Court,100
Pagehurst,100
Parc at University,100
Park Ridge,100
Parkside,100
Parkwood,100
Penrith,100
Pine Valley,100
Placid Valley,100
Pleasant Drive,100
Preston Avenue,100
Preston Woods,100
Providence Ridge,100
Ravenstone,100
Ridgefield,100
Rigsbee Hill,100
River Forest,100
River's Edge,100
Rockwood,100
Rougemont,100
Rustica Oaks,100
Scarsdale Village,100
Sheridan Drive,100
Solterra,100
South Terrace at Auburn,100
Southampton,100
Southpoint Manor,100
Southside / St. Teresa,100
Spring Valley,100
Stadium Heights,100
Stephen's Woods,100
Sterling Ridge,100
Stillwood,100
Stirrup Creek,100
Stonehill Estates,100
Stratford Lakes,100
Summer Meadow,100
Sunningdale,100
Surrey Green,100
Swallows Ridge,100
Swann's Mill,100
Taylor Estates,100
Thaxton,100
The Hills at Southpoint,100
The Landing at Southpoint,
Townes at Brier Creek Crossing,100
Treyburn,100
Trinity Commons,100
Trinity Heights,100
Trinity Park,100
Trotter Ridge,100
Tuscaloosa-Lakewood,100
Urban 900,100
Valley Run,100
Valleybrook,100
Vantage Pointe,100
Walden Pond,100
Walltown,100
Warehouse District,100
Waterford,100
Watts Hospital-Hillandale,100
Welcome Circle,100
Wellington Forest,100
Wellington Forest,100
Wellons Village,100
West End,100
West Hills,100
West Murray / Broad,100
Westgate Townes,100
Westwood Estates,100
Whitney Park,100
Willow Hill,100
Willowhaven,100
Windsor Oaks,100
Woodcroft,100
Woodlake,100
Woodstone at Croasdaile Farm,100
Woodwinds,100
Wynstead,100
Wynterfield,100
