id,y_2013,y_2014,y_2015,y_2016
Abercromby,5102,5102,5103,5110
Abron Drive,26,26,26,27
Albright,19889,19889,19889,19897
Amberlynn Valley,1835,1835,1835,1805
American Tobacco Campus,8827,8781,8781,8784
American Village,35651,35651,35651,35669
Anderson St. / Wrightwood Park,47963,48086,47813,47760
Archer Woods,8599,8599,8612,8612
Arrowhead,6171,6171,6171,6234
Artisan at Brightleaf,,1872,2466,2466
Ashley Forest,13305,13305,13812,13791
Ashton Hall,17413,17413,18432,18426
Auburn Hills,13838,13838,13024,13029
Auburn Park,6459,6459,7656,7656
Auburn Square,9006,9006,12027,12027
Audubon Park,15395,15395,15395,15406
Autumn Ridge,9256,9256,9256,9255
Bahama,,,,
Barclay to Sandlewood,,,,
Belcrest,2435,2435,2435,2435
Bennet Place,12799,12799,12801,12801
Bent Creek / Woodberry Forest,14725,14725,14735,14125
Bluffs of the Eno,2301,2301,2301,2301
Bon Air Avenue,3475,3475,3475,3468
Bradbury Glen,4529,4529,4529,4529
Bradbury Trace,12004,12004,12002,12002
Bragtown,37027,37027,37037,36600
Brandon Ridge,1256,1256,1256,1256
Brightleaf at the Park,42864,45059,46544,46525
Brightwood Trails,9612,9612,9604,9307
Brookstown,1933,1933,1933,1933
Buck Crossing,3665,3665,3665,3665
Burch Avenue,16635,16635,16638,16646
Cameron Woods,5787,6568,6862,6879
Cardinal Lake,17466,17466,17972,17972
Carillon Forest,14559,14559,14567,14571
Carolina Arbors,16312,28159,36575,36569
Central Park,19447,19445,19184,19172
Chancellor's Ridge,25505,25505,25499,25176
Chapel Hill Road,5125,5125,5125,5123
Chelsea Meadows,8962,8962,8962,8963
Cleveland-Holloway,44432,44441,44439,44438
Colchester,245,245,245,245
Cole Mill Road,44057,44057,44072,44075
Coles Pond,2334,2334,2358,2358
College View,70963,70963,70965,70945
Colonial Village,37263,37263,37264,37197
Colony Park,13053,12399,12399,12399
Colony Woods,,,,
Colvard Farms,,,,
Copper Creek,6272,6272,6276,6277
Country Club Heights,11774,11774,11774,11785
Cranford Road,3726,3726,3725,3715
Crest Street,6030,6030,6030,6023
Croasdaile,32789,32789,32791,32791
Croasdaile Farm,55149,56523,56520,56539
Croasdaile Village,19639,19639,19639,19638
Crooked Creek,25389,25389,25423,25423
Cross Timbers,3622,3622,3622,3623
Crown Point,9232,9232,9232,9214
Darby Glen,2199,2199,2232,2233
Deer Forest,,,,
Dixon Road Area,31362,31362,31372,31372
Downing Creek,17497,17497,17497,17508
Downtown,52334,52610,52612,51796
Duke East Campus,22660,22163,22172,22834
Duke Forest,51046,51046,51042,51041
Duke Homestead,23813,23819,23824,23825
Duke Manor Apartments,2951,2951,2951,2951
Duke Park,53297,53297,53274,53253
Duke West Campus,101651,101416,101368,102756
Eagle's Pointe,11603,11603,11603,11615
Eastway Village,1222,1222,1222,1222
Eastwood Park,10602,10602,10602,10603
Edgemont,36824,36824,37274,37294
Elm Grove,4489,4489,4489,4491
Emorywood Estates,19653,19653,19657,19657
Eno Commons,811,811,811,811
Eno Trace,13248,13248,13243,13243
Everwood,2827,2827,2827,2827
Fairfield,2813,3753,4750,5864
Falconbridge,35474,35474,35480,35419
Fieldstone by the Eno,23906,23906,23906,23176
Five Oaks,13774,13774,13770,13773
Five Oaks 4100,1767,1767,1763,1763
Folkstone,3907,3907,3907,3906
Forest Acres,3887,3887,3884,3884
Forest Hills,61499,61499,61445,60245
Forest Oaks,3239,3239,3239,3238
Fortune's Ridge,11774,11774,11780,11779
Fox Run,,,,
Franklin Village,7014,7014,7014,7009
Garret Farms - Porchlight / Hartley,1067,1067,1067,1067
Gatewood Forest,5340,5340,5344,6493
Glennstone,9006,9006,9019,9018
Golden Belt,11346,11346,11346,11356
Grande Park,5221,5221,5223,5227
Green Mill,3647,3647,3647,3646
