id,y_2012,y_2013,y_2014,y_2015,y_2016
Abercromby,0.034306622,0.034306622,0.034306622,0.034306622,0.034306622
Abron Drive,0.033895001,0.033895001,0.033895001,0.033895001,0.033895001
Albright,0.155250222,0.155250222,0.155250222,0.155250222,0.155250222
Amberlynn Valley,0.039278954,0.039278954,0.039278954,0.039278954,0.039278954
American Tobacco Campus,0.070472353,0.070472353,0.070472353,0.070472353,0.070472353
American Village,0.450785105,0.450785105,0.450785105,0.450785105,0.450785105
Anderson St. / Wrightwood Park,0.558266807,0.558266807,0.558266807,0.558266807,0.558266807
Archer Woods,0.118863937,0.118863937,0.118863937,0.118863937,0.118863937
Arrowhead,1.282108336,1.282108336,1.282108336,1.282108336,1.282108336
Artisan at Brightleaf,0.040422845,0.040422845,0.040422845,0.040422845,0.040422845
Ashley Forest,0.120667174,0.120667174,0.120667174,0.120667174,0.120667174
Ashton Hall,0.153331746,0.153331746,0.153331746,0.153331746,0.153331746
Auburn Hills,0.124069034,0.124069034,0.124069034,0.124069034,0.124069034
Auburn Park,0.024866688,0.024866688,0.024866688,0.024866688,0.024866688
Auburn Square,0.027551511,0.027551511,0.027551511,0.027551511,0.027551511
Audubon Park,0.178191099,0.178191099,0.178191099,0.178191099,0.178191099
Autumn Ridge,0.079199836,0.079199836,0.079199836,0.079199836,0.079199836
Bahama,0.16955875,0.16955875,0.16955875,0.16955875,0.16955875
Barclay to Sandlewood,0.346525971,0.346525971,0.346525971,0.346525971,0.346525971
Belcrest,0.02771327,0.02771327,0.02771327,0.02771327,0.02771327
Bennet Place,0.118192004,0.118192004,0.118192004,0.118192004,0.118192004
Bent Creek / Woodberry Forest,0.227363083,0.227363083,0.227363083,0.227363083,0.227363083
Bluffs of the Eno,0.017271232,0.017271232,0.017271232,0.017271232,0.017271232
Bon Air Avenue,0.019472864,0.019472864,0.019472864,0.019472864,0.019472864
Bradbury Glen,0.069665674,0.069665674,0.069665674,0.069665674,0.069665674
Bradbury Trace,0.055863717,0.055863717,0.055863717,0.055863717,0.055863717
Bragtown,0.221403955,0.221403955,0.221403955,0.221403955,0.221403955
Brandon Ridge,0.016714287,0.016714287,0.016714287,0.016714287,0.016714287
Brightleaf at the Park,0.534422384,0.534422384,0.534422384,0.534422384,0.534422384
Brightwood Trails,0.089603462,0.089603462,0.089603462,0.089603462,0.089603462
Brookstown,0.007555613,0.007555613,0.007555613,0.007555613,0.007555613
Buck Crossing,0.030188819,0.030188819,0.030188819,0.030188819,0.030188819
Burch Avenue,0.15333367,0.15333367,0.15333367,0.15333367,0.15333367
Cameron Woods,0.04816993,0.04816993,0.04816993,0.04816993,0.04816993
Cardinal Lake,0.207763069,0.207763069,0.207763069,0.207763069,0.207763069
Carillon Forest,0.145270959,0.145270959,0.145270959,0.145270959,0.145270959
Carolina Arbors,0.344956135,0.344956135,0.344956135,0.344956135,0.344956135
Central Park,0.109206012,0.109206012,0.109206012,0.109206012,0.109206012
Chancellor's Ridge,0.353936406,0.353936406,0.353936406,0.353936406,0.353936406
Chapel Hill Road,0.061436663,0.061436663,0.061436663,0.061436663,0.061436663
Chelsea Meadows,0.10870514,0.10870514,0.10870514,0.10870514,0.10870514
Cleveland-Holloway,0.258460884,0.258460884,0.258460884,0.258460884,0.258460884
Colchester,0.010166341,0.010166341,0.010166341,0.010166341,0.010166341
Cole Mill Road,0.216730396,0.216730396,0.216730396,0.216730396,0.216730396
Coles Pond,0.040814218,0.040814218,0.040814218,0.040814218,0.040814218
College View,0.576868733,0.576868733,0.576868733,0.576868733,0.576868733
Colonial Village,0.344966686,0.344966686,0.344966686,0.344966686,0.344966686
Colony Park,0.149792701,0.149792701,0.149792701,0.149792701,0.149792701
Colony Woods,0.118187426,0.118187426,0.118187426,0.118187426,0.118187426
Colvard Farms,0.3149571,0.3149571,0.3149571,0.3149571,0.3149571
Copper Creek,0.034088954,0.034088954,0.034088954,0.034088954,0.034088954
Country Club Heights,0.164472665,0.164472665,0.164472665,0.164472665,0.164472665
Cranford Road,0.035797479,0.035797479,0.035797479,0.035797479,0.035797479
Crest Street,0.071334359,0.071334359,0.071334359,0.071334359,0.071334359
Croasdaile,0.533053266,0.533053266,0.533053266,0.533053266,0.533053266
Croasdaile Farm,0.98380043,0.98380043,0.98380043,0.98380043,0.98380043
