id,y_2012,y_2013,y_2014,y_2015,y_2016
Abercromby,,,,,
Abron Drive,,,,,
Albright,545166,,,41011,
Amberlynn Valley,,,,,
American Tobacco Campus,13803629,21764033,3448692,4672122,1431342
American Village,,,,,
Anderson St. / Wrightwood Park,,,,,71849
Archer Woods,,,,,
Arrowhead,571810,,,,
Artisan at Brightleaf,,,,,
Ashley Forest,,,,,
Ashton Hall,,,,,
Auburn Hills,,,,,
Auburn Park,,,,,
Auburn Square,,,,,
Audubon Park,,,,,
Autumn Ridge,,,,,
Bahama,,,,,
Barclay to Sandlewood,,,,,
Belcrest,,,,,
Bennet Place,,,,,
Bent Creek / Woodberry Forest,,,,,
Bluffs of the Eno,,,,,
Bon Air Avenue,,,,,
Bradbury Glen,,,,,
Bradbury Trace,,,,,
Bragtown,594873,722231,85064,1231807,283175
Brandon Ridge,,,,,
Brightleaf at the Park,,1001,3300,25000,
Brightwood Trails,,,,,
Brookstown,,,,,
Buck Crossing,,,,,
Burch Avenue,,144185,,,
Cameron Woods,,,,,
Cardinal Lake,,,,,
Carillon Forest,,,,,
Carolina Arbors,,,,,
Central Park,3240720,3352410,14742997,11942413,56470585
Chancellor's Ridge,,,,,
Chapel Hill Road,,65460,,,
Chelsea Meadows,,,,,
Cleveland-Holloway,300002,137500,20127,498000,385900
Colchester,,,,,
Cole Mill Road,,,,,
Coles Pond,,,,,
College View,4001,,26200,385906,
Colonial Village,,,,,
Colony Park,,,,,
Colony Woods,,,,,
Colvard Farms,,,,,
Copper Creek,,,,,
Country Club Heights,,,,,
Cranford Road,,,,,
Crest Street,,,,19496,
Croasdaile,,,,,
Croasdaile Farm,,,,,
Croasdaile Village,,,,,272155
Crooked Creek,,120543,723851,3587734,17420631
Cross Timbers,,,,,
Crown Point,,,,,
Darby Glen,,,,,
Deer Forest,,,,,
Dixon Road Area,,,,,
Downing Creek,,,,,
Downtown,2517243,1409404,10577571,3580480,42138884
Duke East Campus,668665,941813,6013351,744446,880778
Duke Forest,,,,,700
Duke Homestead,,,,,
Duke Manor Apartments,,,,,
Duke Park,,,,19480,
Duke West Campus,100556002,64404915,41019101,85503699,66057896
Eagle's Pointe,,,,,
Eastway Village,,,,,
Eastwood Park,,,,,
Edgemont,26805,25425,,693169,
