id,y_2012,y_2013,y_2014,y_2015,y_2016
Abercromby,0,0,1,0,0
Abron Drive,,,,,
Albright,50,62,47,30,32
Amberlynn Valley,0,1,1,1,1
American Tobacco Campus,1,2,1,1,1
American Village,,0,0,0,2
Anderson St. / Wrightwood Park,10,6,8,7,6
Archer Woods,1,,,,
Arrowhead,,,,,
Artisan at Brightleaf,,,,,
Ashley Forest,,,,,
Ashton Hall,0,0,0,1,1
Auburn Hills,,0,0,0,1
Auburn Park,,,,,
Auburn Square,0,1,0,0,0
Audubon Park,0,0,0,1,0
Autumn Ridge,,,,,
Bahama,,,,,
Barclay to Sandlewood,0,0,1,0,0
Belcrest,,,,,
Bennet Place,0,0,2,0,0
Bent Creek / Woodberry Forest,,,,,
Bluffs of the Eno,,,,,
Bon Air Avenue,0,0,0,1,0
Bradbury Glen,,0,0,0,1
Bradbury Trace,1,1,2,0,0
Bragtown,28,31,23,32,21
Brandon Ridge,2,,,,
Brightleaf at the Park,0,1,0,0,0
Brightwood Trails,,,,,
Brookstown,1,,,,
Buck Crossing,,,,,
Burch Avenue,3,2,6,3,3
Cameron Woods,0,0,1,0,0
Cardinal Lake,0,1,0,0,0
Carillon Forest,,,,,
Carolina Arbors,,,,,
Central Park,1,5,6,2,3
Chancellor's Ridge,,,,,
Chapel Hill Road,4,1,0,3,0
Chelsea Meadows,,,,,
Cleveland-Holloway,41,42,27,22,11
Colchester,,,,,
Cole Mill Road,1,2,0,0,1
Coles Pond,0,1,0,0,0
College View,58,45,32,32,22
Colonial Village,7,9,13,4,3
Colony Park,0,0,0,1,0
Colony Woods,,,,,
Colvard Farms,,,,,
Copper Creek,0,1,1,0,0
Country Club Heights,,,,,
Cranford Road,,,,,
Crest Street,17,7,14,10,4
Croasdaile,0,0,1,0,1
Croasdaile Farm,0,0,1,2,0
Croasdaile Village,,,,,
Crooked Creek,5,2,2,2,1
Cross Timbers,,,,,
Crown Point,2,1,4,0,0
Darby Glen,,,,,
Deer Forest,0,1,0,0,0
Dixon Road Area,3,2,2,4,1
Downing Creek,0,1,0,0,0
Downtown,33,29,26,24,15
Duke East Campus,0,2,0,0,0
Duke Forest,0,2,0,1,2
Duke Homestead,2,2,3,1,1
Duke Manor Apartments,8,13,6,5,1
Duke Park,19,15,11,10,11
Duke West Campus,10,10,8,13,6
Eagle's Pointe,,,,,
Eastway Village,4,1,0,1,0
Eastwood Park,,,,,
Edgemont,24,25,16,15,14
Elm Grove,,,,,
Emorywood Estates,0,1,2,1,0
Eno Commons,,,,,
Eno Trace,,,,,
Everwood,0,2,0,0,0
Fairfield,0,1,0,0,0
Falconbridge,0,0,0,1,0
Fieldstone by the Eno,1,0,1,0,2
Five Oaks,0,0,1,0,0
Five Oaks 4100,,,,,
Folkstone,,,,,
Forest Acres,,,,,
Forest Hills,10,6,3,8,3
Forest Oaks,,,,,
Fortune's Ridge,,,,,
Fox Run,,,,,
Franklin Village,2,8,5,0,1
Garret Farms - Porchlight / Hartley,,,,,
Gatewood Forest,1,2,0,0,0
Glennstone,1,1,1,0,0
Golden Belt,5,6,5,6,3
Grande Park,,,,,
Green Mill,,,,,
Grove Park,0,5,1,1,1
Heather Glen,,,,,
Highgate,0,0,0,1,0
Hillandale Commons,,,,,
Holston Meadows,,0,0,0,1
