id,y_2012,y_2013,y_2014,y_2015,y_2016
Abercromby,3600,,,1000,
Abron Drive,,,7200,19250,19995
Albright,7500,74514,8180,17080,113751
Amberlynn Valley,,,,,
American Tobacco Campus,14883,,15248218,95500,71532
American Village,19750,5500,6485,22358,10750
Anderson St. / Wrightwood Park,16000,39000,78209,100208.5,21735
Archer Woods,15603,22500,7656,2100,6000
Arrowhead,264000,29000,11600,32000,308435.5
Artisan at Brightleaf,,,,,
Ashley Forest,8800,6950,1957,7302.5,4175
Ashton Hall,215358,185460,171930,6962.5,2000
Auburn Hills,2912.5,5000,2500,14400,3087.5
Auburn Park,,159159,145510,,168564
Auburn Square,,,26000,,168960
Audubon Park,7500,15150,,6000,8750
Autumn Ridge,2000,10175,15497,9500,9850
Bahama,,,,12000,
Barclay to Sandlewood,13000,8900,24675,12800,13875
Belcrest,147444,,3000,1895,16500
Bennet Place,,19378.5,14000,,39550
Bent Creek / Woodberry Forest,18524,27000,5766.5,19600,2000
Bluffs of the Eno,6000,17891,4779.3,,
Bon Air Avenue,12580.5,17500,,56200,1200
Bradbury Glen,,,2800,,
Bradbury Trace,,,,,9000
Bragtown,10300,12750,21500,9950,1200
Brandon Ridge,,23036.21,,,
Brightleaf at the Park,214599,225324,226809,123288,194403
Brightwood Trails,163185,200720,201366,122743.5,192522
Brookstown,,34000,,,
Buck Crossing,14435,,18339,,20000
Burch Avenue,12688.5,29000,51000,33350,60000
Cameron Woods,12048.5,,45435,13000,5960
Cardinal Lake,152922,182523,,11975,33854
Carillon Forest,217734,3000,7000,26700,7000
Carolina Arbors,,178860,161345,162492,166782
Central Park,67993,,113400,359000,5449919.59
Chancellor's Ridge,14272,6048,13000,13850,28700
Chapel Hill Road,,26900,9200,,8300
Chelsea Meadows,,5725,15500,12000,
Cleveland-Holloway,3500,8500,13850,20000,28477.5
Colchester,,,,,
Cole Mill Road,7775,130847,18972,4720,198640
Coles Pond,,,4200,7500,
College View,16017,3453.5,6875,27000,18025
Colonial Village,1250,10400,11500,8115,8500
Colony Park,27365,102277.5,29000,13800,23921.89
Colony Woods,,,,,
Colvard Farms,839864,207303,338712,246070,264916
Copper Creek,,,,,
Country Club Heights,13400,11100,15250,37825,38267.5
Cranford Road,9625,207650,5869,179225,
Crest Street,2400,,3200,4259,
Croasdaile,19100,45200,22000,38485,190344
Croasdaile Farm,21546,321618,333300,387710,126500
Croasdaile Village,,,,,
Crooked Creek,3500,49000,2725,10855,15500
Cross Timbers,,2200,7000,,5700
Crown Point,10700,,,,12850
Darby Glen,,,,,
Deer Forest,,,11750,33800,39200
Dixon Road Area,13420,9000,7875,15900,32242.5
Downing Creek,5630,12092,3500,7950,7787.5
Downtown,15000,901850,960000,423923.5,401429.5
Duke East Campus,166440,39517,3559,84884,5.00E+6
Duke Forest,47304.25,22500,30387.5,30499.5,30778.25
Duke Homestead,3250,6465,1000,7069.19,2575
Duke Manor Apartments,,2933.5,1959,,21000
Duke Park,20000,14200,37150,13302.5,23600
Duke West Campus,30000,9527,62240,430419.78,48000
Eagle's Pointe,27310,14355.5,112000,12249,46000
Eastway Village,,,,,
Eastwood Park,,,,,
Edgemont,89694,106562,137300,1.00E+5,82612
Elm Grove,36983.5,,,,
Emorywood Estates,6875,11550.5,8418,157443,166000
Eno Commons,,,,,
Eno Trace,3150,11775.6,4500,7600.27,24790.5
Everwood,225456,190773,12900,,11424.375
Fairfield,237864,256806,241728.5,26458,21150
Falconbridge,17530,18800,15500,21600,20475
Fieldstone by the Eno,24950,12000,5254.5,15000,19978
Five Oaks,15848,40000,4500,3050,13775
Five Oaks 4100,6318,11380,,24500,74450
Folkstone,7300,,25000,9000,11150
Forest Acres,68000,,,8000,10143
Forest Hills,39585.5,28704.5,48900,24800,41735
Forest Oaks,,,,,7500
Fortune's Ridge,9182,216018,7575,8050,6300
Fox Run,,17244,,6000,21000
Franklin Village,90816,,,,
Garret Farms - Porchlight / Hartley,,20220,,23515,
Gatewood Forest,,,,,3500
Glennstone,115566,138402,136422,100200,6500
Golden Belt,63000,5100,1000,100056,92400
Grande Park,,,4175,2965,15400
Green Mill,,27675,,77108,61043
Grove Park,150000,22500,10398,24750,7400
Heather Glen,139788,41125,37237.5,8350,22375
Highgate,,,,,
Hillandale Commons,14900,,2000,,53901
Holston Meadows,10925,,,,
Homeplace I,,,,,
Homeplace II,,,,,
Hope Valley,48000,33627.5,29875,30000,41125
Hope Valley Downs,4750,116250,226842,,71938
Hope Valley Farms,7350,16770,20620.5,17693,6750
Hope Valley Farms North,12602,4250,6106,4262,15165
Hope Valley Forest,9940,14218,52477,47000,13993
Hope Valley Green,14870,,23651,,33245
Hope Valley North,6000,11841,9232,4500,15000
Horton Hills,5225,46577,12500,,
Huckleberry Heights,183300,61636,,20000,
Huntington Ridge,15112.5,20800,,1300,2300
Inverness Drive,75000,33500,,47667.5,697227
Knollwood,300,,6800,5000,3319
Lake Park,10950,52869,5434,15000,5750
Lakehurst,2700,9450,7458.5,42000,27564.5
Lakewood Park,94380,37100,91500,96235.865,130000
Landon Farms,44000,,110352,109542,122100
Latta Woods,,,3550,,
Lattamoor,20100,500,,20000,5400
Lochaven Hills,17946.85,24000,7000,4000,22080
Lochn'ora,28042,44280,20985,8150,30628
Lochside,2640,,95000,1300,17886
Long Meadow,7131,13500,57711.5,31900,22950
Lyon Park,6800,30200,10475,67500,27000
Marbry Landing,,14400,5013,1000,
Mary Dell,19375,19500,41976,5250,18050
Meadows of Pagehurst,,,13500,3200,
Merrick Moore,,8000,,42950,21000
Milan Woods,6589,97031,600,3075,17414.375
Morehead Hill,12100,26790.5,16500,24000,26250
Myers Park/Beechgrove,22000,109397,6381,35000,213312
Nancy Rhodes Creek,2500,51000,15500,18500,59038.5
Newhall Village,,,8237,,
North Carolina Central University,2800,,,,67200
North Durham Community,21000,15750,15037,16585,12319.17
Northeast Hills,15850,2400,60205,7800,100786.76
Northgate Park,8000,10900,11000,22000,18308
Oak Grove Community,49700,284730,,14250,200442
Oakhaven,,,,19600,265254
Oakhurst,6400,6000,,11150,26600
Old East Durham,40000,14181,58400,26000,59000
Old Farm,6000,7817,19250,17539.485,15000
Old Five Points,,,,187500,70478
Old North Durham,27750,25000,24017,46500,29000
Old West Durham,20500,36500,12000,45179,24000
Omah Street,5950,6001,26000,10600,16032.5
Orchard Ridge,173712,184932,123321,137747.5,138930
Orchid Court,13500,,,,
Pagehurst,,,,,
Parc at University,,,,,
Park Ridge,,,,,
Parkside,,14000,,7000,2.00E+5
Parkwood,12500,5791,5300,8000,7200
Penrith,5098,6500,17850,8649.995,7512.5
Pine Valley,21210,6000,54790,10750,15000
Placid Valley,29582,38500,,10000,
Pleasant Drive,,2850,10500,5400,11500
Preston Avenue,50,,,,
