id,y_2014,y_2016
Abercromby,0,0
Abron Drive,0,0
Albright,304,250
Amberlynn Valley,0,0
American Tobacco Campus,0,0
American Village,263,263
Anderson St. / Wrightwood Park,454,451
Archer Woods,0,0
Arrowhead,0,0
Artisan at Brightleaf,0,0
Ashley Forest,0,0
Ashton Hall,0,0
Auburn Hills,11,11
Auburn Park,27,33
Auburn Square,117,117
Audubon Park,0,0
Autumn Ridge,0,0
Bahama,0,0
Barclay to Sandlewood,0,0
Belcrest,52,43
Bennet Place,0,0
Bent Creek / Woodberry Forest,2,2
Bluffs of the Eno,40,40
Bon Air Avenue,0,0
Bradbury Glen,0,0
Bradbury Trace,0,0
Bragtown,46,28
Brandon Ridge,0,0
Brightleaf at the Park,98,107
Brightwood Trails,0,0
Brookstown,25,25
Buck Crossing,0,0
Burch Avenue,320,317
Cameron Woods,74,74
Cardinal Lake,0,0
Carillon Forest,0,0
Carolina Arbors,0,0
Central Park,7,0
Chancellor's Ridge,0,0
Chapel Hill Road,0,0
Chelsea Meadows,0,0
Cleveland-Holloway,489,467
Colchester,0,0
Cole Mill Road,1,1
Coles Pond,0,0
College View,1288,489
Colonial Village,6,6
Colony Park,0,0
Colony Woods,0,0
Colvard Farms,0,0
Copper Creek,0,0
Country Club Heights,0,0
Cranford Road,1,1
Crest Street,133,131
Croasdaile,0,0
Croasdaile Farm,4,23
Croasdaile Village,0,0
Crooked Creek,841,211
Cross Timbers,0,0
Crown Point,0,0
Darby Glen,0,0
Deer Forest,0,0
Dixon Road Area,0,0
Downing Creek,0,0
Downtown,45,47
Duke East Campus,0,0
Duke Forest,155,156
Duke Homestead,5,5
Duke Manor Apartments,904,904
Duke Park,558,194
Duke West Campus,138,128
Eagle's Pointe,0,0
Eastway Village,48,48
Eastwood Park,0,0
Edgemont,471,500
Elm Grove,0,0
Emorywood Estates,66,66
Eno Commons,0,0
Eno Trace,300,300
Everwood,12,16
Fairfield,20,20
Falconbridge,0,0
Fieldstone by the Eno,196,195
Five Oaks,0,0
Five Oaks 4100,0,0
Folkstone,45,45
Forest Acres,9,9
Forest Hills,478,396
Forest Oaks,0,0
Fortune's Ridge,87,87
Fox Run,0,0
Franklin Village,42,84
Garret Farms - Porchlight / Hartley,1,1
Gatewood Forest,0,0
Glennstone,0,0
Golden Belt,107,106
Grande Park,0,0
Green Mill,0,0
Grove Park,0,0
Heather Glen,0,0
Highgate,44,44
Hillandale Commons,0,0
Holston Meadows,12,12
Homeplace I,0,0
Homeplace II,102,102
Hope Valley,0,0
Hope Valley Downs,0,0
Hope Valley Farms,0,0
Hope Valley Farms North,133,130
Hope Valley Forest,42,42
Hope Valley Green,12,12
Hope Valley North,0,0
Horton Hills,91,91
Huckleberry Heights,26,26
Huntington Ridge,0,0
Inverness Drive,0,0
Knollwood,0,0
Lake Park,0,0
Lakehurst,0,0
Lakewood Park,307,299
Landon Farms,0,0
Latta Woods,42,42
Lattamoor,0,0
Lochaven Hills,149,67
Lochn'ora,0,0
Lochside,4,1
Long Meadow,223,225
Lyon Park,326,317
Marbry Landing,0,0
Mary Dell,0,0
Meadows of Pagehurst,0,0
Merrick Moore,0,0
Milan Woods,0,0
Morehead Hill,730,662
Myers Park/Beechgrove,0,0
Nancy Rhodes Creek,76,35
Newhall Village,0,0
North Carolina Central University,7,6
North Durham Community,0,0
Northeast Hills,0,0
Northgate Park,911,322
Oak Grove Community,0,0
Oakhaven,0,0
Oakhurst,0,0
Old East Durham,365,691
Old Farm,525,248
Old Five Points,69,81
Old North Durham,1014,771
Old West Durham,384,374
Omah Street,281,271
Orchard Ridge,0,0
Orchid Court,0,0
Pagehurst,0,0
Parc at University,186,186
Park Ridge,0,0
Parkside,88,88
Parkwood,0,0
Penrith,0,0
Pine Valley,3,3
Placid Valley,8,8
Pleasant Drive,26,24
Preston Avenue,8,8
Preston Woods,0,0
Providence Ridge,0,0
Ravenstone,0,0
Ridgefield,0,0
Rigsbee Hill,66,0
River Forest,155,128
River's Edge,43,41
Rockwood,315,314
Rougemont,0,0
Rustica Oaks,0,0
Scarsdale Village,974,189
Sheridan Drive,0,0
Solterra,0,0
South Terrace at Auburn,328,328
Southampton,53,53
Southpoint Manor,0,0
Southside / St. Teresa,487,66
Spring Valley,0,0
Stadium Heights,191,179
Stephen's Woods,46,46
Sterling Ridge,0,0
Stillwood,0,0
Stirrup Creek,0,0
Stonehill Estates,0,0
Stratford Lakes,0,0
Summer Meadow,0,0
Sunningdale,0,0
Surrey Green,0,0
Swallows Ridge,0,0
Swann's Mill,0,0
Taylor Estates,111,111
Thaxton,0,0
The Hills at Southpoint,0,0
The Landing at Southpoint,0,0
Townes at Brier Creek Crossing,0,0
Treyburn,80,80
Trinity Commons,0,0
Trinity Heights,0,0
Trinity Park,1135,801
Trotter Ridge,0,0
Tuscaloosa-Lakewood,276,289
Urban 900,23,18
Valley Run,0,0
Valleybrook,16,16
Vantage Pointe,7,7
Walden Pond,0,0
Walltown,800,797
Warehouse District,382,0
Waterford,0,0
Watts Hospital-Hillandale,871,223
Welcome Circle,0,0
Wellington Forest,0,0
Wellington Forest,0,0
Wellons Village,56,56
West End,662,658
West Hills,0,0
West Murray / Broad,16,14
Westgate Townes,0,0
Westwood Estates,0,0
Whitney Park,0,0
Willow Hill,0,0
Willowhaven,29,29
Windsor Oaks,0,0
Woodcroft,107,107
Woodlake,392,392
Woodstone at Croasdaile Farm,0,0
Woodwinds,0,0
Wynstead,0,0
Wynterfield,0,0
