id,y_2010,y_2011,y_2012,y_2013,y_2014
Abercromby,101.3696785,94.71450705,58.2992776,84.09358302,76.54554993
Abron Drive,0,115.1775178,0,112.3760246,115.3501401
Albright,25.2037154,13.60929792,30.32284408,35.3604385,25.78653923
Amberlynn Valley,100.32107,55.47884573,78.68940396,60.95122649,73.05338044
American Tobacco Campus,0,0,0,0,0
American Village,107.982899,108.2243544,111.3026593,117.4061294,111.5598868
Anderson St. / Wrightwood Park,113.6532927,111.8613898,96.45218791,108.8677724,142.0159335
Archer Woods,104.2357557,92.60974023,92.28524283,96.93275243,138.5991058
Arrowhead,144.046109,0,102.3866514,158.9441212,172.5506294
Artisan at Brightleaf,0,0,0,0,0
Ashley Forest,118.8840665,93.13127537,98.50094812,109.1510388,104.6255507
Ashton Hall,96.26146255,88.07079497,87.10836605,84.88184773,94.54602774
Auburn Hills,117.2473784,114.4697746,99.2977509,91.6442743,99.7002997
Auburn Park,104.4471185,110.5589927,96.01158587,94.58030377,94.12277239
Auburn Square,117.9338299,104.49197,98.41141214,93.07244825,102.7639972
Audubon Park,124.4918931,103.2011734,107.5490736,113.9452817,111.3861386
Bahama,96.48504562,61.7554517,0,98.83443343,108.0236486
Barclay to Sandlewood,87.84638463,73.82791791,95.81940172,77.99302619,86.7816092
Belcrest,110.6970587,95.29535211,112.3076905,118.7502935,104.0329575
Bennet Place,102.5850756,77.78486087,0,77.25682833,0
Bent Creek / Woodberry Forest,145.394996,120.7514688,114.5529665,104.0191212,115.9649123
Bluffs of the Eno,93.90046812,100.9822989,93.52588053,81.94348463,88.25940115
Bon Air Avenue,122.8525563,0,62.3540174,83.07779195,0
Bradbury Glen,96.88218944,82.05398112,77.35631065,77.43506986,74.40241626
Bradbury Trace,92.71733138,83.16248225,85.46830921,77.67296841,86.29682314
Bradford,0,0,0,0,0
Bragtown,64.38732163,37.34623336,70.97771542,62.28502299,75.74159048
Brandon Ridge,94.38754463,64.73509357,73.22553222,72.57851496,72.39170942
Briarcliff,0,0,0,0,0
Brightleaf at the Park,115.0801452,101.6165196,95.74313224,103.9079306,106.6423429
Brookstown,0,0,0,55.2749248,0
Buck Crossing,133.4855556,130.4424817,98.01759233,124.8553474,133.1289238
Burch Avenue,84.32119688,57.97140726,158.6117998,127.7108197,164.7915288
Cameron Woods,140.9332127,126.6173445,118.7942676,116.5412959,126.7924528
Cardinal Lake,82.43077386,75.86711457,74.56419903,78.52062745,70.08142935
Carillon Forest,114.1888739,99.55647051,109.1965771,106.8500602,91.81580978
Central Park,0,0,0,239.9217531,250.4983389
Chancellors Ridge,130.3737192,115.2495727,114.5529665,117.4959325,120.7052441
Chapel Hill Road,39.66092019,51.94068207,0,105.5413549,112.9032258
Chelsea Meadows,116.2989389,111.4846439,101.7746001,104.8785786,113.0169926
Cleveland-Holloway,31.31125278,78.92256686,45.3065932,110.8404464,79.4198895
Colchester,0,0,0,0,0
Cole Mill Road,83.68831074,85.38738697,81.28478872,108.7216785,105.2316294
Coles Pond,159.3663015,120.4326468,91.64951937,0,120.6044754
College View,30.82301943,29.00269245,36.80336664,36.77311425,38.44799299
Colonial Village,93.22941524,59.03117783,57.62312038,80.30435529,100.9600528
Colony Park,118.8653499,93.54519215,98.91662981,99.96346389,122.3112611
Colony Woods,134.6509843,136.442733,117.1894603,123.8223223,119.5652174
Colvard Farms,0,196.8888178,209.6255764,215.5361959,242.2859244
Copper Creek,129.7491242,118.0738427,104.8650585,106.6114455,116.2908763
