id,y_2013,y_2014,y_2015,y_2016
Abercromby,6,6,8,8
Abron Drive,3,3,4,4
Albright,282,300,303,246
Amberlynn Valley,185,185,164,164
American Tobacco Campus,0,0,54,79
American Village,202,193,203,203
Anderson St. / Wrightwood Park,323,332,340,332
Archer Woods,0,0,0,0
Arrowhead,0,0,0,0
Artisan at Brightleaf,328,328,328,328
Ashley Forest,0,9,10,10
Ashton Hall,0,0,0,0
Auburn Hills,0,0,0,0
Auburn Park,0,0,0,0
Auburn Square,0,0,0,0
Audubon Park,0,0,0,0
Autumn Ridge,0,0,0,0
Bahama,0,0,0,0
Barclay to Sandlewood,0,0,0,0
Belcrest,52,52,52,52
Bennet Place,87,96,98,98
Bent Creek / Woodberry Forest,6,6,12,12
Bluffs of the Eno,0,0,0,0
Bon Air Avenue,30,30,30,30
Bradbury Glen,5,5,5,5
Bradbury Trace,0,0,0,0
Bragtown,130,128,128,123
Brandon Ridge,108,108,108,108
Brightleaf at the Park,0,0,0,0
Brightwood Trails,0,0,0,0
Brookstown,25,25,25,25
Buck Crossing,0,0,0,0
Burch Avenue,344,346,351,343
Cameron Woods,42,40,42,42
Cardinal Lake,0,0,0,0
Carillon Forest,0,0,0,0
Carolina Arbors,0,0,0,0
Central Park,3,11,11,4
Chancellor's Ridge,0,0,0,0
Chapel Hill Road,198,198,198,198
Chelsea Meadows,0,0,0,0
Cleveland-Holloway,513,516,541,496
Colchester,0,0,0,0
Cole Mill Road,0,0,0,0
Coles Pond,0,0,0,0
College View,1336,1334,1363,1334
Colonial Village,589,599,601,608
Colony Park,0,0,0,0
Colony Woods,0,0,0,0
Colvard Farms,0,0,0,0
Copper Creek,0,0,0,0
Country Club Heights,0,0,0,0
Cranford Road,0,0,0,0
Crest Street,133,133,155,131
Croasdaile,36,36,32,32
Croasdaile Farm,78,78,74,74
Croasdaile Village,0,140,542,542
Crooked Creek,729,739,728,728
Cross Timbers,69,69,69,69
Crown Point,85,90,97,94
Darby Glen,73,73,73,73
Deer Forest,0,0,0,0
Dixon Road Area,87,85,89,89
Downing Creek,0,0,0,0
Downtown,56,92,300,260
Duke East Campus,1,1,1,1
Duke Forest,84,80,86,82
Duke Homestead,206,211,207,207
Duke Manor Apartments,904,1030,1030,1030
Duke Park,600,591,618,579
Duke West Campus,629,954,942,941
Eagle's Pointe,78,75,92,92
Eastway Village,37,37,48,48
Eastwood Park,34,34,36,36
Edgemont,572,568,591,577
Elm Grove,14,15,43,43
Emorywood Estates,109,109,111,111
Eno Commons,0,0,0,0
Eno Trace,0,0,0,0
Everwood,26,43,53,53
Fairfield,0,0,0,0
Falconbridge,103,213,104,214
Fieldstone by the Eno,40,40,55,54
Five Oaks,9,1,5,4
Five Oaks 4100,42,42,42,42
Folkstone,30,30,29,29
Forest Acres,0,0,0,0
Forest Hills,217,222,223,222
Forest Oaks,100,100,109,109
Fortune's Ridge,78,78,82,82
Fox Run,0,0,0,0
Franklin Village,84,84,84,84
Garret Farms - Porchlight / Hartley,0,0,0,0
Gatewood Forest,118,118,118,118
Glennstone,0,0,0,0
Golden Belt,122,119,120,117
Grande Park,0,0,0,0
Green Mill,0,0,0,0
Grove Park,34,37,35,39
Heather Glen,0,0,0,0
Highgate,263,263,263,263
Hillandale Commons,1,1,2,2
Holston Meadows,51,51,52,52
Homeplace I,68,68,68,68
Homeplace II,128,128,142,142
Hope Valley,99,98,103,104
