id,y_2012,y_2013,y_2014,y_2015,y_2016
Abercromby,8,4,8,17,9
Abron Drive,3,0,3,4,0
Albright,93,96,124,83,85
Amberlynn Valley,31,29,11,25,27
American Tobacco Campus,32,56,16,52,39
American Village,24,11,28,25,12
Anderson St. / Wrightwood Park,37,69,62,65,51
Archer Woods,7,7,4,4,4
Arrowhead,2,7,10,10,5
Artisan at Brightleaf,3,8,7,4,10
Ashley Forest,1,6,11,14,4
Ashton Hall,24,20,24,14,8
Auburn Hills,4,4,11,13,10
Auburn Park,2,5,5,10,2
Auburn Square,5,12,7,12,4
Audubon Park,5,7,29,9,11
Autumn Ridge,3,2,4,4,7
Bahama,0,1,1,1,1
Barclay to Sandlewood,10,17,4,5,4
Belcrest,4,6,3,1,4
Bennet Place,6,5,10,6,7
Bent Creek / Woodberry Forest,3,12,11,10,7
Bluffs of the Eno,0,0,1,3,0
Bon Air Avenue,4,2,2,3,6
Bradbury Glen,2,1,5,1,6
Bradbury Trace,6,3,5,6,4
Bragtown,154,139,138,158,164
Brandon Ridge,11,5,8,6,5
Brightleaf at the Park,17,23,30,13,17
Brightwood Trails,0,6,7,5,4
Brookstown,1,1,1,1,0
Buck Crossing,0,1,1,1,2
Burch Avenue,40,50,42,36,25
Cameron Woods,0,2,8,1,3
Cardinal Lake,24,17,19,13,15
Carillon Forest,3,6,3,4,3
Carolina Arbors,0,3,31,8,13
Central Park,79,110,91,101,80
Chancellor's Ridge,5,6,10,18,9
Chapel Hill Road,13,15,12,21,27
Chelsea Meadows,2,5,9,3,4
Cleveland-Holloway,136,130,140,103,149
Colchester,0,0,0,3,0
Cole Mill Road,13,17,12,14,10
Coles Pond,1,1,2,4,1
College View,168,204,228,186,204
Colonial Village,86,98,95,77,60
Colony Park,3,8,9,9,1
Colony Woods,,,,,
Colvard Farms,0,0,2,2,0
Copper Creek,3,2,9,6,3
Country Club Heights,8,2,4,2,2
Cranford Road,1,4,6,2,2
Crest Street,37,29,19,32,23
Croasdaile,3,9,9,19,4
Croasdaile Farm,8,17,24,15,7
Croasdaile Village,5,13,15,7,6
Crooked Creek,54,49,75,74,85
Cross Timbers,2,4,10,1,0
Crown Point,18,20,20,16,24
Darby Glen,5,9,2,4,2
Deer Forest,2,2,7,5,0
Dixon Road Area,24,24,37,23,17
Downing Creek,4,6,11,7,10
Downtown,221,268,223,287,240
Duke East Campus,5,6,1,1,0
Duke Forest,28,20,35,35,22
Duke Homestead,25,24,14,5,15
Duke Manor Apartments,86,67,49,51,44
Duke Park,149,138,126,94,110
Duke West Campus,33,34,59,37,34
Eagle's Pointe,2,2,3,11,5
Eastway Village,10,8,10,9,9
Eastwood Park,3,4,1,4,2
Edgemont,128,105,140,131,109
Elm Grove,13,11,4,7,10
Emorywood Estates,12,8,12,18,5
Eno Commons,0,0,1,0,0
Eno Trace,9,7,11,9,8
Everwood,3,2,3,3,5
Fairfield,7,16,7,11,12
Falconbridge,36,17,14,25,17
Fieldstone by the Eno,11,24,14,15,6
Five Oaks,7,21,7,3,12
Five Oaks 4100,18,5,4,6,3
Folkstone,1,0,2,1,2
Forest Acres,0,4,1,1,1
Forest Hills,45,61,57,48,55
Forest Oaks,9,7,1,2,6
Fortune's Ridge,6,10,6,7,5
Fox Run,2,4,2,2,3
Franklin Village,23,32,31,15,12
Garret Farms - Porchlight / Hartley,0,0,0,1,0
Gatewood Forest,6,8,4,7,6
Glennstone,8,19,9,12,7
Golden Belt,18,31,36,29,27
Grande Park,3,2,2,1,0
Green Mill,3,2,4,1,0
Grove Park,62,71,97,72,61
Heather Glen,0,1,5,3,0
Highgate,14,9,12,7,5
Hillandale Commons,1,2,0,3,0
Holston Meadows,6,3,8,6,5
Homeplace I,4,3,3,2,0
Homeplace II,10,22,10,11,4
Hope Valley,46,70,84,77,69
Hope Valley Downs,1,4,3,2,4
Hope Valley Farms,16,20,20,33,24
Hope Valley Farms North,14,19,18,27,24
Hope Valley Forest,8,17,25,23,20
Hope Valley Green,4,2,6,5,11
