id,y_2013,y_2014,y_2015,y_2016
Abercromby,1993,1993,1993,1993
Abron Drive,1986,1986,1986,1986
Albright,1945,1945,1946,1945
Amberlynn Valley,2006,2006,2006,2006
American Tobacco Campus,1900,1900,1900,1900
American Village,1991,1991,1991,1991
Anderson St. / Wrightwood Park,1957,1957,1957,1958
Archer Woods,1973,1974,1974,1974
Arrowhead,1984,1986,1986,1988
Artisan at Brightleaf,2012,2012,2012,2012
Ashley Forest,1989,1989,1989,1989
Ashton Hall,2011,2011,2011,2011
Auburn Hills,2003,2003,2003,2003
Auburn Park,2002,2002,2002,2003
Auburn Square,2002,2002,2002,2002
Audubon Park,1999,1999,1999,1999
Autumn Ridge,2002,2002,2002,2002
Bahama,1942,1942,1942,1946
Barclay to Sandlewood,1970,1970,1970,1970
Belcrest,2010,2010,2010,2010
Bennet Place,1968,1968,1968,1968
Bent Creek / Woodberry Forest,1981,1981,1981,1981
Bluffs of the Eno,1991,1991,1991,1991
Bon Air Avenue,1942,1942,1942,1942
Bradbury Glen,2005,2005,2005,2005
Bradbury Trace,2005,2005,2005,2005
Bragtown,1948,1948,1948,1949
Brandon Ridge,1986,1986,1986,1986
Brightleaf at the Park,2009,2009,2010,2010
Brightwood Trails,2009,2009,2010,2011
Brookstown,1933,1933,1933,1933
Buck Crossing,2001,2001,2001,2001
Burch Avenue,1930,1931,1930,1931
Cameron Woods,2001,2001,2001,2001
Cardinal Lake,2007,2008,2008,2008
Carillon Forest,2008,2008,2008,2008
Carolina Arbors,1964,2013,2014,2014
Central Park,1969,1941,1941,1928
Chancellor's Ridge,2001,2001,2001,2001
Chapel Hill Road,1946,1944,1944,1944
Chelsea Meadows,2004,2004,2004,2004
Cleveland-Holloway,1944,1942,1942,1942
Colchester,1984,1984,1984,1984
Cole Mill Road,1976,1976,1976,1976
Coles Pond,1998,1998,1998,1998
College View,1959,1959,1959,1959
Colonial Village,1961,1962,1962,1962
Colony Park,1967,1967,1967,1967
Colony Woods,1979,1979,1979,1979
Colvard Farms,2002,2005,2008,2010
Copper Creek,2002,2002,2002,2002
Country Club Heights,2002,2002,2002,2002
Cranford Road,1946,1947,1947,1947
Crest Street,1984,1984,1984,1984
Croasdaile,1980,1980,1980,1980
Croasdaile Farm,1997,1998,2000,2000
Croasdaile Village,,1997,1997,1997
Crooked Creek,1989,1989,1989,1989
Cross Timbers,1987,1987,1987,1987
Crown Point,1991,1991,1991,1991
Darby Glen,1988,1988,1988,1988
Deer Forest,1994,1994,1994,1995
Dixon Road Area,1970,1970,1971,1971
Downing Creek,1991,1991,1991,1991
Downtown,1929,1992,1991,1946
Duke East Campus,1920,1920,1920,1920
Duke Forest,1965,1965,1965,1966
Duke Homestead,1972,1973,1973,1973
Duke Manor Apartments,1970,1970,1971,1971
Duke Park,1950,1951,1950,1950
Duke West Campus,1971,1972,1974,1973
Eagle's Pointe,2002,2002,2002,2002
Eastway Village,2005,2005,2005,2005
Eastwood Park,1972,1972,1972,1972
Edgemont,1956,1957,1958,1963
