id,y_2016
Abercromby,3.4
Abron Drive,9.9
Albright,4.9
Amberlynn Valley,-2.7
American Tobacco Campus,8.2
American Village,11.9
Anderson St. / Wrightwood Park,31.7
Archer Woods,23.6
Arrowhead,5.7
Artisan at Brightleaf,6.6
Ashley Forest,8.4
Ashton Hall,-0.7
Auburn Hills,3.6
Auburn Park,-1.1
Auburn Square,-5.6
Audubon Park,6.2
Autumn Ridge,-2.8
Bahama,11.2
Barclay to Sandlewood,7.6
Belcrest,3.3
Bennet Place,14.1
Bent Creek / Woodberry Forest,4.9
Bluffs of the Eno,11.5
Bon Air Avenue,37
Bradbury Glen,8.6
Bradbury Trace,7.7
Bragtown,12.3
Brandon Ridge,208.2
Brightleaf at the Park,2.8
Brightwood Trails,11.7
Brookstown,117.2
Buck Crossing,12.4
Burch Avenue,93.4
Cameron Woods,-0.5
Cardinal Lake,2.5
Carillon Forest,-12
Carolina Arbors,389.7
Central Park,49.8
Chancellor's Ridge,5.1
Chapel Hill Road,19
Chelsea Meadows,1.5
Cleveland-Holloway,67.7
Colchester,-12
Cole Mill Road,5
Coles Pond,0.6
College View,2.4
Colonial Village,29
Colony Park,23.9
Colony Woods,1.7
Colvard Farms,78.5
Copper Creek,0.7
Country Club Heights,-0.2
Cranford Road,22.6
Crest Street,39.4
Croasdaile,-4.9
Croasdaile Farm,7.6
Croasdaile Village,40.4
Crooked Creek,2.7
Cross Timbers,1.7
Crown Point,-12.7
Darby Glen,2.9
Deer Forest,4
Dixon Road Area,21.1
Downing Creek,-0.1
Downtown,21.8
Duke East Campus,2.7
Duke Forest,25.9
Duke Homestead,2.9
Duke Manor Apartments,23.4
Duke Park,31.6
Duke West Campus,1.3
Eagle's Pointe,3.9
Eastway Village,-8.1
Eastwood Park,12.6
Edgemont,14.8
Elm Grove,-7.8
Emorywood Estates,-1.9
Eno Commons,1.4
Eno Trace,11.4
Everwood,3.2
Fairfield,6.9
Falconbridge,5.4
Fieldstone by the Eno,8.9
Five Oaks,-1.2
Five Oaks 4100,11.2
Folkstone,16.6
Forest Acres,31.8
Forest Hills,25.2
Forest Oaks,-6.4
Fortune's Ridge,12.5
Fox Run,6.7
Franklin Village,13.6
Garret Farms - Porchlight / Hartley,11.5
Gatewood Forest,-1.2
Glennstone,-2.8
Golden Belt,92.9
Grande Park,11
Green Mill,-1.5
Grove Park,2.8
Heather Glen,14
Highgate,37.1
Hillandale Commons,8.2
Holston Meadows,-23.3
Homeplace I,7.3
Homeplace II,10.1
Hope Valley,6.4
Hope Valley Downs,-9
Hope Valley Farms,8.9
Hope Valley Farms North,7.7
Hope Valley Forest,15.6
Hope Valley Green,3.9
Hope Valley North,7.4
Horton Hills,17.7
Huckleberry Heights,48.3
Huntington Ridge,-5.1
Inverness Drive,16.2
Knollwood,11.4
Lake Park,11.5
Lakehurst,0.8
Lakewood Park,19.3
Landon Farms,-7.5
Latta Woods,-6.9
Lattamoor,9.2
Lochaven Hills,20.4
Lochn'ora,9
Lochside,0.6
Long Meadow,34.2
Lyon Park,36.7
Marbry Landing,0.5
Mary Dell,14.6
Meadows of Pagehurst,6.6
Merrick Moore,0.2
Milan Woods,5.2
Morehead Hill,30.2
Myers Park/Beechgrove,2.8
Nancy Rhodes Creek,32
Newhall Village,4.3
North Carolina Central University,-12.9
North Durham Community,10.7
Northeast Hills,5.4
Northgate Park,11.7
Oak Grove Community,4.9
Oakhaven,13.5
Oakhurst,4.4
Old East Durham,10.9
Old Farm,1.7
Old Five Points,43.2
Old North Durham,47.4
Old West Durham,28.3
Omah Street,4.5
Orchard Ridge,1.6
Orchid Court,7.7
Pagehurst,4.7
Parc at University,27
Park Ridge,46.1
Parkside,35.9
Parkwood,6.3
Penrith,11.4
Pine Valley,4.7
Placid Valley,18
Pleasant Drive,13.8
Preston Avenue,2.2
Preston Woods,14.4
Providence Ridge,10.6
Ravenstone,-1
Ridgefield,-2
Rigsbee Hill,37.1
River Forest,8.1
River's Edge,-12.4
Rockwood,11.9
Rougemont,12.8
Rustica Oaks,318.8
Scarsdale Village,0
Sheridan Drive,-18
Solterra,20.2
South Terrace at Auburn,26.8
Southampton,-9.3
Southpoint Manor,2
Southside / St. Teresa,36.8
Spring Valley,7.8
Stadium Heights,0.6
Stephen's Woods,8.5
Sterling Ridge,-6.5
Stillwood,-2.3
Stirrup Creek,6.2
Stonehill Estates,3.4
Stratford Lakes,0
Summer Meadow,0.9
Sunningdale,7.8
Surrey Green,17.2
Swallows Ridge,10.4
Swann's Mill,-4
Taylor Estates,-1.5
Thaxton,0.2
The Hills at Southpoint,10.5
The Landing at Southpoint,
Townes at Brier Creek Crossing,331.8
Treyburn,-7.1
Trinity Commons,2.9
Trinity Heights,30
Trinity Park,30.8
Trotter Ridge,-2.6
Tuscaloosa-Lakewood,24.9
Urban 900,35.6
Valley Run,10.1
Valleybrook,10.3
Vantage Pointe,1.7
Walden Pond,1.6
Walltown,32.2
Warehouse District,23.6
Waterford,1.3
Watts Hospital-Hillandale,27.1
Welcome Circle,16.6
Wellington Forest,4.1
Wellington Forest,4.1
Wellons Village,1.8
West End,35.1
West Hills,38.5
West Murray / Broad,8.6
Westgate Townes,5.1
Westwood Estates,14.3
Whitney Park,7.9
Willow Hill,9.3
Willowhaven,1.3
Windsor Oaks,11.4
Woodcroft,8.2
Woodlake,8
Woodstone at Croasdaile Farm,21.1
Woodwinds,-0.5
Wynstead,4.1
Wynterfield,-4.5
