id,y_2012,y_2013,y_2014,y_2015,y_2016
Abercromby,12900,,,1000,
Abron Drive,,,7200,38500,19995
Albright,15000,256944,20180,155960,760558
Amberlynn Valley,,,,,
American Tobacco Campus,14883,,15248218,191000,71532
American Village,1918572,45550,113897,648699,242225
Anderson St. / Wrightwood Park,111800,600355,1339060,946370,920455
Archer Woods,77860,22500,43681,4200,6000
Arrowhead,2066864,1704714,826600,2218545,2525571
Artisan at Brightleaf,,,,,
Ashley Forest,28800,6950,3914,35860,25540
Ashton Hall,20139017,10564590,1927576,350185,2000
Auburn Hills,49633,5000,2500,28800,6175
Auburn Park,,640596,1631970,,1796516
Auburn Square,,,26000,,1674294
Audubon Park,15000,30300,,61700,60947
Autumn Ridge,10175,20350,36814,19000,9850
Bahama,,,,24000,
Barclay to Sandlewood,78997,8900,49350,143755,165168
Belcrest,768601,,24878,1895,16500
Bennet Place,,38757,14000,,79100
Bent Creek / Woodberry Forest,245554,58000,67683,712208,136750
Bluffs of the Eno,6000,17891,4779,,
Bon Air Avenue,25161,17500,,112400,1200
Bradbury Glen,,,2800,,
Bradbury Trace,,,,,9000
Bragtown,52500,135439,65700,19900,12100
Brandon Ridge,,46072,,,
Brightleaf at the Park,12825136,14995893,14903238,7725337,10582428
Brightwood Trails,1208036,5651365,7468930,3499071,2149559
Brookstown,,34000,,,
Buck Crossing,14435,,93834,,20000
Burch Avenue,226488,323696,1112081,221950,1065695
Cameron Woods,24097,,90870,13000,5960
Cardinal Lake,2078600,3839578,,418520,153554
Carillon Forest,3506040,46389,77300,249600,30500
Carolina Arbors,,24901975,38980661,42638875,12299985
Central Park,135986,,23949553,27751355,22258959
Chancellor's Ridge,86616,62776,73627,64550,102195
Chapel Hill Road,,53800,18400,,23200
Chelsea Meadows,,5725,47750,12000,
Cleveland-Holloway,715479,783777,1419678,1164517,2846391
Colchester,,,,,
Cole Mill Road,56550,261694,75464,183524,859104
Coles Pond,,,4200,7500,
College View,84618,6907,93837,451608,365487
Colonial Village,13950,412144,590762,199425,161810
Colony Park,54730,569505,208930,1236686,261901
Colony Woods,,,,,
Colvard Farms,2609364,1746193,3155724,3356142,529832
Copper Creek,,,,,
Country Club Heights,26800,59302,64865,154625,76535
Cranford Road,38601,415300,17634,469719,
Crest Street,2400,,3200,19009,
Croasdaile,354275,577516,389110,1378439,1889977
Croasdaile Farm,956746,9511057,13351412,21153393,8618707
Croasdaile Village,,,,,
Crooked Creek,7000,49000,5450,27755,15500
Cross Timbers,,2200,7000,,5700
Crown Point,10700,,,,25700
Darby Glen,,,,,
Deer Forest,,,508935,33800,286496
Dixon Road Area,355409,418836,297795,446478,661298
Downing Creek,120501,502715,40650,158742,152499
Downtown,211465,19577675,4009082,847847,35197688
Duke East Campus,1937352,6324315,3559,2079323,15963056
Duke Forest,1371074,840456,916203,1767365,1094746
Duke Homestead,3250,34868,17700,32819,5150
Duke Manor Apartments,,65008,1959,,21000
Duke Park,940263,420014,1370003,630043,818649
Duke West Campus,1163733,18265501,568677,15581631,65182878
Eagle's Pointe,435544,506019,549516,29149,138396
Eastway Village,,,,,
Eastwood Park,,,,,
Edgemont,5438788,213124,2081800,1594431,1553249
Elm Grove,73967,,,,
Emorywood Estates,6875,23101,16836,314886,340188
Eno Commons,,,,,
Eno Trace,73653,94475,12840,7600,127581
Everwood,3821900,4724794,255028,,22849
Fairfield,4726278,7820366,5089610,3802997,1648714
Falconbridge,333044,251987,388200,694471,342812
Fieldstone by the Eno,233875,75100,24509,89220,221407
Five Oaks,97461,164686,4500,3050,27550
Five Oaks 4100,12636,22760,,24500,74450
Folkstone,61454,,25000,18000,22300
Forest Acres,68000,,,8000,123893
Forest Hills,1780987,2384944,2575932,1152210,1150112
Forest Oaks,,,,,7500
Fortune's Ridge,77444,481542,15150,92650,26800
Fox Run,,17244,,6000,42000
Franklin Village,90816,,,,
Garret Farms - Porchlight / Hartley,,20220,,23515,
Gatewood Forest,,,,,3500
Glennstone,899450,1363890,4383552,959419,6500
Golden Belt,338145,39525,,100056,413600
Grande Park,,,8350,2965,15400
Green Mill,,27675,,77108,61043
Grove Park,1828960,2251620,157395,446970,263392
Heather Glen,139788,82250,128975,71100,98140
Highgate,,,,,
Hillandale Commons,14900,,2000,,53901
Holston Meadows,10925,,,,
Homeplace I,,,,,
Homeplace II,,,,,
Hope Valley,6371779,6670688,6167415,7223774,9231897
Hope Valley Downs,9500,232500,800318,,143876
Hope Valley Farms,975526,383339,123017,247577,121425
Hope Valley Farms North,203258,68368,39021,21262,81650
Hope Valley Forest,129390,157736,225704,341300,218131
Hope Valley Green,14870,,47302,,33245
Hope Valley North,44568,23682,18464,9000,62750
Horton Hills,5225,93154,25000,,
Huckleberry Heights,366600,123272,,76051,
Huntington Ridge,30225,20800,,1300,4600
Inverness Drive,150000,67000,,95335,1394454
Knollwood,300,,6800,5000,3319
Lake Park,10950,105738,5434,15000,43000
Lakehurst,2700,77900,36417,84000,152079
Lakewood Park,1312462,466775,435500,628726,696100
Landon Farms,88000,,1154293,2304240,4103739
Latta Woods,,,3550,,
Lattamoor,20100,500,,20000,5400
Lochaven Hills,149894,61400,227384,101429,44160
Lochn'ora,796567,255160,100120,30365,174167
Lochside,2640,,728500,4500,17886
Long Meadow,69556,769641,1351614,638420,765763
Lyon Park,85664,254114,158490,935402,750390
Marbry Landing,,14400,5013,1000,
Mary Dell,117444,262890,145776,43300,98700
Meadows of Pagehurst,,,13500,3200,
Merrick Moore,,8000,,85900,21000
Milan Woods,6589,194062,600,12775,34829
Morehead Hill,976806,35175106,2121060,757668,1175366
Myers Park/Beechgrove,310052,737598,62317,219759,1375756
Nancy Rhodes Creek,2500,336792,568850,259299,490077
Newhall Village,,,8237,,
North Carolina Central University,2800,,,,67200
North Durham Community,164489,99700,286751,63885,163938
Northeast Hills,31700,2400,120410,278894,784240
Northgate Park,138322,403685,583050,1675117,1787712
Oak Grove Community,49700,569460,,28500,433876
Oakhaven,,,,19600,265254
Oakhurst,581807,6000,,11150,26600
Old East Durham,810245,1041411,1785482,1772499,2555739
Old Farm,77980,46035,68667,100783,932866
Old Five Points,,,,375000,140956
Old North Durham,2278367,2007626,2488563,3204169,3507430
Old West Durham,45937474,28740806,21658802,3263271,1964553
Omah Street,212496,67931,263392,1364792,656324
Orchard Ridge,7838568,4468112,493284,2358677,1722644
Orchid Court,13500,,,,
Pagehurst,,,,,
Parc at University,,,,,
Park Ridge,,,,,
Parkside,,14000,,7000,200000
Parkwood,177263,125587,208795,122559,307621
Penrith,66277,365408,777122,244740,67040
Pine Valley,84314,6000,109580,21500,92704
Placid Valley,162164,38500,,51840,
Pleasant Drive,,5700,154100,12000,37870
Preston Avenue,50,,,,
Preston Woods,12100,133000,155830,102833,126650
Providence Ridge,24000,,,24485,20540
Ravenstone,3968784,1374354,1800,537476,8405402
Ridgefield,7000,8081,611556,,9300
Rigsbee Hill,,132369,337564,,56170
River Forest,,4000,26547,7101,
River's Edge,,476434,1081730,9650,18500
Rockwood,157899,29541,76872,103800,253234
Rougemont,30500,43412,71948,201700,48780
Rustica Oaks,,4047569,8132420,6681205,15750
Scarsdale Village,55660,11462,159685,251960,247628
Sheridan Drive,190000,23000,,240644,34100
Solterra,430911,284678,29000,22800,105310
South Terrace at Auburn,,,,,
Southampton,2538,38000,66000,5200,46327
Southpoint Manor,375537,72410,12000,83939,23000
Southside / St. Teresa,274146,971516,6229584,4565936,5545803
Spring Valley,20000,56347,28999,187003,219042
Stadium Heights,81176,19368,136500,270890,75379
Stephen's Woods,21295,118274,,,50096
Sterling Ridge,15050,,3000,31600,361129
Stillwood,,,2773,,
Stirrup Creek,,37380,5000,,5750
Stonehill Estates,28874,4500,18500,7656,8500
Stratford Lakes,,,,,
Summer Meadow,1500,8000,,,
Sunningdale,68800,,,264700,50800
Surrey Green,54703,203000,319300,129400,418800
Swallows Ridge,,,,17800,
Swann's Mill,4420204,4218318,26485,,
Taylor Estates,,,,,
Thaxton,686730,257202,24900,,
The Hills at Southpoint,6250069,7619978,4997989,548917,3314390
The Landing at Southpoint,,,,,
Townes at Brier Creek Crossing,,,3935182,8112416,1214040
Treyburn,4081185,9578129,3142767,6067804,3980617
Trinity Commons,,,,,
Trinity Heights,420268,222038,405100,894568,773677
Trinity Park,2535845,16687579,2846114,2291464,2986034
Trotter Ridge,142964,68054,183984,20175,173383
Tuscaloosa-Lakewood,234840,41885,404844,625036,363468
Urban 900,110002,174835,277700,91000,29000
Valley Run,1000,7400,,,
Valleybrook,621525,102790,11000,107647,573401
Vantage Pointe,35284,823962,33297,24900,15350
Walden Pond,113313,,20196,,
Walltown,118716,522892,1699480,1375381,1281822
Warehouse District,22564,18099512,308372,31500,461366
Waterford,11400,206328,119225,187244,170722
Watts Hospital-Hillandale,1626709,2406814,3509888,2937835,3338711
Welcome Circle,,50200,129409,25000,86000
Wellington Forest,101500,57763,48476,61636,51650
Wellington Forest,101500,57763,48476,61636,51650
Wellons Village,46995,112950,,9300,5000
West End,405587,775813,137643,1588021,499751
West Hills,280258,21176,38100,667367,109540
West Murray / Broad,,101772,,,127126
Westgate Townes,16000,,,,
Westwood Estates,45808,52550,194009,206243,153484
Whitney Park,,,,,34900
Willow Hill,7000,36000,152723,,3219
Willowhaven,350946,350000,126718,153325,1626815
Windsor Oaks,8635,,40595,98175,34525
Woodcroft,309289,505272,266824,293573,944628
Woodlake,248085,55403,217974,162716,347193
Woodstone at Croasdaile Farm,,,,,
Woodwinds,13000,21823,,,3800
Wynstead,,,,10000,
Wynterfield,2832356,3000,,,
