id,y_2013,y_2014,y_2015,y_2016
Abercromby,148,148,148,148
Abron Drive,0,0,0,0
Albright,7358,7358,7358,7358
Amberlynn Valley,2200,2200,2200,2200
American Tobacco Campus,8953,8730,8730,8730
American Village,8503,10288,10288,10288
Anderson St. / Wrightwood Park,16963,16963,16963,16963
Archer Woods,0,0,0,0
Arrowhead,0,0,0,0
Artisan at Brightleaf,,748,748,748
Ashley Forest,0,0,0,0
Ashton Hall,6645,12892,12892,12892
Auburn Hills,10668,10668,10668,10668
Auburn Park,3974,3974,3974,3974
Auburn Square,2245,2245,2245,2245
Audubon Park,9076,9076,9076,9076
Autumn Ridge,6442,6563,6563,6563
Bahama,,,,
Barclay to Sandlewood,,,,
Belcrest,2703,2887,2887,2887
Bennet Place,0,0,0,0
Bent Creek / Woodberry Forest,6649,6649,6649,6649
Bluffs of the Eno,0,0,0,0
Bon Air Avenue,390,390,390,390
Bradbury Glen,3887,3887,3887,3887
Bradbury Trace,7326,7326,7326,7326
Bragtown,20425,20419,20419,20419
Brandon Ridge,0,0,0,0
Brightleaf at the Park,29700,31704,31703,31703
Brightwood Trails,4175,4941,4941,4941
Brookstown,836,836,836,836
Buck Crossing,3269,3269,3269,3269
Burch Avenue,13920,13920,13920,13920
Cameron Woods,4065,4065,4065,4065
Cardinal Lake,10156,12764,12764,12764
Carillon Forest,14447,14523,14523,14523
Carolina Arbors,0,0,0,0
Central Park,20064,20064,20064,20064
Chancellor's Ridge,15724,15622,15622,15622
Chapel Hill Road,3992,3992,3992,3992
Chelsea Meadows,9311,9311,9311,9311
Cleveland-Holloway,33101,33153,33153,33153
Colchester,0,0,0,0
Cole Mill Road,4283,4283,4283,4283
Coles Pond,1602,1602,1602,1602
College View,41876,41876,41876,41876
Colonial Village,5272,5215,5215,5215
Colony Park,147,147,147,147
Colony Woods,,,,
Colvard Farms,,,,
Copper Creek,5969,5969,5969,5969
Country Club Heights,8280,7190,8154,8154
Cranford Road,753,753,753,753
Crest Street,4715,4715,4715,4715
Croasdaile,3751,3751,3751,3751
Croasdaile Farm,66683,65988,65988,65988
Croasdaile Village,18503,18468,18468,18468
Crooked Creek,8702,8658,8880,8880
Cross Timbers,799,799,799,799
Crown Point,0,0,0,0
Darby Glen,973,973,973,973
Deer Forest,,,,
Dixon Road Area,3941,3832,3832,3832
Downing Creek,4279,4279,4279,4279
Downtown,57277,57277,57277,57116
Duke East Campus,11929,12306,12306,12306
Duke Forest,15514,15514,15514,15514
Duke Homestead,3518,3518,3518,3518
Duke Manor Apartments,961,961,961,961
Duke Park,25528,25528,25528,25528
Duke West Campus,88898,88778,89000,88778
Eagle's Pointe,10064,10064,10064,10064
Eastway Village,3555,3555,3555,3555
Eastwood Park,100,100,100,100
Edgemont,21824,22010,22010,22010
Elm Grove,5881,5881,5881,5881
Emorywood Estates,5538,5538,5538,5538
Eno Commons,0,0,0,0
Eno Trace,0,0,0,0
Everwood,1528,3189,3189,3189
Fairfield,586,304,304,304
Falconbridge,2120,2120,2120,2120
Fieldstone by the Eno,5873,5873,5873,5873
Five Oaks,368,368,368,368
Five Oaks 4100,0,0,0,0
Folkstone,0,0,0,0
Forest Acres,0,0,0,0
Forest Hills,15563,15563,15563,15563
Forest Oaks,0,0,0,0
Fortune's Ridge,0,0,0,0
Fox Run,,,,
Franklin Village,8534,8534,8534,8534
Garret Farms - Porchlight / Hartley,0,0,0,0
Gatewood Forest,3003,2592,2592,2592
Glennstone,5295,6960,6960,6960
Golden Belt,5845,5845,5845,5845
Grande Park,5309,5275,5275,5275
Green Mill,0,0,0,0
Grove Park,32161,31436,31026,31436
Heather Glen,,,,
Highgate,1094,1094,1094,1094
Hillandale Commons,751,751,751,751
Holston Meadows,968,968,968,968
Homeplace I,742,742,742,742
Homeplace II,669,669,669,669
Hope Valley,8612,8612,8612,8612
Hope Valley Downs,4471,4471,4471,4471
Hope Valley Farms,20373,21015,21015,21015
Hope Valley Farms North,22607,22367,22367,22367
Hope Valley Forest,3618,3618,3618,3618
Hope Valley Green,2815,2815,2815,2815
Hope Valley North,0,0,0,0
Horton Hills,7075,7075,7075,7075
Huckleberry Heights,4889,4889,4889,4889
Huntington Ridge,5373,5381,5381,5381
Inverness Drive,,,,
Knollwood,316,316,316,316
Lake Park,0,0,0,0
Lakehurst,7471,6093,6657,6673
Lakewood Park,7681,7681,7681,7681
Landon Farms,12740,12866,12866,12866
Latta Woods,1846,1846,1846,1846
Lattamoor,1753,1753,1753,1753
Lochaven Hills,0,0,0,0
Lochn'ora,326,197,0,197
Lochside,12036,12036,12036,12036
Long Meadow,523,523,523,523
Lyon Park,6827,6979,6979,6979
Marbry Landing,3488,3488,3488,3488
Mary Dell,0,0,0,0
Meadows of Pagehurst,8128,7912,7912,7912
Merrick Moore,960,960,960,960
Milan Woods,771,771,771,771
Morehead Hill,30300,30300,30300,30300
Myers Park/Beechgrove,13555,13555,13555,13555
Nancy Rhodes Creek,543,303,303,303
Newhall Village,0,0,0,0
North Carolina Central University,18938,18938,18938,18938
North Durham Community,440,440,440,440
Northeast Hills,990,990,990,990
Northgate Park,25158,25158,25158,25158
Oak Grove Community,1440,851,552,851
Oakhaven,2980,2979,2979,2979
Oakhurst,4345,3051,3615,3617
Old East Durham,48946,48725,48725,48725
Old Farm,2693,2693,2693,2693
Old Five Points,4095,4095,4095,4095
Old North Durham,45202,45883,45883,45883
Old West Durham,53807,53807,53807,53807
Omah Street,22637,22155,22155,22155
Orchard Ridge,3928,4326,4326,4326
Orchid Court,0,0,0,0
Pagehurst,732,499,499,499
Parc at University,2312,2312,2312,2312
Park Ridge,0,0,0,0
Parkside,0,0,0,0
Parkwood,20020,20020,20020,20020
Penrith,7252,7252,7252,7252
Pine Valley,532,532,532,532
Placid Valley,,,,
Pleasant Drive,0,0,0,0
Preston Avenue,0,0,0,0
Preston Woods,517,517,517,517
Providence Ridge,964,964,964,964
Ravenstone,14050,16598,16598,16581
Ridgefield,15143,14962,14962,14962
Rigsbee Hill,824,824,824,824
River Forest,616,616,616,616
River's Edge,2255,2260,2260,2260
Rockwood,1785,1785,1785,1785
Rougemont,,,,
Rustica Oaks,0,555,555,555
Scarsdale Village,7945,7945,7945,7945
Sheridan Drive,1524,1524,1524,1524
Solterra,1018,898,898,898
South Terrace at Auburn,1879,1879,1879,1879
Southampton,3492,3492,3492,3492
Southpoint Manor,5556,5556,5556,5556
Southside / St. Teresa,16953,16778,16778,16778
Spring Valley,0,0,0,0
Stadium Heights,13686,15202,15202,15202
Stephen's Woods,0,0,0,0
Sterling Ridge,708,708,708,708
Stillwood,3909,3907,3907,3907
Stirrup Creek,0,0,0,0
Stonehill Estates,13376,13374,13374,13374
Stratford Lakes,3859,3859,3859,3859
Summer Meadow,11479,11479,11479,11479
Sunningdale,2101,2101,2101,2101
Surrey Green,0,0,0,0
Swallows Ridge,0,0,0,0
Swann's Mill,13085,14047,14047,14047
Taylor Estates,5296,5296,5296,5296
Thaxton,11027,11027,11027,11027
The Hills at Southpoint,7748,10080,10080,10080
The Landing at Southpoint,177,177,177,177
Townes at Brier Creek Crossing,0,0,0,0
Treyburn,41079,40421,40727,40727
Trinity Commons,856,856,856,856
Trinity Heights,10951,10951,10951,10951
Trinity Park,64144,64521,64521,64521
Trotter Ridge,0,0,0,0
Tuscaloosa-Lakewood,4523,4523,4523,4523
Urban 900,1643,1643,1643,1643
Valley Run,2759,2759,2759,2759
Valleybrook,957,957,957,957
Vantage Pointe,0,0,0,0
Walden Pond,0,0,0,0
Walltown,53909,53909,53909,53909
Warehouse District,19454,19758,19758,19758
Waterford,9516,9516,9516,9516
Watts Hospital-Hillandale,36552,37291,37291,37034
Welcome Circle,0,0,0,0
Wellington Forest,6959,6505,6505,7014
Wellington Forest,6582,6460,6460,6582
Wellons Village,7683,7683,7683,7683
West End,13020,13020,13020,13020
West Hills,1530,1524,1517,1517
West Murray / Broad,0,0,0,0
Westgate Townes,0,0,0,0
Westwood Estates,0,0,0,0
Whitney Park,0,0,0,0
Willow Hill,,,,
Willowhaven,,,,
Windsor Oaks,262,262,262,262
Woodcroft,14329,14329,14329,14329
Woodlake,15241,15227,15227,15227
Woodstone at Croasdaile Farm,5213,5213,5213,5213
Woodwinds,0,0,0,0
Wynstead,3185,3185,3185,3185
Wynterfield,10168,10168,10168,10168
