id,y_2012,y_2013,y_2014,y_2015,y_2016
Abercromby,0,2,1,1,2
Abron Drive,,,,,
Albright,52,46,43,52,53
Amberlynn Valley,3,7,4,8,9
American Tobacco Campus,5,6,2,3,4
American Village,1,3,1,2,1
Anderson St. / Wrightwood Park,16,14,22,15,15
Archer Woods,1,0,1,0,0
Arrowhead,0,0,0,0,0
Artisan at Brightleaf,0,1,1,1,2
Ashley Forest,0,0,2,0,0
Ashton Hall,1,3,0,5,1
Auburn Hills,0,1,1,1,0
Auburn Park,0,0,0,1,0
Auburn Square,1,0,1,0,1
Audubon Park,0,0,1,0,2
Autumn Ridge,1,0,1,2,1
Bahama,0,1,0,0,0
Barclay to Sandlewood,2,3,3,4,2
Belcrest,,,,,
Bennet Place,1,1,0,1,0
Bent Creek / Woodberry Forest,0,0,0,1,0
Bluffs of the Eno,1,,,,
Bon Air Avenue,,,,,
Bradbury Glen,0,0,0,1,0
Bradbury Trace,0,1,0,0,1
Bragtown,36,21,35,41,49
Brandon Ridge,0,1,0,3,1
Brightleaf at the Park,1,1,1,2,3
Brightwood Trails,0,0,2,1,0
Brookstown,1,1,0,2,0
Buck Crossing,,,,,
Burch Avenue,11,5,3,7,4
Cameron Woods,,,,,
Cardinal Lake,2,6,2,0,3
Carillon Forest,0,1,0,0,0
Carolina Arbors,,,,,
Central Park,12,10,6,10,11
Chancellor's Ridge,0,0,0,1,3
Chapel Hill Road,2,9,7,6,12
Chelsea Meadows,0,1,2,0,0
Cleveland-Holloway,52,51,46,39,45
Colchester,,,,,
Cole Mill Road,1,1,4,1,3
Coles Pond,,,,,
College View,93,66,87,92,99
Colonial Village,25,18,17,11,20
Colony Park,4,1,0,0,0
Colony Woods,,,,,
Colvard Farms,,,,,
Copper Creek,0,1,0,1,0
Country Club Heights,0,1,2,0,0
Cranford Road,,,,,
Crest Street,14,17,12,20,11
Croasdaile,0,0,0,1,0
Croasdaile Farm,1,0,0,0,3
Croasdaile Village,0,0,0,1,0
Crooked Creek,10,5,8,9,14
Cross Timbers,,,,,
Crown Point,1,5,1,6,6
Darby Glen,1,0,0,4,2
Deer Forest,0,0,0,0,0
Dixon Road Area,1,3,0,0,1
Downing Creek,1,0,1,0,1
Downtown,64,38,60,56,71
Duke East Campus,3,1,2,0,2
Duke Forest,3,2,3,0,3
Duke Homestead,8,5,4,5,2
Duke Manor Apartments,41,33,29,29,16
Duke Park,37,31,33,26,41
Duke West Campus,12,9,9,14,7
Eagle's Pointe,0,0,0,1,0
Eastway Village,0,0,3,1,2
Eastwood Park,,,,,
Edgemont,34,53,37,57,62
Elm Grove,0,0,1,0,0
Emorywood Estates,2,1,3,1,2
Eno Commons,,,,,
Eno Trace,3,0,3,3,4
Everwood,0,0,0,0,2
Fairfield,1,0,1,0,1
Falconbridge,1,0,0,1,2
Fieldstone by the Eno,1,0,1,0,3
Five Oaks,1,0,0,1,0
Five Oaks 4100,1,0,1,0,1
Folkstone,0,1,0,0,0
Forest Acres,,,,,
Forest Hills,15,5,5,4,10
Forest Oaks,1,0,0,2,0
Fortune's Ridge,,0,0,0,2
Fox Run,0,0,1,0,0
Franklin Village,7,7,18,5,11
Garret Farms - Porchlight / Hartley,,,,,
Gatewood Forest,1,1,1,1,3
Glennstone,5,1,2,2,4
Golden Belt,9,10,9,5,8
Grande Park,1,,,,
Green Mill,,,,,
Grove Park,10,12,12,13,12
Heather Glen,0,0,0,0,0
Highgate,1,2,0,1,1
Hillandale Commons,,,,,
Holston Meadows,,,,,
Homeplace I,0,2,1,0,1
Homeplace II,,,,,
Hope Valley,5,3,2,2,4
Hope Valley Downs,0,0,0,1,1
Hope Valley Farms,1,2,3,0,6
Hope Valley Farms North,0,1,2,0,3
Hope Valley Forest,1,4,1,1,6
Hope Valley Green,,,,,
Hope Valley North,1,0,0,5,0
Horton Hills,1,3,2,4,1
Huckleberry Heights,0,2,0,0,0
Huntington Ridge,0,1,1,1,0
Inverness Drive,0,0,1,0,0
Knollwood,0,0,1,0,0
Lake Park,2,0,0,0,0
Lakehurst,0,1,1,0,0
Lakewood Park,52,51,57,62,51
Landon Farms,5,9,7,10,7
Latta Woods,,,,,
Lattamoor,0,0,0,1,0
Lochaven Hills,2,,,,
Lochn'ora,1,1,1,0,1
Lochside,0,1,1,3,1
Long Meadow,3,2,2,5,3
Lyon Park,13,21,17,30,29
Marbry Landing,1,0,1,0,1
Mary Dell,0,0,0,1,0
Meadows of Pagehurst,1,0,8,2,1
Merrick Moore,1,0,4,6,2
Milan Woods,2,2,4,4,2
Morehead Hill,9,7,9,8,9
Myers Park/Beechgrove,0,1,0,2,1
Nancy Rhodes Creek,0,1,0,0,1
Newhall Village,,,,,
North Carolina Central University,2,7,5,8,3
North Durham Community,3,0,3,1,0
Northeast Hills,10,6,2,7,4
Northgate Park,22,17,13,19,23
Oak Grove Community,0,0,0,0,0
Oakhaven,,,,,
Oakhurst,,,,,
Old East Durham,100,85,90,104,102
Old Farm,23,30,30,40,26
Old Five Points,2,6,5,0,1
Old North Durham,46,51,35,33,38
Old West Durham,35,24,21,24,30
Omah Street,34,27,26,22,24
Orchard Ridge,0,0,0,1,1
Orchid Court,,,,,
Pagehurst,,0,0,0,2
Parc at University,0,1,0,1,1
Park Ridge,2,1,5,3,4
Parkside,2,2,0,1,3
Parkwood,7,2,10,12,16
Penrith,8,13,9,10,12
Pine Valley,1,1,0,2,1
Placid Valley,,,,,
Pleasant Drive,9,8,6,9,5
Preston Avenue,2,1,1,1,0
Preston Woods,2,1,2,0,1
Providence Ridge,,,,,
Ravenstone,5,2,4,3,5
Ridgefield,4,6,6,7,7
Rigsbee Hill,0,0,0,1,0
River Forest,3,2,2,5,3
River's Edge,,0,0,0,1
Rockwood,7,10,11,18,15
Rougemont,2,0,1,1,0
Rustica Oaks,,,,,
Scarsdale Village,34,30,28,31,33
Sheridan Drive,0,1,1,0,0
Solterra,,0,0,1,1
South Terrace at Auburn,1,3,4,4,9
Southampton,,,,,
Southpoint Manor,0,1,0,1,0
Southside / St. Teresa,40,34,54,37,40
Spring Valley,1,1,1,0,0
Stadium Heights,26,19,26,19,21
Stephen's Woods,0,0,1,0,0
Sterling Ridge,,,,,
Stillwood,1,2,1,1,1
Stirrup Creek,,,,,
Stonehill Estates,6,2,9,8,3
Stratford Lakes,,0,0,0,2
Summer Meadow,3,3,2,8,2
Sunningdale,0,0,1,0,0
Surrey Green,,0,0,0,1
Swallows Ridge,,,,,
Swann's Mill,9,5,5,14,8
Taylor Estates,2,3,1,0,2
Thaxton,0,1,0,0,0
The Hills at Southpoint,,0,0,0,1
The Landing at Southpoint,,,,,
Townes at Brier Creek Crossing,,,,,
Treyburn,1,4,1,3,1
Trinity Commons,1,2,1,1,2
Trinity Heights,5,2,3,1,2
Trinity Park,40,36,31,30,40
Trotter Ridge,1,0,0,1,0
Tuscaloosa-Lakewood,21,12,12,16,24
Urban 900,,0,0,0,1
Valley Run,0,0,0,1,1
Valleybrook,1,1,1,0,0
Vantage Pointe,1,1,0,1,1
Walden Pond,2,1,2,4,4
Walltown,42,32,26,39,34
Warehouse District,7,12,3,9,17
Waterford,1,0,2,0,0
Watts Hospital-Hillandale,18,29,28,32,41
Welcome Circle,,,,,
Wellington Forest,4,2,3,1,2
Wellons Village,37,40,52,55,62
West End,32,29,17,18,12
West Hills,4,1,3,1,6
West Murray / Broad,0,1,3,2,5
Westgate Townes,0,0,1,0,0
Westwood Estates,,,,,
Whitney Park,,,,,
Willow Hill,2,1,0,0,4
Willowhaven,1,0,1,0,0
Windsor Oaks,0,1,1,0,0
Woodcroft,9,5,3,5,6
Woodlake,2,3,6,6,3
Woodstone at Croasdaile Farm,0,0,0,0,1
Woodwinds,1,1,0,0,0
Wynstead,,,,,
Wynterfield,4,3,8,8,4
