id,y_2000,y_2010,y_2017
2,1047,1077,1167
3,4881,5494,6678
4,1347,935,999
5,140,52,52
6,469,241,317
7,1149,1137,1213
8,1130,1384,1486
9,382,384,509
10,1288,1079,1184
11,1985,2157,2685
12,1009,361,403
13,1961,1586,1457
14,1608,1020,1000
15,1837,1596,1764
16,2244,1450,1735
17,491,212,180
18,1738,2480,2682
19,3540,3070,3346
20,977,2287,2369
21,340,307,321
22,26,279,380
23,808,443,428
24,651,535,537
25,2372,2430,2492
26,2109,1680,1321
27,813,979,688
28,729,905,982
29,998,1031,1136
30,46,23,296
31,1583,1516,1592
32,271,246,225
33,606,178,138
34,929,578,1243
35,1068,1040,1301
36,2128,1804,2012
37,46,182,300
38,1827,1546,1417
39,902,683,777
40,320,294,339
41,1338,1081,1053
42,2234,1966,2559
43,1241,1142,1153
44,660,607,810
45,166,1272,1680
46,949,811,892
47,917,728,564
48,441,486,374
49,1090,960,766
50,775,390,434
51,92,592,1127
52,598,357,181
53,246,164,205
54,638,402,226
55,1709,1469,1315
56,567,522,662
57,406,210,398
58,439,262,150
59,1012,535,499
60,1540,1331,1206
61,411,520,453
62,2017,1853,2240
64,1321,1639,1418
65,250,832,522
66,1448,972,1205
67,57,206,437
68,1706,1329,813
69,909,1010,1114
70,30,24,38
71,435,292,209
72,360,615,767
73,1128,1311,1174
74,973,887,1027
75,75,1174,1025
76,870,1092,1102
77,269,1589,1716
78,804,793,994
79,120,49,20
80,355,799,420
81,581,601,641
82,32,743,1152
83,801,650,440
84,576,458,269
85,19,12,34
86,209,190,451
87,623,546,533
88,110,60,108
89,689,434,300
90,697,462,619
91,1256,824,1114
92,,658,660
93,604,214,259
94,46,39,14
95,501,570,719
96,834,921,906
97,1853,1931,1938
98,289,562,557
99,1231,947,1028
100,259,128,115
101,75,28,253
102,320,169,94
103,88,112,80
105,298,526,730
106,443,204,207
107,795,572,714
108,718,730,769
109,1038,1426,1472
110,751,968,830
111,269,562,744
112,685,631,608
113,708,869,1060
114,216,108,39
115,1014,2675,3433
116,291,371,789
117,429,476,450
118,1080,980,919
119,755,539,720
120,8,14,31
121,534,448,380
122,85,,0
123,60,43,3
