id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018
2,5,7,9,11,50,18,8,13
3,159,191,140,166,99,142,165,144
4,1,0,1,1,0,3,1,2
5,20,0,1,4,11,25,11,3
6,4,6,7,10,6,4,13,11
7,27,29,21,45,33,30,44,30
8,2,16,3,4,3,1,2,4
9,2,4,1,0,0,3,1,0
10,2,11,6,6,6,10,4,10
11,5,11,9,18,23,33,18,14
12,6,1,1,1,5,7,4,17
13,11,3,11,14,443,11,8,12
14,3,4,5,0,1,2,5,2
15,1,2,1,8,4,0,6,2
16,7,3,3,4,3,14,11,7
17,5,9,0,0,1,0,1,13
18,20,7,22,12,6,11,15,16
19,8,10,11,11,18,7,9,3
20,4,30,62,67,36,36,31,3
21,12,7,11,12,17,17,19,8
22,15,11,5,10,7,11,24,32
23,4,6,8,3,34,1,85,161
24,1,1,4,0,2,1,4,7
25,1,1,0,0,1,1,1,0
26,0,1,0,1,2,1,0,0
27,2,2,0,3,2,0,1,0
28,30,10,13,15,12,3,7,4
29,1,2,1,0,0,1,1,6
30,8,14,50,22,15,32,35,14
31,1,2,0,3,3,1,0,1
32,6,15,11,9,8,12,53,6
33,8,1,0,3,5,0,1,0
34,11,1,2,6,1,5,4,8
35,4,1,7,9,0,4,11,8
36,3,10,11,3,4,5,2,7
37,4,5,4,3,8,0,6,13
38,19,20,20,34,26,37,28,14
39,0,1,1,0,1,1,0,3
40,0,0,0,4,4,1,4,8
41,30,5,6,0,14,30,1,7
42,1,2,119,13,2,4,3,1
43,1,2,2,1,24,1,3,5
44,3,0,3,3,6,1,2,2
45,0,1,0,211,19,9,24,15
46,2,0,0,1,1,3,0,0
47,3,8,1,3,5,4,8,7
48,4,1,2,3,4,6,0,23
49,0,2,1,0,0,0,1,2
50,5,6,4,5,2,11,1,45
51,4,14,3,8,14,8,7,11
52,23,9,50,10,23,14,12,10
53,8,12,5,9,11,4,3,2
54,8,5,9,10,7,26,18,10
55,3,5,5,9,9,3,1,14
56,10,7,10,8,7,6,5,5
57,17,23,8,6,5,5,3,2
58,2,31,2,15,11,3,1,4
59,1,2,38,4,1,0,0,0
60,19,7,4,22,10,27,19,10
61,1,0,0,4,1,2,1,1
62,0,0,0,1,0,0,0,0
64,23,8,12,9,32,7,9,12
65,0,1,5,2,4,11,5,4
66,17,18,39,15,22,27,27,18
67,0,33,1,0,0,1,0,1
68,13,19,12,11,18,18,12,25
69,7,9,13,3,8,4,7,8
70,3,3,7,4,2,5,6,2
71,1,57,8,0,3,0,0,1
72,30,24,21,17,8,39,25,17
73,9,6,10,23,18,12,16,11
74,1,11,7,13,23,19,3,3
75,1,2,0,1,0,4,13,1
76,3,5,2,5,8,11,2,14
77,1,3,6,11,1,5,9,2
78,12,27,6,17,26,22,17,12
79,0,2,4,10,3,0,77,142
80,1,1,0,0,7,8,6,1
81,0,0,0,2,2,5,0,0
82,1,10,2,13,3,5,5,1
83,4,3,0,8,3,1,0,2
84,2,1,3,2,10,3,7,5
85,3,3,2,2,0,1,2,1
86,1,1,0,29,133,81,41,1
87,7,8,5,5,15,30,30,25
88,12,4,3,3,3,4,2,2
89,0,1,0,2,1,0,0,0
90,2,18,2,1,2,1,0,1
91,0,0,2,0,0,1,0,0
92,5,26,15,9,20,14,17,16
93,42,14,9,20,28,25,17,18
94,18,10,9,12,26,11,13,7
95,16,16,21,22,23,34,15,32
96,19,14,10,20,12,12,6,19
97,3,0,1,1,2,1,2,8
98,1,1,0,0,0,0,2,1
99,0,0,5,1,1,0,5,1
100,5,4,5,6,7,4,4,4
101,21,21,17,14,2,1,0,0
102,0,0,0,0,0,24,3,0
103,1,7,0,0,0,3,2,0
105,2,1,1,2,16,2,2,1
106,1,10,10,5,8,12,5,3
107,21,0,0,2,1,3,2,1
108,0,1,4,2,6,0,1,1
109,4,6,6,8,1,3,3,15
110,3,3,1,1,1,2,2,34
111,2,1,4,0,6,27,13,6
112,0,1,0,0,0,0,0,0
113,1,0,2,3,2,2,0,3
114,8,9,8,3,6,10,2,3
115,5,6,11,5,3,2,7,4
116,25,26,65,38,47,31,46,22
117,2,2,1,5,1,5,2,1
118,1,1,1,2,0,1,2,0
119,2,4,0,12,3,5,0,10
120,1,2,2,2,3,2,1,1
121,0,3,16,3,1,4,3,2
122,30,36,29,31,48,41,49,54
123,11,5,2,2,3,5,10,8
124,129,28,20,11,13,11,26,7
125,12,15,9,14,12,14,9,10
126,0,1,0,0,4,1,14,0
127,0,3,3,3,4,2,2,1
128,3,1,1,0,0,1,3,4
129,0,0,0,0,0,1,6,6
130,5,5,5,6,3,2,1,1
131,0,0,0,0,2,1,0,0
132,3,3,1,4,4,5,4,3
133,0,1,2,1,4,5,8,0
134,0,14,0,1,0,0,1,1
135,2,11,5,7,2,2,8,0
136,0,0,1,0,1,1,1,1
137,3,1,4,2,4,15,12,6
138,10,5,1,4,3,1,9,2
139,3,3,4,1,3,2,0,1
140,1,7,2,3,7,4,3,2
141,1,7,27,7,7,7,15,5
142,10,14,14,10,8,10,7,9
143,0,2,1,0,0,1,4,1
144,21,1,0,4,0,12,12,0
145,1,4,6,6,0,6,1,6
146,1,5,3,0,1,6,0,5
147,17,1,4,1,2,3,2,2
148,0,1,0,1,1,4,1,3
149,4,4,5,6,9,11,6,3
150,0,2,1,1,1,0,4,0
151,1,1,4,2,18,8,7,10
152,1,1,0,0,0,0,1,1
153,13,20,9,16,8,9,7,7
154,5,5,0,7,7,26,4,1
155,0,1,0,0,10,8,11,6
156,0,1,0,1,5,2,3,2
157,9,12,7,27,17,12,25,20
158,9,7,5,4,17,14,5,6
159,6,25,3,8,4,4,6,4
160,4,2,5,4,9,7,6,7
161,2,4,5,2,6,5,2,7
162,3,0,1,5,2,3,2,1
163,26,16,15,31,21,26,41,14
164,9,19,15,27,57,39,15,9
165,3,347,4,1,2,3,0,3
166,2,142,4,1,3,2,1,2
167,1,0,1,3,0,0,18,1
168,2,2,1,0,1,1,1,2
169,2,0,39,21,1,2,1,0
170,3,3,4,9,1,10,8,7
171,8,17,13,14,14,17,16,12
172,11,5,5,5,10,7,18,53
173,0,0,1,2,1,1,5,3
174,13,25,13,40,38,52,38,39
175,0,2,2,0,0,0,2,0
176,0,1,0,1,1,1,0,1
177,0,0,0,0,3,1,3,0
178,61,80,76,70,80,59,75,73
179,2,1,4,4,2,5,1,0
180,1,3,0,1,3,12,2,1
181,6,7,3,6,1,6,1,6
182,10,10,9,5,11,21,9,4
183,0,175,0,0,110,0,1,0
184,0,0,0,2,1,1,1,15
185,4,24,4,0,7,77,268,2
186,3,5,4,2,9,4,7,2
187,0,1,5,4,3,3,4,0
188,0,1,0,0,3,0,6,7
189,0,69,101,15,0,3,4,3
190,1,9,6,6,5,8,2,1
191,49,0,0,0,0,0,1,0
192,4,3,7,3,4,20,41,9
193,15,10,7,8,1,7,13,13
194,4,4,7,8,4,6,3,3
195,1,0,31,0,2,0,3,8
196,1,0,1,1,1,6,5,3
197,4,0,1,0,1,3,2,6
198,1,4,12,10,3,1,16,1
199,7,18,6,9,12,16,11,9
200,9,7,4,2,2,9,3,10
201,2,1,3,1,1,0,2,0
202,2,5,1,0,0,2,0,1
203,2,7,4,0,1,2,0,3
204,10,10,5,6,4,18,21,7
205,0,0,0,0,1,0,0,0
206,0,0,1,0,0,0,0,0
207,27,29,20,13,22,28,19,19
208,2,1,1,1,3,0,0,1
209,1,2,29,16,3,7,2,9
210,8,8,8,9,26,8,33,7
211,0,0,1,0,0,0,1,0
212,15,124,10,49,17,47,21,23
213,20,33,65,65,71,48,45,46
215,0,3,1,0,2,0,0,2
216,1,1,0,1,0,2,4,0
217,3,0,0,0,3,0,1,1
218,1,8,2,2,2,7,2,0
219,15,20,16,20,27,32,45,106
220,2,3,0,2,0,3,3,1
221,2,2,8,2,2,1,1,3
222,1,1,0,0,0,0,0,0
223,1,1,1,1,2,0,0,1
224,0,1,2,2,1,5,7,0
225,0,0,0,1,5,2,1,0
226,0,1,2,2,0,0,1,3
227,1,0,1,0,1,0,0,0
228,0,1,1,0,0,1,1,11
229,1,1,0,4,0,1,0,0
230,2,0,3,1,1,3,4,2
231,3,19,3,3,14,12,7,5
232,1,1,1,1,4,8,25,7
233,9,15,23,19,25,23,33,16
234,4,9,3,4,6,9,3,14
235,0,3,0,3,0,2,0,2
236,17,9,18,33,5,10,2,5
237,3,1,8,6,3,1,1,11
238,1,4,0,3,0,2,4,2
240,2,5,2,4,4,2,3,16
241,1,2,4,2,0,1,1,1
242,0,0,1,3,0,0,0,0
243,0,0,0,0,1,0,0,0
244,0,0,1,1,0,1,0,1
245,2,4,0,2,0,0,3,1
246,2,13,27,2,2,6,6,3
247,2,1,2,0,0,5,5,2
248,88,1,0,1,7,8,2,2
249,99,2,2,2,1,0,12,8
250,1,0,1,0,0,1,5,4
251,0,1,0,0,0,1,0,0
252,0,0,0,0,0,1,0,0
253,23,68,24,40,48,54,39,33
254,23,41,46,62,48,38,38,43
255,117,43,3,2,2,11,2,13
256,5,4,8,10,5,7,29,5
257,16,9,22,17,8,11,11,6
258,3,5,1,1,0,2,3,0
259,0,0,2,1,1,0,1,0
260,19,25,11,13,17,15,9,17
261,0,1,2,1,3,0,0,1
262,0,3,1,16,3,0,2,4
263,1,2,0,1,0,1,2,1
264,1,30,0,2,1,1,0,1
265,1,0,0,0,1,0,2,1
266,2,3,3,1,2,3,0,0
267,48,29,11,15,4,5,11,4
268,0,2,0,0,1,0,0,1
269,4,3,2,3,5,3,7,1
270,4,1,1,1,2,0,1,0
271,0,0,0,1,0,0,0,1
272,2,4,8,10,18,19,10,1
273,0,1,0,1,0,1,3,0
274,1,4,1,2,11,4,1,3
275,0,0,1,3,2,6,3,2
276,0,2,1,2,3,6,1,4
277,2,9,0,0,1,1,3,1
278,1,1,1,1,2,1,1,3
279,0,0,0,1,0,0,0,0
280,20,3,10,14,13,15,19,27
281,4,8,5,3,5,3,2,2
282,1,2,1,0,0,0,0,2
283,0,2,0,0,3,1,0,1
284,2,0,6,1,3,29,53,48
285,33,62,35,35,48,59,48,59
286,6,9,6,11,15,1,16,17
287,38,55,41,61,70,66,57,36
288,10,4,0,3,1,0,2,4
289,3,4,4,15,8,13,5,19
290,37,25,24,32,44,60,26,52
291,0,0,1,2,0,24,10,1
292,19,18,2,2,0,6,18,2
293,2,2,1,0,0,0,6,1
294,1,6,4,4,1,1,4,1
295,5,1,1,2,2,1,2,0
296,1,0,0,0,0,0,1,0
297,0,0,0,0,0,0,0,0
298,7,32,26,18,10,32,19,18
299,1,6,4,4,4,8,6,3
300,52,53,37,16,18,13,12,20
301,0,0,0,0,1,0,1,1
302,2,2,5,0,1,3,1,0
303,7,9,69,10,14,12,30,8
304,22,29,2,7,2,3,1,4
305,1,1,2,0,0,2,0,1
306,15,20,22,14,25,41,13,28
307,6,10,29,5,1,3,4,6
308,0,5,5,2,0,2,4,0
309,3,0,0,3,1,0,1,2
310,0,4,1,3,5,8,0,4
311,3,1,2,2,7,2,2,0
312,16,2,1,8,1,0,0,3
313,5,13,2,11,4,7,22,10
314,5,5,4,55,2,4,0,3
315,8,9,11,8,11,9,18,11
316,9,12,23,7,12,9,5,0
317,0,1,0,2,1,0,1,0
318,2,2,2,7,3,1,0,1
319,5,13,4,3,5,13,12,6
320,1,14,5,3,2,0,3,6
321,1,2,1,2,1,2,2,0
322,0,0,0,0,0,0,1,0
323,2,2,1,1,0,9,3,3
324,0,1,2,0,0,0,0,1
325,0,4,2,0,2,2,3,0
326,2,0,0,0,0,1,2,3
327,0,2,1,3,1,18,2,4
328,5,2,2,3,4,3,4,6
329,2,3,0,2,0,9,1,0
330,2,2,0,0,1,3,0,0
331,17,34,51,29,35,26,34,27
332,3,0,1,0,0,0,0,0
333,0,1,0,1,1,0,12,1
