id,y_2011,y_2013,y_2015,y_2016,y_2017
2,0,0,0.3,1.9,0.3
3,3.6,5.8,4.2,4.6,4.6
4,1.6,1.6,1.6,1.6,0
5,0,0,0,0,0
6,,,,,
7,1.1,1.1,1.1,1.1,1.1
8,1.7,2.9,2.3,2.4,3
9,,,,,
10,,,,,
11,3.5,4.7,3.6,4.6,4.6
12,0,1.3,1.3,1.3,1.3
13,,,,,
14,0,0.6,0.6,0.6,0.6
15,1.8,1.8,1.8,1.8,1.8
16,2.1,2.1,2.1,2.1,2.1
17,0,0,0,0,0
18,2.6,2.6,2.9,2.9,2.6
19,0,4,4,4,4
20,0,0,0,0.2,0
21,0.8,2.2,2.2,0.8,0.3
22,0.7,3.3,3.2,1.2,0
23,1.4,1.7,1.4,1.7,1.7
24,,,,,
25,0,0,1.1,1.1,0
26,0,0,0,0,0
27,0,0,0,0,0
28,,,1.1,1.1,0
29,1.5,3,4.1,4.1,1.5
30,1.1,1.1,0,1.1,1.1
31,0,1.9,1.8,1.8,1.6
32,,,,,
33,,,,,
34,0,0,0,0,0
35,0,2,2,2,2
36,3.2,3.2,3.2,4.2,4.2
37,0.3,1.4,1.4,1.2,0
38,0,0,0,0,0
39,0,0.5,0.5,0.5,0.5
40,0,0,0,0,0
41,2.8,2.8,2.8,0,0
42,0,2.5,2.5,2.4,0.4
43,0,3.5,3.5,3.4,1.3
44,,,,,
45,0,0,0,0,2
46,,,,,
47,1.1,1.1,1.1,1.1,0
48,0,1.4,3.1,3.1,0
49,0,0,0,0,0
50,0,2.4,2.4,0,0
51,1.1,0,0,1.1,1.1
52,,,,,
53,0,0,0,0,0
54,0,0,0,0,0
55,0,1.6,1.6,1.6,1.6
56,1.5,1.5,1.5,1.5,1.5
57,,,,,
58,1.1,1.1,1.1,1.1,0
59,,,,,
60,2.8,2.3,2.3,2.3,2.3
61,0.3,0,0,0.3,0.3
62,,,,,
64,,,,,
65,1.9,1.9,1.9,1.9,1.9
66,1.8,1.9,1.9,1.9,1.9
67,,,,,
68,0,0.2,2,2,1.9
69,0,0.3,0.3,0.3,0.3
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,4.5,0,0,2,2
74,,,,,
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0.2,0.2,0.2,0
78,0.9,0.9,1.1,3.1,3.1
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0.6,0.6,0.8,0.3
83,0,0,0,0,0.4
84,0,0,0,0,1
85,0,0.7,0,0,0
86,0,0,1,1,1
87,,,,,
88,0,0.7,0,0,0
89,0,0,0,0,0
90,,,,,
91,0.4,0,0,0,0
92,,,,,
93,2.8,2.3,2.2,0,2.2
94,0,0,0,0,0
95,,,,,
96,0.2,2.9,2.9,2.5,2.9
97,0,0,0,1.8,1.8
98,0,0.8,0.8,0.8,0
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
105,0,1.3,1.3,1.3,1.3
106,,,,,
107,0.7,0,0,0.6,1.2
108,0,0,0,1.2,1.2
109,,,,0,0
110,,,,0,0
111,,,,,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,2,0,0.9,2
116,0,1,3,3,2
117,0,0,0,0,0
118,0,0.3,0.3,0.3,0
119,0,0,0,0,0
120,0,0,0,0,0.9
121,,,,,
122,0,1,1,1,1
123,0,2,2,2,2
124,0.6,0,0,0,0
125,,,,,
126,0,0.3,0.3,0,1.1
127,0,0.8,0.8,0,0
128,0,0,0,0,0
129,1.6,3.1,3,3,3
130,0,0,0,0,0
131,1.1,0,0,0,1.1
132,0.6,1.4,0.1,2,2.6
133,3.7,2.5,2.5,4.1,4.1
134,0,1.6,1.6,2,0.4
135,0.7,0.7,0.7,0.7,0.7
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,1.9
139,0,0,0,0,2.2
140,0,0,0,0,0.5
141,0,0.3,0.3,0.3,0.3
142,1.6,3,3,3,3
143,,,,,
144,0,0,0,0,0
145,0.1,0,0,0,0
146,0,0,0,0,0
147,0.1,0,0,0,0
148,0,0,0.9,0.9,0
149,,,,,
150,0,0,0,0,0
151,,,,,
152,0,0,0,1.2,1.1
153,0.7,0,0,1.1,1.1
154,,,,,
155,0.2,0,0,0.2,0.2
156,0,0,0,0,0
157,0,0.3,0.3,,
158,0,2.7,1.7,1.7,1.7
159,0,0,2.1,0,0.2
160,0,0,0,0,2.3
161,2,2,2,2,2
162,,,,,
163,,,,,
164,1.1,1.1,0,1.1,1.1
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,0,0,0,0,0
170,,,,,
171,,,,,
172,0,0,0,0,0
173,,,,,0
174,1.7,2.6,2.6,2.3,2.3
175,1.3,1.3,1.3,1.3,1.3
176,0,0,0,0,0
177,0,2.4,2.4,2.5,0
178,0,3,3.7,3,2
179,1.3,1.8,1.7,1.7,0.6
180,0,0,0,0.1,0.1
181,0.7,5.2,5.2,5.2,2.7
182,,,,,
183,,,,,
184,0.2,0.5,1.2,1.2,1.2
185,,,,,
186,1.8,2,2,3.1,2.9
187,,,,,
188,,,,,
189,0,0.2,0.2,0.2,0
190,,,,,
191,0,0,1.5,1.5,0
192,1.9,0,0,0,0
193,1.1,1.1,1.1,1.1,0
194,0,0,2,2,2
195,0,0,0,0,1
196,0,0,0,0,0
197,0,1.5,1.5,0,0
198,1.2,2.4,1.2,1.2,0
199,,,,,
200,0.4,0.7,0.3,0.7,0.7
201,4,5.7,3.9,4,3.9
202,0,1.7,1.7,1.9,0.3
203,0,0,0,0,0
204,0,0,0,1,0
205,0,0,0,0,0
206,,,,,
207,0,0,0,0,0
208,1.1,1.1,1.1,1.1,1.1
209,0,0,2,2,0
210,1.5,1.5,1.5,1.5,1.5
211,0,0,0,0,0
212,1.4,0,0,0,0
213,,,,,
215,0,1,0.9,0.9,0.7
216,,,,,
217,0,0,0,0,0
218,1.7,1.7,1.7,0,0
219,1.8,5.1,3,5,6.8
220,0,0,0,0,0
221,1.8,0.9,0.9,0.9,2.8
222,0.7,0.7,0.7,0.7,0.7
223,0,0,0,0,0
224,4.3,6.2,2.7,2.7,2.7
225,0,0,0,0,0
226,0,0.4,0.4,0,0.4
227,0.4,0,0,0,0.5
228,0,0,0,0,0
229,0.4,0,0,0,0.5
230,0,0,0,0,0
231,0,0,0,0.9,1.1
232,,,,,
233,5.1,5.4,3.6,1.6,3.9
234,0,0,0,0,1
235,0,0.9,0.9,0.9,0.9
236,0,1.9,1.9,1.7,0
237,0,0,0,0,0
238,,,,,
240,1.2,0,0,0,0
241,3.2,6.2,3.2,3.2,2.1
242,0,2.5,2.4,2.4,1.8
243,0,0.6,0.6,0.6,0
244,0,2.3,2.5,2.5,1.5
245,,,,,
246,,,,,
247,,,,,
248,0,1.2,0,1.2,1.2
249,,,,,
250,0,0.1,0,0,0.5
251,0,2,0,0,2
252,0,0,0,0,0
253,0,0.8,0.8,2.3,1.5
254,2.8,3.4,0.6,3.4,4.7
255,,,,,
256,,,,,
257,0,2.1,2,2,2
258,0,0,0,0,0
259,0,0.3,0.3,0.3,0.3
260,0,0,0,0,0
261,5.8,5.9,5.8,2.7,5.2
262,0.7,3.7,3.7,3.7,2.7
263,0.8,0,0,0,0
264,0,0.6,0.6,0.6,0.6
265,0,2,0,0,2
266,2.5,4.3,3.2,3.2,1.1
267,,,,,
268,,,,,
269,0,0,0,0,0
270,0,0.6,0,0.6,0.6
271,,,,,
272,0.9,2.1,0,4.4,4.8
273,0,0,0,0,1.4
274,0.3,1.7,1.6,1.4,1.4
275,1.4,2.8,2.7,1.4,1.4
276,0,0,0,0,0
277,0,1.2,1.2,1.2,0
278,,,,,
279,0,0,0,0,0
280,0,0,0,0,0
281,,,,,
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0.9,0.9,1.1,3.1,3.1
286,0,0,0,0,0
287,0,2,2,2,1.6
288,,,,,
289,0,0,0,1.8,1.8
290,,,,,
291,,,,,
292,0,1,0,0,0
293,,,,,0
294,1.6,1.6,0,1.6,1.6
295,0,0.2,0.2,0,0
296,,,,,
297,,,,,
298,0.1,0.5,0.5,0.5,0
299,0,2,2,2,0
300,2.1,2.2,2.2,2.2,2.2
301,0,2,2,2,0
302,0,1.5,1.5,1.8,0
303,0,1,1,1.1,0
304,,,,,
305,,,,,
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,1.2,0
309,0,0,0,0,0
310,,,,,
311,0,1.8,1.8,0,0
312,,,,,
313,0,1.9,1.9,1.9,0
314,3.6,3.6,3.6,3.6,3.6
315,0,0.4,1.6,1.6,1.6
316,3.9,3.9,3.9,3.9,2.9
317,0,0.8,0,0.3,0.8
318,0,1,1,2,1
319,0,1.9,1.9,1.9,0
320,,,,,
321,,,,,
322,,,,,
323,,,,,0
324,,,,,
325,,,,,
326,1.1,1.1,0,1.1,1.1
327,,,,,
328,0,0,0,0,0
329,0,0.3,0.3,0.3,0.3
330,0,0,0,0,0
331,0,0,0,0,0.7
332,0,0.8,0.8,0.8,0.8
333,0,0,0,0,0
334,0,0.7,0.7,0.7,0.7
335,,,,,
336,0,0,0,0,0.4
337,,,,0,0
338,,,,,
339,0,0.1,0,0,0
340,1.3,1.3,1.3,1.3,1.3
341,1.1,2,1.5,2,2
342,0.6,0.6,0.6,0.6,0.6
343,0,0.4,0.4,0,0
344,,,,,
345,0,0,0,0,0
346,0,0,0,0,0
347,0.4,0.4,0,0.1,0.1
348,0,2.9,2.8,2.8,0.8
349,2.7,2.7,2.7,2.7,1.1
350,1.5,1.5,1.5,1.5,1.5
351,0.8,0,0,0,0
352,0,0,0,0,0
353,4.1,8.3,4.1,4.1,1.8
354,1.8,3.6,1.8,1.8,1.8
355,2.8,3.8,3.8,4.3,3.3
356,,,,,
357,0,0.4,0.4,0,0.4
358,3.2,2.9,2.9,4.9,4.9
359,,,,,
360,0,3.9,3.8,3.8,2
361,0,1.5,0,2.9,1.2
362,1.6,1.6,1.3,1.6,2.7
363,0,0,0,0,2.7
364,2.6,2.6,2.6,2.6,2.6
365,0.6,0.6,0,0.6,0.6
366,1.1,1.5,2,2.2,2
367,1,2.1,2.1,2.1,2.1
368,3.9,3.8,3.8,0.4,1.3
369,0,0.6,0.6,,
370,3.2,3.2,3.2,3.2,3.2
371,0,0.4,0,2,2
372,0,0,0,0,0
373,1.5,0,0,0,0
374,0,0,0,0,0
375,3.4,3.9,2.2,2.2,2.2
376,0,1.2,1.2,1.2,1.2
377,1.4,0,0,1.4,2.1
378,2.5,2.5,2.5,2.5,2.5
379,0,0,0,2.9,0
380,0,0,2,2,2
381,0,0.9,0,0.9,0.9
382,0.4,1.4,0.4,0.4,0.4
383,0,1.4,1.4,1.4,1.4
384,1.2,1.5,1.2,1.2,1.2
385,0,0,0,0,0
386,0.4,0.4,0.4,,
387,1,0,0,0,0
388,0,0.9,0,0,0.9
389,0.4,0,0,0,0
390,,,,,
391,,,,,
392,6,9.2,6.5,7.8,7.8
393,2.9,5.2,5.5,4.4,5.7
394,0,0.1,0.1,0.1,0.1
395,0.2,0,0,0.2,0.2
396,0,0,0,0,0
397,,,,,
398,0,0.7,0.7,0.7,0.7
399,0,2,2,2.8,2.8
400,0,0,0,0,0
401,,,,,
402,,,,,
403,0,0,0,0,0
404,0,0.2,0.2,0.2,0.2
405,,,,,
406,0,0,0,0,0
407,0,0.2,0.2,0.2,0
408,0,0.3,0.3,0.3,1.4
409,,,,,
410,,,,,
411,0,0,0,0,0
412,0,0,0,0,0
413,1.5,0,0,0,0
416,0,0,0.8,0.8,0.8
417,1.1,4.2,3.9,3.9,3.9
418,0,1.2,0.1,0.5,1
419,1.1,3,3,3,4.5
420,0,0,0,0,2
421,,,,,
422,3.4,3.4,2.7,4.1,4.1
423,0,0.8,0.8,0.8,0
424,,,,,
425,0,0,0,0,0
426,0.2,0,0,0.2,0.2
428,0,0,0,0,0
430,0.8,2.2,1.4,5.3,3.3
431,0,0,0,0,0.6
432,,,,,
433,0.2,0,0,0,0
434,0,0,2,6.2,6.2
435,0,0,0,0,1.4
436,0,0,0,0,0.6
437,0,0.9,0.9,0,2
438,0,0,0,0,0
442,0.3,0,0,0,0
443,,,,,
444,0,0,0,0,0
445,3,3.1,3.9,5.5,2.9
446,0.1,3.4,3.3,3.3,3.2
447,1.5,4.7,4.7,4.7,3.2
448,0,1,1,1,1
449,0,0,1.4,1.4,0
450,3,4.5,3.1,3.1,6.4
451,0,1.4,1.4,1.4,1.4
452,,,,,
453,0.8,3.2,2.4,6.3,3.3
454,0,0,0,0,0
455,1.4,0,0,0,0
456,,,,,
457,0,0,0,0,0
458,0,0.2,0.2,0.2,0.2
459,0,0,0,0,0
460,0,4.5,4.5,4.5,4.5
462,0,0,0,0,0
