id,y_2010,y_2012,y_2014,y_2015,y_2016,y_2017,y_2018
2,496,1029,603,270,1063,383,811
3,2172,4425,2787,1354,5386,1736,3991
4,485,687,505,306,695,381,632
5,79,269,120,20,247,41,141
6,280,795,380,107,710,158,452
7,565,826,611,399,820,424,694
8,455,816,583,257,989,363,691
9,111,265,175,87,325,138,280
10,618,1419,750,286,1510,471,1070
11,890,1498,1052,539,1649,821,1457
12,235,715,304,73,776,102,437
13,448,1114,621,222,1267,393,970
14,697,1496,816,259,1502,396,1146
15,821,1227,862,456,1294,558,1070
16,930,1893,1052,370,1859,579,1316
17,865,1563,1018,374,1458,481,1051
18,867,1655,1049,608,1851,793,1436
19,1425,2274,1548,785,2319,1047,2002
20,907,1616,1009,413,1670,603,1341
21,238,739,375,107,784,150,580
22,130,374,179,45,563,114,372
23,197,525,287,93,517,134,335
24,190,375,230,116,416,142,324
25,991,1673,1124,526,1730,724,1478
26,892,1551,932,115,1618,226,1233
27,426,994,540,139,921,202,638
28,382,656,474,287,724,359,649
29,478,761,492,236,783,334,662
30,134,562,350,65,837,92,435
31,751,1087,777,439,1137,643,1015
32,88,180,113,37,182,56,150
33,109,340,120,29,236,45,159
34,317,785,418,121,779,249,768
35,338,799,544,47,1177,143,1019
36,771,1301,906,407,1516,612,1286
37,327,864,438,162,831,257,651
38,686,1241,772,320,1317,471,1053
39,625,1224,731,263,1248,362,948
40,428,1078,579,156,1030,251,743
41,356,696,371,155,767,235,583
42,845,1393,923,464,1442,604,1198
43,532,781,556,292,848,434,736
44,233,407,259,146,462,174,370
45,555,1320,792,219,1836,570,1849
46,388,910,455,143,968,208,633
47,228,512,322,120,497,164,400
48,327,667,354,42,653,95,446
49,525,1058,621,118,1180,261,836
50,332,728,392,114,635,172,458
51,351,838,454,200,994,307,778
52,130,476,136,30,383,83,297
53,458,999,522,198,904,226,630
54,157,396,153,51,370,75,231
55,682,1103,734,377,1170,533,980
56,202,374,223,92,400,124,300
57,113,347,180,61,336,84,253
58,229,462,239,99,452,120,251
59,431,866,483,162,885,200,587
60,113,700,249,19,1106,48,522
61,199,436,224,74,402,103,296
62,34,1030,271,14,1789,29,645
64,421,1234,542,124,1534,252,966
65,126,486,184,26,485,76,312
66,248,642,287,77,660,150,474
