id,y_2010,y_2012,y_2014,y_2016
2,1848,1674,1021,1187
3,3973,3636,4385,4809
4,1096,796,797,916
5,388,664,457,522
6,1809,2136,2572,3284
7,,450,567,630
8,6442,6264,4911,5943
9,,481,669,372
10,5120,4779,5001,4531
11,1530,2014,2670,2009
12,389,1046,999,1088
13,2436,2019,2929,2112
14,1145,1305,1172,1538
15,1433,1352,1689,1874
16,3744,2799,3169,3445
17,3313,3442,3136,2930
18,2366,3785,2847,3246
19,3199,3613,3374,4618
20,3069,3392,3121,4478
21,1080,1218,1292,1470
22,677,483,409,636
23,1199,1397,1434,1579
24,1558,1252,1121,1306
25,784,1474,1783,1787
26,1554,1734,1492,1622
27,593,236,1044,1092
28,1217,1115,1232,1299
29,1115,1543,1605,1657
30,1180,1420,1402,1122
31,1282,1800,1257,1241
32,,367,,
33,,,396,431
34,2114,1760,2422,2271
35,1903,1697,2148,2470
36,2237,2122,2855,2549
37,2059,1907,1529,1823
38,1231,1023,1514,1158
39,1548,1923,1176,1731
40,1527,1919,1492,2064
41,1180,1317,1289,857
42,1144,2342,1772,1465
43,482,1309,1844,1304
44,476,,,337
45,631,541,592,1674
46,655,1421,956,1219
47,2889,2847,2143,2430
48,1286,1146,1004,1246
49,1845,2059,2215,2135
50,1640,2059,1976,1889
51,727,751,928,1019
52,1103,1087,626,923
53,1145,1209,1141,1686
54,1612,1559,1615,1231
55,2617,2696,2412,2593
56,1026,425,622,
57,465,497,1049,796
58,1033,782,700,600
59,816,967,1090,1445
60,328,387,362,230
61,,440,322,
62,,,,
64,742,586,1264,1584
65,287,,396,460
66,4067,4524,3605,3248
67,,,,310
68,613,1292,771,1260
69,858,908,717,973
70,2682,3596,3747,4370
71,852,934,1268,1190
72,424,317,658,605
73,2561,2422,2555,3677
74,478,1518,1416,955
75,631,851,1214,806
76,718,767,1305,1358
77,1256,1325,1483,2192
78,294,,940,666
79,136,,390,381
80,554,576,,615
81,535,590,280,690
82,447,462,364,958
83,1706,1479,1418,1525
84,869,634,1135,762
85,2455,2336,3776,3084
86,619,330,605,474
87,1178,1318,3656,3187
88,1085,1299,1596,1972
89,559,937,810,1591
90,1158,1230,804,1089
91,1504,1280,1116,2193
92,240,418,419,622
93,478,244,285,312
94,740,1331,985,906
95,667,337,453,580
96,1267,1229,1458,1710
97,1177,1630,1615,2756
98,1064,1501,1197,1085
99,1842,1895,1874,1608
100,1574,2114,1269,2106
101,675,493,797,683
102,852,670,696,750
103,2443,2032,2298,2231
105,,380,997,956
106,282,,546,402
107,321,408,499,508
108,898,1054,947,1403
109,1448,1037,1701,2028
110,1305,835,1913,1368
111,253,1060,987,1506
112,1804,1280,1354,1623
113,1287,2321,1486,1755
114,972,634,648,412
115,1322,937,1632,2320
116,1169,1017,2195,1727
117,703,1091,1316,1016
118,493,546,915,1009
119,1357,1174,1492,1777
120,1564,888,1544,1588
121,1663,1171,1805,1567
122,,,,
123,3264,4381,4590,5376
124,2352,2414,2680,2553
125,2249,2370,2088,1643
126,,,,
127,5126,5210,4763,4808
128,1286,1564,1692,2143
129,997,836,1041,1165
130,1210,1433,813,1745
131,708,681,1578,832
132,583,578,508,555
133,513,,398,841
134,420,485,820,495
135,4343,2867,2647,2659
136,717,623,763,1038
137,665,725,584,631
138,846,636,763,646
139,1281,1259,1429,1301
140,2774,2460,2649,3269
141,433,812,478,512
142,1431,1562,1068,2340
143,1968,1183,1199,1665
144,1936,1389,1690,1705
145,1256,1048,782,1416
146,1590,1459,2281,2260
147,2084,2189,2151,2556
148,1526,1124,1562,1767
149,,500,795,444
150,1296,929,946,1102
151,,636,1246,3219
152,632,668,1001,301
153,642,801,1905,1554
154,661,910,3092,1426
155,959,606,486,943
156,952,1339,1340,1710
157,772,1124,1186,706
158,2842,2682,3101,2668
159,537,688,1487,1448
160,1900,2771,2643,2396
161,1016,850,856,1296
162,786,546,1235,996
163,1035,923,451,728
164,1503,1253,1902,2100
165,417,319,309,188
166,515,627,520,539
167,445,473,496,304
168,1433,1093,1062,1618
169,,,568,259
170,475,652,394,1108
171,633,,505,913
172,368,812,875,526
173,578,840,738,626
174,1463,2284,1089,1045
175,932,927,859,1543
176,1311,1884,1856,1668
177,4324,4800,6279,6590
178,622,,457,
179,3862,3834,3815,2792
180,449,1027,1014,1426
181,1797,1802,1403,2045
182,940,627,1019,1058
183,,558,392,956
184,1136,1175,581,753
185,530,316,486,615
186,1360,1301,1113,1462
187,,,,
188,324,432,434,516
189,,,,
190,770,670,735,1068
191,1456,936,932,897
192,893,585,1400,1121
193,691,2182,886,1256
194,1383,,985,1778
195,823,915,1056,1686
196,1331,813,742,1317
197,1936,2394,1821,1900
198,8456,11102,10250,10130
199,893,1645.28,1290,1441
200,,183,,
201,1515,1533,1779,1338
202,867,1264,1493,1638
203,437,668,938,906
204,508,513,733,743
205,533,460,,
206,286,,507,514
207,393,,,441
208,743,982,1314,1812
209,1411,1193,1309,1498
210,745,612,1133,1042
211,979,1278,1225,913
212,858,858,1161,1341
213,7751,7692,6205,7239
215,768,1071,,364
216,2356,595,576,485
217,614,1053,723,974
218,1244,1549,1902,2353
219,406,387,243,564
220,1226,1342,1826,2432
221,,631,486,628
222,851,642,989,1283
223,2004,2252,2164,1778
224,1195,775,1380,1355
225,485,820,809,742
226,618,344,462,410
227,1572,1518,964,1405
228,,,,677
229,1892,1596,2171,2316
230,681,436,681,667
231,1000,648,853,887
232,954,875,1365,864
233,520,1171,956,1383
234,2480,2076,2362,2563
235,1790,2753,1780,2600
236,6893,5295,6778,7571
237,2420,3081,1819,2857
238,1377,1795,1961,2024
240,1738,1801,2155,1704
241,1191,1295,1198,1523
242,696,525,302,553
243,,,,
244,778,578,892,1292
245,573,656,827,951
246,1341,1329,1579,1246
247,,184,473,179
248,524,407,294,827
249,249,442,,604
250,534,543,338,428
251,,502,635,506
252,444,642,827,
253,1518,3045,3264,2723
254,,,,
255,1503,1651,1721,1201
256,940,869,1735,2089
257,,,642,1262
258,4820,3848,3543,4140
259,473,576,1007,905
260,3081,3817,3847,3721
261,1181,1194,1070,1670
262,1959,1707,1649,2141
263,4186,2802,3625,4659
264,352,897,732,550
265,1430,2287,1426,1390
266,1082,1481,1479,1343
267,1262,1475,1381,1404
268,1956,1454,1441,2151
269,1001,2059,1822,2107
270,,,440,330
271,1137,641,1416,1016
272,,269,198,558
273,,528,651,519
274,,324,,335
275,902,661.1111,1585,744
276,477,750,542,1160
277,486,342,843,1236
278,550,551,660,417
279,589,574,744,499
280,1052,693,946,974
281,641,831,906,795
282,,495,565,1290
283,1007,1285,1511,1678
284,,445,,2071
285,,,,
286,569,1051,873,1404
287,784,670,990,1246
288,1705,1717,1729,2310
289,1016,969.2308,1260,1436
290,917,841,1074,882
291,700,629,337,840
292,604,641,372,474
293,1155,950,475,949
294,1115,779,665,925
295,1605,1521,966,1658
296,578,858,1007,1549
297,,,,
298,407,735,825,632
299,628,848,1052,1529
300,2649,3384,3088,3420
301,853,743,1044,
302,1085,1032,964,1295
303,1455,2241,2016,3075
304,,,,131
305,1148,1027,1095,1289
306,594,,511,964
307,1329,1415,1377,2191
308,556,,939,1032
309,795,1002,1556,955
310,1485,2033,2442,1769
311,3098,2355,2895,2981
312,916,1024,1376,886
313,275,835,848,576
314,1596,1432,1229,994
315,,,514,
316,1083,1883,1893,1811
317,1280,991,905,1053
318,1277,1330,1335,1080
319,3723,3196,3602,2773
320,799,408,980,674
321,1266,1554,1688,1652
322,703,472,922,830
323,1119,1146,1542,1758
324,711,951,1252,1263
325,1887,2377,2959,2351
326,1145,1146,1691,1330
327,1161,927,1406,1443
328,2813,2276,3276,3320
329,832,1489,766,916
330,982,770,1056,1075
331,356,587,592,774
332,,1100,1256,855
333,1667,2375,2044,3007
334,,,,
335,2288,1721,2501,2408
336,1577,1219,994,1373
337,529,1157,974,1194
338,1292,568,1163,774
339,,,,
340,2563,3350,2856,2360
341,1941,1470,2308,1988
342,359,,,
343,1363,1202,1021,1306
344,1341,1035,893,1006
345,1124,738,1484,1422
346,2219,1908,1477,2617
347,547,412,,1215
348,4533,5168,4434,5439
349,674,1233,621,978
350,1032,1150,1310,1652
351,482,685,,772
352,705,480,754,1003
353,2468,1458,1806,2473
354,959,508,840,1023
355,,303,392,606
356,886,1953,1467,1855
357,4415,4327,4603,4393
358,4644,4560,5390,5837
359,6439,7545,7262,7190
360,1473,1555,1875,2139
361,1360,911,1708,1210
362,4627,5721,5129,6496
363,3255,3642,3482,3672
364,1912,1714,2791,1925
365,1875,1265,1946,1763
366,1117,770,844,951
367,4935,4191,3682,2514
368,2030,1189,2182,1221
369,1922,1473,939,1395
370,2854,2270,3126,1811
371,6488,6193,8692,7597
372,6612,6362,8647,9085
373,2935,4032,4092,2992
374,4044,2969,4364,4923
375,2902,3055,3434,3053
376,1813,2090,1947,3970
377,1462,2433,2407,2220
378,2615,2759,2147,2092
379,1225,1640,1860,2068
380,2379,2487,3252,2956
381,2763,2073,3036,2164
382,2875,2391,1985,1755
383,2464,2512,2427,2727
384,,,262,735
385,5636,5670,5300,6553
386,3090,2245,2652,2008
387,3681,3796,3616,3262
388,1691,1568,2153,1598
389,16567,18664,18723,16657
390,933,1136,1268,745
391,2264,2775,2651,2295
392,7663,8842,6677,7506
393,5406,7293,5769,5044
394,6138,7205,6098,4967
395,1933,2827,2719,2443
396,1579,2007,2602,2382
397,395,519,356,444
398,,,,988
399,705,903,579,713
400,1468,1884,1641,1677
401,1072,1375,2461,3562
402,1189,1462,1962,1161
403,1452,1175,1912,2821
404,1811,1750,1588,2536
405,1006,1195,1296,1242
406,2548,3779,2977,4277
407,1398,2652,1752,2046
408,4657,4276,4805,4673
409,978,1466,1489,1708
410,1246,864,1212,1421
411,391,421,,494
412,443,394,389,650
413,1274,848,1845,1713
416,241,349,503,569
417,2380,3052,2365,3379
418,547,854,1275,979
419,914,695,1005,1320
420,1217,2091,2431,2497
421,594,510,313,845
422,2925,1809,2013,1706
423,1783,1840,1913,2174
424,988,1503,1567,1133
425,839,664,654,1026
426,1137,1324,1615,1910
428,1256,804,1632,2798
430,6530,6514,8756,7787
431,1098,1198,1612,2013
432,1787,2023,1853,1714
433,610,392,882,
434,1199,1530,852,1613
435,474,644,1000,1348
436,1826,1348,1550,1604
437,2086,1384,3058,2639
438,,634,801,2124
442,1672,1700,2343,2111
443,996,898,814,683
444,677,1595,1601,768
445,1374,1533,1382,1539
446,645,475,384,925
447,388,972,1122,962
448,1007,788,1448,1344
449,1386,986,1000,1377
450,1771,1770,1760,1995
451,1240,899,858,1358
452,3896,4358,2344,3707
453,3963,4484,3578,3842
454,1448,1100,1604,1761
455,1583,1557,2376,2909
456,11386,12512,11942,12591
457,512,387,526,668
458,923,637,686,760
459,1335,920,1872,1829
460,1949,2056,2441,2181
462,1204,2273,1275,1111
463,892,1276,872,1541
464,618,923,1319,1332
465,471,421.2,876,1118
466,1164,1650,1994,1551
467,437,672,605,561
468,,,,
469,1336,469,706,900
470,1487,1598,1575,934
471,1063,1877,1641,1677
472,836,493,742,1187
473,1200,810,1870,2391
474,1218,1812,1722,1582
475,5303,6379,5142,8206
